CGD:DEHA2D15488g	DEHA2D15488g	GO:0003676|GO:0005524|GO:0003677|GO:0004386
CGD:DEHA2F25520g	DEHA2F25520g	GO:0035690|GO:0036187|GO:0036180|GO:0036170|GO:0036171|GO:0044114|GO:0009267|GO:0006676|GO:0030447|GO:0003824|GO:0044011|GO:0016020|GO:0071216|GO:0016772|GO:0051668|GO:0070887
CGD:DEHA2D03520g	DEHA2D03520g	GO:0006520|GO:0016597|GO:0016743
CGD:DEHA2B16610g	DEHA2B16610g	GO:0005525|GO:0000166|GO:0016887|GO:0005524|GO:0042626|GO:1990961|GO:0055085|GO:0003924|GO:0016020|GO:0016021|GO:0017111|GO:0006810
CGD:DEHA2G02134g	DEHA2G02134g	GO:0009097|GO:0000287|GO:0003984|GO:0030976|GO:0003824|GO:0050660|GO:0009099|GO:0009082
CGD:DEHA2E17798g	DEHA2E17798g	GO:0036180|GO:0071216|GO:0036170|GO:0009267
CGD:DEHA2E05830g	DEHA2E05830g	GO:0001164|GO:0006361|GO:0001181
CGD:DEHA2D08052g	DEHA2D08052g	GO:0030447|GO:1903561|GO:0000011|GO:0016192|GO:0036180|GO:0016021|GO:0071216|GO:0005576
CGD:DEHA2E15070g	DEHA2E15070g	GO:0055085|GO:0022857|GO:0016021
CGD:DEHA2G10516g	DEHA2G10516g	GO:0000166|GO:0005524|GO:0034551|GO:0017111
CGD:DEHA2F05544g	DEHA2F05544g	GO:0016787
CGD:DEHA2A02706g	DEHA2A02706g	GO:0003824|GO:0016787
CGD:DEHA2C01606g	DEHA2C01606g	GO:0003824|GO:0008152|GO:0016829
CGD:DEHA2G12562g	DEHA2G12562g	GO:0009987
CGD:DEHA2D18634g	DEHA2D18634g	GO:0003735|GO:0019843|GO:0005840|GO:0006412
CGD:DEHA2F07590g	DEHA2F07590g	GO:0000287|GO:0000166|GO:0005524|GO:0003723|GO:0035690|GO:0005737|GO:0004826|GO:0006432
CGD:DEHA2D03366g	DEHA2D03366g	GO:0016272|GO:0051082|GO:0006457
CGD:DEHA2G19294g	DEHA2G19294g	GO:0055085|GO:0022857|GO:0016021
