Q6BPI8	DEHA2E13288g
Q6BHX4	DEHA2G15092g
Q6BNS9	DEHA2E19228g
Q6BUQ1	DEHA2C08998g
Q6BVE1	DEHA2C03344g
Q6BPD6	DEHA2E14454g
Q6BT35	DEHA2D03872g
Q6BQ61	DEHA2E08052g
Q6BLZ2	DEHA2F09614g
Q6BN08	DEHA2F01144g
Q6BXE5	DEHA2B03718g
Q6BMU6	DEHA2F02530g
Q6BLC3	DEHA2F14630g
Q6BS60	DEHA2D11374g
Q6BPF6	DEHA2E13992g
Q6BVY9	DEHA2B15642g
Q6BW39	DEHA2B14564g
Q6BMB8	DEHA2F06754g
Q6BIS8	DEHA2G07942g
Q6BN23	DEHA2F00836g
Q6BSI7	DEHA2D08558g
Q6BIH2	DEHA2G10428g
Q6BVH1	DEHA2C02728g
Q6BYP7	DEHA2A07854g
Q6BU46	DEHA2C13684g
Q6BWR0	DEHA2B09394g
Q6BW07	DEHA2B15246g
Q6BJ96	DEHA2G04114g
Q6BHV8	DEHA2G15422g
Q6BIR1	DEHA2G08338g
Q6BKU3	DEHA2F19162g
Q6BMN7	DEHA2F03850g
Q6BIV4	DEHA2G07326g
Q6BTV5	DEHA2C15664g
Q6BL68	DEHA2F15972g
Q6BMW3	DEHA2F02134g
Q6BLS5	DEHA2F11066g
Q6BSY5	DEHA2D05038g
Q6BRP6	DEHA2D14806g
Q6BLU8	DEHA2F10560g
Q6BJY5	DEHA2F26356g
Q6BLH9	DEHA2F13310g
Q6BPU5	DEHA2E10758g
Q6BSK5	DEHA2D08162g
Q6BRU4	DEHA2D13772g
Q6BM23	DEHA2F08888g
Q6BHF8	DEHA2G18942g
Q6BU68	DEHA2C13178g
B5RUP5	DEHA2G10098g
Q6BLC4	DEHA2F14608g
Q6BRH9	DEHA2D16236g
Q6BP48	DEHA2E16566g
Q6BU51	DEHA2C13574g
Q6BYM1	DEHA2A08514g
Q6BLS3	DEHA2F11110g
Q6BUZ2	DEHA2C06710g
Q6BI95	DEHA2G12474g
Q6BQ83	DEHA2E07502g
Q6BX71	DEHA2B05478g
Q6BIX5	DEHA2G06864g
Q6BLZ8	DEHA2F09482g
Q6BUV9	DEHA2C07568g
Q6BH42	DEHA2G21538g
Q6BV30	DEHA2C05808g
Q6BTT3	DEHA2C16082g
Q6BSD9	DEHA2D09570g
Q6BH05	DEHA2G22352g
Q6BRH3	DEHA2D16368g
Q6BQ63	DEHA2E08008g
Q6BMH4	DEHA2F05434g
