Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2A05038g	4632
gene-DEHA2A05060g	2473
gene-DEHA2A05082g	3496
gene-DEHA2A05104g	8472
gene-DEHA2A05126g	3829
gene-DEHA2A05148g	3531
gene-DEHA2A05170g	3991
gene-DEHA2A05192g	8162
gene-DEHA2A05214g	1252
gene-DEHA2A05236g	9661
gene-DEHA2A05258g	2006
gene-DEHA2A05280g	3304
gene-DEHA2A05302g	1771
gene-DEHA2A05324g	5359
gene-DEHA2A05346g	2195
gene-DEHA2A05368g	5886
gene-DEHA2A05390g	5313
gene-DEHA2A05412g	2843
gene-DEHA2A05434g	4682
gene-DEHA2A05456g	1365
gene-DEHA2A05478g	1935
gene-DEHA2A05500g	25739
gene-DEHA2A05522g	143
gene-DEHA2A05544g	210
gene-DEHA2A05566g	6383
gene-DEHA2A05588g	1340
gene-DEHA2A05610g	1048
gene-DEHA2A05632g	2442
gene-DEHA2A05654g	27539
gene-DEHA2A05676g	3885
gene-DEHA2A05698g	1288
gene-DEHA2A05720g	4780
gene-DEHA2A05742g	6828
gene-DEHA2A05764g	4869
gene-DEHA2A05786g	3202
gene-DEHA2A05808g	1186
gene-DEHA2A05830g	14642
gene-DEHA2A05852g	5983
gene-DEHA2A05874g	3400
gene-DEHA2A05896g	835
gene-DEHA2A05918g	4368
gene-DEHA2A05940g	2205
gene-DEHA2A05962g	7729
gene-DEHA2A05984g	3206
gene-DEHA2A06006g	5254
gene-DEHA2A06028g	4994
gene-DEHA2A06050g	2201
gene-DEHA2A06072g	1180
gene-DEHA2A06094g	3544
gene-DEHA2A06116g	366
gene-DEHA2A06138g	9
gene-DEHA2A06160g	1102
gene-DEHA2A06182g	2693
gene-DEHA2A06204g	727
gene-DEHA2A06226g	2081
gene-DEHA2A06248g	920
gene-DEHA2A06270g	2359
gene-DEHA2A06292g	1071
gene-DEHA2A06314g	891
gene-DEHA2A06336g	2031
gene-DEHA2A06358g	3441
gene-DEHA2A06380g	11209
gene-DEHA2A06402g	918
gene-DEHA2A06424g	6780
gene-DEHA2A06446g	5357
gene-DEHA2A06468r	1
gene-DEHA2A06490g	4445
gene-DEHA2A06512g	8400
gene-DEHA2A06534g	7204
gene-DEHA2A06556g	1239
gene-DEHA2A06578g	2349
gene-DEHA2A06600g	3496
gene-DEHA2A06622g	191
gene-DEHA2A06644g	1171
gene-DEHA2A06666g	5641
gene-DEHA2A06688g	70
gene-DEHA2A06710g	5442
gene-DEHA2A06732g	9489
gene-DEHA2A06754g	3853
gene-DEHA2A06776g	23966
gene-DEHA2A06798g	7362
gene-DEHA2A06820g	3803
gene-DEHA2A06842g	30
gene-DEHA2A06864g	3429
gene-DEHA2A06886g	5848
gene-DEHA2A06908g	4224
gene-DEHA2A06930g	5132
gene-DEHA2A06952g	3981
gene-DEHA2A06974g	3775
gene-DEHA2A06996g	1251
gene-DEHA2A07018g	1489
gene-DEHA2A07040g	4667
gene-DEHA2A07062g	483
gene-DEHA2A07084g	2560
gene-DEHA2A07106g	11292
gene-DEHA2A07128g	17107
gene-DEHA2A07150g	3423
gene-DEHA2A07172g	4901
gene-DEHA2A07194g	598
gene-DEHA2A07216g	2843
gene-DEHA2A07238g	5478
gene-DEHA2A07260g	1049
gene-DEHA2A07282g	4508
gene-DEHA2A07304r	1
gene-DEHA2A07326g	2093
gene-DEHA2A07348g	3197
gene-DEHA2A07370g	29942
gene-DEHA2A07392g	9260
gene-DEHA2A07414g	37654
gene-DEHA2A07436g	20361
gene-DEHA2A07458g	2796
gene-DEHA2A07480g	7676
gene-DEHA2A07502g	2371
gene-DEHA2A07524g	1664
gene-DEHA2A07546g	1657
gene-DEHA2A07568g	2571
gene-DEHA2A07590g	3230
gene-DEHA2A07612g	31597
gene-DEHA2A07634g	12004
gene-DEHA2A07656g	4446
gene-DEHA2A07678g	3840
gene-DEHA2A07700g	35227
gene-DEHA2A07722g	106
gene-DEHA2A07744g	1290
gene-DEHA2A07766g	3265
gene-DEHA2A07788g	4663
gene-DEHA2A07810g	7263
gene-DEHA2A07832g	1462
gene-DEHA2A07854g	1672
gene-DEHA2A07876g	3157
gene-DEHA2A07898r	29
gene-DEHA2A07920g	60698
gene-DEHA2A07942g	12833
gene-DEHA2A07964g	1645
gene-DEHA2A07986g	5056
gene-DEHA2A08008g	6108
gene-DEHA2A08030g	3241
gene-DEHA2A08052g	128
gene-DEHA2A08074g	3355
gene-DEHA2A08096g	7191
gene-DEHA2A08118g	5451
gene-DEHA2A08140g	468
gene-DEHA2A08162g	3076
gene-DEHA2A08206g	115
gene-DEHA2A08228g	570
gene-DEHA2A08250g	504
gene-DEHA2A08272g	3419
gene-DEHA2A08294g	1242
gene-DEHA2A08316g	834
gene-DEHA2A08338g	177
gene-DEHA2A08360g	212
gene-DEHA2A08382g	11579
gene-DEHA2A08404g	1535
gene-DEHA2A08426g	259
gene-DEHA2A08448g	1618
gene-DEHA2A08470g	0
gene-DEHA2A08492g	33305
gene-DEHA2A08514g	1611
gene-DEHA2A08536g	2851
gene-DEHA2A08558g	5880
gene-DEHA2A08580g	10248
gene-DEHA2A08602g	4402
gene-DEHA2A08624g	8721
gene-DEHA2A08646g	11122
gene-DEHA2A08668g	7282
gene-DEHA2A08690g	2224
gene-DEHA2A08712g	3339
gene-DEHA2A08734g	10116
gene-DEHA2A08756g	7056
gene-DEHA2A08778g	4055
gene-DEHA2A08800g	95382
gene-DEHA2A08822g	3197
gene-DEHA2A08844g	1891
gene-DEHA2A08866g	2009
gene-DEHA2A08888g	3793
gene-DEHA2A08910g	9607
gene-DEHA2A08932g	3574
gene-DEHA2A08954g	322
gene-DEHA2A08976g	4971
gene-DEHA2A08998g	826
gene-DEHA2A09020g	5209
gene-DEHA2A09042g	816
gene-DEHA2A09064r	0
gene-DEHA2A09086g	3391
gene-DEHA2A09108g	1290
gene-DEHA2A09130g	7938
gene-DEHA2A09152g	7827
gene-DEHA2A09174g	2505
gene-DEHA2A09196g	3555
gene-DEHA2A09218g	3694
gene-DEHA2A09240g	10486
gene-DEHA2A09262g	3453
gene-DEHA2A09284g	4509
gene-DEHA2A09306g	59943
gene-DEHA2A09328g	10228
gene-DEHA2A09350g	3845
gene-DEHA2A09372g	5411
gene-DEHA2A09394g	19177
gene-DEHA2A09416g	2934
gene-DEHA2A09438g	7624
gene-DEHA2A09460g	19124
gene-DEHA2A09482g	10779
gene-DEHA2A09504g	3517
gene-DEHA2A09526g	12539
gene-DEHA2A09548g	1007
gene-DEHA2A09570g	2664
gene-DEHA2A09592g	10770
gene-DEHA2A09614g	1462
gene-DEHA2A09636g	2839
gene-DEHA2A09658g	4154
gene-DEHA2A09680g	20242
gene-DEHA2A09702g	829
gene-DEHA2A09724g	1388
gene-DEHA2A09746g	2115
gene-DEHA2A09768g	7671
gene-DEHA2A09790g	7870
gene-DEHA2A09812g	2719
gene-DEHA2A09834g	2039
gene-DEHA2A09856g	4942
gene-DEHA2A09878g	1272
gene-DEHA2A09900g	889
gene-DEHA2A09922g	1663
gene-DEHA2A09944g	2034
gene-DEHA2A09966g	6141
gene-DEHA2A09988g	3275
gene-DEHA2A10010g	16404
