ProteinID	NaCl1
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	13928.01563
B5RSP7	551178.6875
B5RSP7	200198.7031
B5RSP7	20432.875
B5RSP7	13361.2666
B5RSP7	18482.73047
B5RSP7	15363.78809
B5RSP7	21409.66992
B5RSP7	10129.53711
B5RSP7	2243.248047
B5RSP7	337.4866333
B5RSP7	395836.5938
B5RSP7	278378.5625
B5RSP7	16851.09961
B5RSP7	13709.85742
B5RSP7	2473.338379
B5RSP7	0
B5RSP7	4603.774414
B5RSP9	9738.362305
B5RSQ2	0
B5RSQ4	18050.74609
B5RSQ4	0
B5RSQ4	0
B5RSQ6	0
B5RSQ6	8953.018555
B5RSQ6	1163.128296
B5RSQ8	0
B5RSQ8	83725.49219
B5RSQ8	119424.875
B5RSQ9	5787.472656
B5RSQ9	0
B5RSQ9	3495.125732
B5RSR4	56731.60156
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	4991.786621
B5RSR4	0
B5RSR5	15243.24609
B5RSR5	1755.294434
B5RSR5	12646.15527
B5RSR5	7656.496094
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	59455.42578
B5RSR5	0
B5RSR5	24951.51367
B5RSR5	0
B5RSR8	46356.57422
B5RSR8	18379.98242
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	4400.71582
B5RSS2	0
B5RSS2	0
B5RSS4	26005.41406
B5RSS4	0
B5RSS5	5394.424316
B5RSS5	981557.8125
B5RSS5	90305.09375
B5RSS5	5731.211426
B5RSS5	0
B5RST1	238277.2813
B5RST1	17624.23828
B5RST1	192373.6719
B5RST1	0
B5RST1	198426.4219
B5RST1	0
B5RST1	0
B5RST1	41537.17578
B5RST1	2439.204834
B5RST2	0
B5RST2	15072.9707
B5RST7	0
B5RST7	4498.590332
B5RST7	4537.878906
B5RST9	0
B5RST9	0
B5RST9	0
B5RSU5	166869.4219
B5RSU5	10390.31836
B5RSU6	0
B5RSU6	49406.22656
B5RSU6	13579.50195
B5RSU6	10092.07422
B5RSU9	23917.48828
B5RSU9	0
B5RSU9	0
B5RSV4	20656.40234
B5RSV4	0
B5RSV4	0
B5RSV4	0
B5RSV5	63490.4375
B5RSV5	6290.833984
B5RSV5	0
B5RSV6	4510.373535
B5RSV6	0
B5RSV6	5246.640137
B5RSV6	0
B5RSV6	0
B5RSV6	0
B5RSW5	782134.4375
B5RSW5	34266.07031
B5RSW5	16163.3125
B5RSW5	13220.28613
B5RSW5	355901.875
B5RSW5	74783.25781
B5RSW5	53279.35938
B5RSX5	0
B5RSX5	0
B5RSX5	0
B5RSX6	92342.21094
B5RSX6	14594.21484
B5RSX6	4592.68457
B5RSZ5	7045.96875
B5RSZ5	0
B5RT08	6111.28418
B5RT30	815130.4375
B5RT30	42222.11719
B5RT30	1838766.75
B5RT30	22369.55664
B5RT30	7207.913086
B5RT31	21702.7168
B5RT37	1764.379761
B5RT37	195713.5469
B5RT37	24200.60547
B5RT37	0
