Geneid	RNA STAR on 1MKCl4: mapped.bam
gene-DEHA2A00110g	18
gene-DEHA2A00132g	17
gene-DEHA2A00154g	10478
gene-DEHA2A00176g	99
gene-DEHA2A00198g	392
gene-DEHA2A00220g	375
gene-DEHA2A00242g	807
gene-DEHA2A00264g	632
gene-DEHA2A00286g	2086
gene-DEHA2A00308g	204
gene-DEHA2A00330g	29
gene-DEHA2A00352g	1067
gene-DEHA2A00374g	534
gene-DEHA2A00396g	121
gene-DEHA2A00418g	521
gene-DEHA2A00440g	2626
gene-DEHA2A00462g	863
gene-DEHA2A00484g	1119
gene-DEHA2A00506g	7853
gene-DEHA2A00528g	985
gene-DEHA2A00550g	4150
gene-DEHA2A00572g	318
gene-DEHA2A00594g	2270
gene-DEHA2A00616g	2165
gene-DEHA2A00638g	679
gene-DEHA2A00660g	695
gene-DEHA2A00682g	186
gene-DEHA2A00704g	721
gene-DEHA2A00726g	2069
gene-DEHA2A00748g	480
gene-DEHA2A00770g	1458
gene-DEHA2A00792g	4804
gene-DEHA2A00814g	9900
gene-DEHA2A00836g	1948
gene-DEHA2A00858g	786
gene-DEHA2A00880g	18146
gene-DEHA2A00902g	2068
gene-DEHA2A00924r	6
gene-DEHA2A00946g	87
gene-DEHA2A00968g	399
gene-DEHA2A00990r	17
gene-DEHA2A01012g	877
gene-DEHA2A01034g	3413
gene-DEHA2A01056g	1268
gene-DEHA2A01078r	0
gene-DEHA2A01100g	7299
gene-DEHA2A01122g	1273
gene-DEHA2A01144g	3282
gene-DEHA2A01166g	4
gene-DEHA2A01188g	5
gene-DEHA2A01210g	1017
gene-DEHA2A01232g	1456
gene-DEHA2A01254g	2936
gene-DEHA2A01276g	4553
gene-DEHA2A01298g	1976
gene-DEHA2A01320g	8
gene-DEHA2A01342g	5633
gene-DEHA2A01364g	53803
gene-DEHA2A01386g	0
gene-DEHA2A01408g	1773
gene-DEHA2A01430g	4675
gene-DEHA2A01452g	419
gene-DEHA2A01474g	6341
gene-DEHA2A01496g	2364
gene-DEHA2A01518g	485
gene-DEHA2A01540g	3399
gene-DEHA2A01562g	1955
gene-DEHA2A01584g	2162
gene-DEHA2A01606g	4420
gene-DEHA2A01628g	10418
gene-DEHA2A01650g	6787
gene-DEHA2A01672g	2217
gene-DEHA2A01694g	1459
gene-DEHA2A01716g	2310
gene-DEHA2A01738g	1883
gene-DEHA2A01760g	5177
gene-DEHA2A01782g	3392
gene-DEHA2A01804g	6204
gene-DEHA2A01826g	7
gene-DEHA2A01848g	7308
gene-DEHA2A01870g	6542
gene-DEHA2A01892g	2758
gene-DEHA2A01914g	6535
gene-DEHA2A01936g	12641
gene-DEHA2A01958g	1120
gene-DEHA2A01980g	2659
gene-DEHA2A02002r	2
gene-DEHA2A02024g	4534
gene-DEHA2A02046g	1858
gene-DEHA2A02068g	1
gene-DEHA2A02090g	1418
gene-DEHA2A02112g	2241
gene-DEHA2A02134g	1665
gene-DEHA2A02156g	5752
gene-DEHA2A02178g	2021
gene-DEHA2A02200g	2963
gene-DEHA2A02222g	1130
gene-DEHA2A02244g	2712
gene-DEHA2A02266g	6965
gene-DEHA2A02288g	1775
gene-DEHA2A02310g	5492
gene-DEHA2A02332g	1884
gene-DEHA2A02354g	3086
gene-DEHA2A02376g	1850
gene-DEHA2A02398g	1210
gene-DEHA2A02420g	372
gene-DEHA2A02442g	6778
gene-DEHA2A02464g	6486
gene-DEHA2A02486g	13717
gene-DEHA2A02508g	4249
gene-DEHA2A02530g	1700
gene-DEHA2A02552g	2267
gene-DEHA2A02574g	6200
gene-DEHA2A02596g	3441
gene-DEHA2A02618g	138
gene-DEHA2A02640g	557
gene-DEHA2A02662g	669
gene-DEHA2A02684g	494
gene-DEHA2A02706g	2100
gene-DEHA2A02728g	1131
gene-DEHA2A02750g	2572
gene-DEHA2A02772g	646
gene-DEHA2A02794g	1184
gene-DEHA2A02816g	6
gene-DEHA2A02838g	10587
gene-DEHA2A02860g	10571
gene-DEHA2A02882g	12570
gene-DEHA2A02904g	6777
gene-DEHA2A02926g	16949
gene-DEHA2A02948g	9
gene-DEHA2A02970g	732
gene-DEHA2A02992g	13499
gene-DEHA2A03014g	8535
gene-DEHA2A03036g	3651
gene-DEHA2A03058g	1299
gene-DEHA2A03080g	7552
gene-DEHA2A03102g	9575
gene-DEHA2A03124g	3125
gene-DEHA2A03146g	6696
gene-DEHA2A03168g	2776
gene-DEHA2A03190g	2450
gene-DEHA2A03212g	14635
gene-DEHA2A03234g	5133
gene-DEHA2A03256g	8223
gene-DEHA2A03278g	3967
gene-DEHA2A03300g	5143
gene-DEHA2A03322g	16367
gene-DEHA2A03344g	1728
gene-DEHA2A03366g	1250
gene-DEHA2A03388g	3506
gene-DEHA2A03410g	7
gene-DEHA2A03432g	702
gene-DEHA2A03454g	7683
gene-DEHA2A03476g	8465
gene-DEHA2A03498g	12805
gene-DEHA2A03520g	3190
gene-DEHA2A03542g	8875
gene-DEHA2A03564g	39
gene-DEHA2A03586g	1588
gene-DEHA2A03608g	3428
gene-DEHA2A03630g	2885
gene-DEHA2A03652g	12635
gene-DEHA2A03674g	10593
gene-DEHA2A03696g	9832
gene-DEHA2A03718g	2919
gene-DEHA2A03740g	987
gene-DEHA2A03762r	7
gene-DEHA2A03784g	21
gene-DEHA2A03806g	82728
gene-DEHA2A04334g	6759
gene-DEHA2A04356g	12342
gene-DEHA2A04378g	2943
gene-DEHA2A04400g	1250
gene-DEHA2A04422g	213
gene-DEHA2A04444g	2705
gene-DEHA2A04466g	1377
gene-DEHA2A04488g	7272
gene-DEHA2A04510g	2078
gene-DEHA2A04532g	8302
gene-DEHA2A04554g	6340
gene-DEHA2A04576g	4924
gene-DEHA2A04598r	0
gene-DEHA2A04620g	7505
gene-DEHA2A04642g	4062
gene-DEHA2A04664g	2228
gene-DEHA2A04686g	975
gene-DEHA2A04708g	3451
gene-DEHA2A04730g	1567
gene-DEHA2A04752g	2776
gene-DEHA2A04774g	15661
gene-DEHA2A04796g	918
gene-DEHA2A04818g	2398
gene-DEHA2A04840g	2543
gene-DEHA2A04862g	11216
gene-DEHA2A04884g	3736
gene-DEHA2A04906r	0
gene-DEHA2A04928g	4964
gene-DEHA2A04950g	18
gene-DEHA2A04972g	4148
gene-DEHA2A04994g	4122
gene-DEHA2A05016g	2529
gene-DEHA2A05038g	4266
gene-DEHA2A05060g	3546
gene-DEHA2A05082g	2772
gene-DEHA2A05104g	6452
gene-DEHA2A05126g	3059
gene-DEHA2A05148g	3021
gene-DEHA2A05170g	2753
gene-DEHA2A05192g	6466
gene-DEHA2A05214g	772
gene-DEHA2A05236g	5879
gene-DEHA2A05258g	954
gene-DEHA2A05280g	2904
gene-DEHA2A05302g	1824
gene-DEHA2A05324g	4104
gene-DEHA2A05346g	2931
gene-DEHA2A05368g	6244
gene-DEHA2A05390g	4134
gene-DEHA2A05412g	2195
gene-DEHA2A05434g	4054
gene-DEHA2A05456g	1086
gene-DEHA2A05478g	1665
gene-DEHA2A05500g	8078
gene-DEHA2A05522g	76
gene-DEHA2A05544g	122
gene-DEHA2A05566g	3802
gene-DEHA2A05588g	2468
gene-DEHA2A05610g	1169
gene-DEHA2A05632g	1652
gene-DEHA2A05654g	20908
gene-DEHA2A05676g	2860
gene-DEHA2A05698g	1177
gene-DEHA2A05720g	10062
gene-DEHA2A05742g	9537
gene-DEHA2A05764g	4817
gene-DEHA2A05786g	5403
gene-DEHA2A05808g	1113
gene-DEHA2A05830g	12930
gene-DEHA2A05852g	4102
gene-DEHA2A05874g	2797
gene-DEHA2A05896g	1091
gene-DEHA2A05918g	7985
gene-DEHA2A05940g	1968
gene-DEHA2A05962g	4565
gene-DEHA2A05984g	2071
gene-DEHA2A06006g	3945
gene-DEHA2A06028g	3366
gene-DEHA2A06050g	1781
gene-DEHA2A06072g	1521
gene-DEHA2A06094g	1798
gene-DEHA2A06116g	209
gene-DEHA2A06138g	1
gene-DEHA2A06160g	415
gene-DEHA2A06182g	3117
gene-DEHA2A06204g	1231
gene-DEHA2A06226g	1790
gene-DEHA2A06248g	2755
gene-DEHA2A06270g	1724
gene-DEHA2A06292g	1072
gene-DEHA2A06314g	710
gene-DEHA2A06336g	2196
gene-DEHA2A06358g	3967
gene-DEHA2A06380g	12724
gene-DEHA2A06402g	542
gene-DEHA2A06424g	5021
gene-DEHA2A06446g	3349
gene-DEHA2A06468r	2
gene-DEHA2A06490g	3264
gene-DEHA2A06512g	4102
gene-DEHA2A06534g	6442
gene-DEHA2A06556g	1216
gene-DEHA2A06578g	1712
gene-DEHA2A06600g	2630
gene-DEHA2A06622g	185
gene-DEHA2A06644g	1327
gene-DEHA2A06666g	7128
gene-DEHA2A06688g	60
gene-DEHA2A06710g	3327
gene-DEHA2A06732g	5161
gene-DEHA2A06754g	2095
gene-DEHA2A06776g	23978
gene-DEHA2A06798g	4448
gene-DEHA2A06820g	2807
gene-DEHA2A06842g	16
gene-DEHA2A06864g	1429
gene-DEHA2A06886g	6245
gene-DEHA2A06908g	3127
gene-DEHA2A06930g	5249
gene-DEHA2A06952g	5031
gene-DEHA2A06974g	3511
gene-DEHA2A06996g	1254
gene-DEHA2A07018g	1127
gene-DEHA2A07040g	3199
gene-DEHA2A07062g	331
gene-DEHA2A07084g	1917
gene-DEHA2A07106g	9550
gene-DEHA2A07128g	23892
gene-DEHA2A07150g	2770
gene-DEHA2A07172g	2498
gene-DEHA2A07194g	813
gene-DEHA2A07216g	3858
gene-DEHA2A07238g	4282
gene-DEHA2A07260g	927
gene-DEHA2A07282g	2731
gene-DEHA2A07304r	4
gene-DEHA2A07326g	1334
gene-DEHA2A07348g	2715
gene-DEHA2A07370g	33048
gene-DEHA2A07392g	9352
gene-DEHA2A07414g	44962
gene-DEHA2A07436g	12532
gene-DEHA2A07458g	2983
gene-DEHA2A07480g	9972
gene-DEHA2A07502g	2068
gene-DEHA2A07524g	1955
gene-DEHA2A07546g	1746
gene-DEHA2A07568g	2613
gene-DEHA2A07590g	2742
gene-DEHA2A07612g	25725
gene-DEHA2A07634g	9365
gene-DEHA2A07656g	4774
gene-DEHA2A07678g	3370
gene-DEHA2A07700g	19776
gene-DEHA2A07722g	75
gene-DEHA2A07744g	690
gene-DEHA2A07766g	2228
gene-DEHA2A07788g	4840
gene-DEHA2A07810g	6282
gene-DEHA2A07832g	357
gene-DEHA2A07854g	1380
gene-DEHA2A07876g	2418
gene-DEHA2A07898r	18
gene-DEHA2A07920g	40085
gene-DEHA2A07942g	10949
gene-DEHA2A07964g	822
gene-DEHA2A07986g	3782
gene-DEHA2A08008g	7864
gene-DEHA2A08030g	2088
gene-DEHA2A08052g	122
gene-DEHA2A08074g	3396
gene-DEHA2A08096g	4274
gene-DEHA2A08118g	3466
gene-DEHA2A08140g	343
gene-DEHA2A08162g	1646
gene-DEHA2A08206g	71
gene-DEHA2A08228g	331
gene-DEHA2A08250g	309
gene-DEHA2A08272g	2863
gene-DEHA2A08294g	826
gene-DEHA2A08316g	376
gene-DEHA2A08338g	97
gene-DEHA2A08360g	113
gene-DEHA2A08382g	4698
gene-DEHA2A08404g	824
gene-DEHA2A08426g	137
gene-DEHA2A08448g	544
gene-DEHA2A08470g	0
gene-DEHA2A08492g	24094
gene-DEHA2A08514g	1893
gene-DEHA2A08536g	2203
gene-DEHA2A08558g	3670
gene-DEHA2A08580g	9811
gene-DEHA2A08602g	3688
gene-DEHA2A08624g	5487
gene-DEHA2A08646g	6354
gene-DEHA2A08668g	6441
gene-DEHA2A08690g	1356
gene-DEHA2A08712g	3022
gene-DEHA2A08734g	13289
gene-DEHA2A08756g	7387
gene-DEHA2A08778g	5074
gene-DEHA2A08800g	109231
gene-DEHA2A08822g	2723
gene-DEHA2A08844g	1374
gene-DEHA2A08866g	1410
gene-DEHA2A08888g	2457
gene-DEHA2A08910g	7257
gene-DEHA2A08932g	3805
gene-DEHA2A08954g	133
gene-DEHA2A08976g	3985
gene-DEHA2A08998g	1317
gene-DEHA2A09020g	3573
gene-DEHA2A09042g	714
gene-DEHA2A09064r	1
gene-DEHA2A09086g	2025
gene-DEHA2A09108g	1359
gene-DEHA2A09130g	6066
gene-DEHA2A09152g	7371
gene-DEHA2A09174g	7506
gene-DEHA2A09196g	3955
gene-DEHA2A09218g	2247
gene-DEHA2A09240g	12394
gene-DEHA2A09262g	2728
gene-DEHA2A09284g	3201
gene-DEHA2A09306g	102337
gene-DEHA2A09328g	7364
gene-DEHA2A09350g	3190
gene-DEHA2A09372g	6987
gene-DEHA2A09394g	18161
gene-DEHA2A09416g	2823
gene-DEHA2A09438g	5341
gene-DEHA2A09460g	21923
gene-DEHA2A09482g	8360
gene-DEHA2A09504g	3592
gene-DEHA2A09526g	6627
gene-DEHA2A09548g	1301
gene-DEHA2A09570g	4519
gene-DEHA2A09592g	9586
gene-DEHA2A09614g	722
gene-DEHA2A09636g	3443
gene-DEHA2A09658g	4219
gene-DEHA2A09680g	19545
gene-DEHA2A09702g	1052
