ProteinID	NaCl3
A9RAG1	17955.0332
A9RAH5	98532.03125
B5RSM9	316030.5
B5RSP1	19271.45117
B5RSP3	0
B5RSP4	51917.71875
B5RSP5	289917.4063
B5RSP7	150353.6719
B5RSP8	70950.34375
B5RSP9	358851.3438
B5RSQ2	4178.665039
B5RSQ3	91965.17188
B5RSQ4	584902.875
B5RSQ6	50194.24219
B5RSQ7	30829.25
B5RSQ8	36956.52344
B5RSR0	100330.4531
B5RSR1	14084.54883
B5RSR3	26594.42188
B5RSR4	860360.3125
B5RSR5	57200.91797
B5RSR6	94286.19531
B5RSR7	5519.027832
B5RSR8	106892.2969
B5RSS0	136075.7031
B5RSS1	3026.215332
B5RSS2	38248.23828
B5RSS3	236856.5469
B5RSS5	42392.48438
B5RSS6	27183.62695
B5RSS7	43499.36328
B5RST1	52764.08203
B5RST4	14546.83398
B5RST5	8949.014648
B5RST6	63616.375
B5RST7	514946.875
B5RST8	53572.60938
B5RST9	5233.840332
B5RSU1	98991.84375
B5RSU2	13370.46777
B5RSU3	43319.8125
B5RSU5	32155.82031
B5RSU6	3018.737549
B5RSU8	45753.97266
B5RSV2	11674.64941
B5RSV5	1274887.125
B5RSV6	42874.20313
B5RSV7	12431.99805
B5RSV9	341186.75
B5RSW0	47060.59375
B5RSW2	45300.01172
B5RSW3	79983.10938
B5RSW5	65181.03906
B5RSW7	67549.28125
B5RSW8	32379.08789
B5RSX0	24046.2207
B5RSX2	25713.60938
B5RSX5	36677.77344
B5RSX6	484879.3125
B5RSY0	21237.70313
B5RSY1	201079.4844
B5RSY3	6708663
B5RSY7	575504.8125
B5RSZ0	11037.14355
B5RSZ2	278712.4688
B5RSZ4	128185.7969
B5RSZ6	1022.464172
B5RSZ7	413400.0313
B5RSZ8	47893.99609
B5RT07	6723.316895
B5RT08	736870.5625
B5RT09	194213.6406
B5RT10	54553.32422
B5RT11	83029.34375
B5RT18	33324.61719
B5RT19	9478.260742
B5RT30	235010.9688
B5RT32	8767.443359
B5RT33	3399.296875
B5RT37	83380.78125
B5RT40	99438.57031
B5RT41	39308.78906
B5RT43	26699.05469
B5RT44	15250.23242
B5RT45	30892.08203
B5RT46	217418.4688
B5RT48	67433.82031
B5RT58	13719.68652
B5RT59	213256.3906
B5RT63	4315.782227
B5RT64	114451.5859
B5RT65	350212.0625
B5RT66	25697.75977
B5RT67	1265540.75
B5RT68	290264.4688
B5RT69	146894.9063
B5RT72	59772.88672
B5RT73	1588896.375
B5RT74	1795930.75
B5RT75	71093.07813
B5RT77	465369.75
B5RT79	49656.97656
B5RT80	86303.92188
B5RT81	0
B5RT82	439529.5625
B5RT83	648762.5625
B5RT84	1024498.5
B5RT85	24249.43164
B5RT86	30858.25195
B5RT88	49329.94922
B5RT90	35539.1875
B5RT91	29429.28906
B5RT93	29357.94336
B5RT94	39120.70313
B5RT96	194840.8438
B5RT97	186071.5469
B5RT99	250810.5938
B5RTA0	5604.958984
B5RTA3	32274.48047
B5RTA6	114850.2734
B5RTA7	293945.3125
B5RTA9	4229.058105
B5RTB0	159094.8438
