ProteinID	NaCl2
A9RAG1	13975.8457
A9RAH5	108176.1094
B5RSM9	286589.0938
B5RSP1	18136.23242
B5RSP3	80577.25781
B5RSP4	44832.89063
B5RSP5	234260.4531
B5RSP7	146678.7031
B5RSP8	52742.20313
B5RSP9	297205.9688
B5RSQ2	0
B5RSQ3	85764.76563
B5RSQ4	614226.25
B5RSQ6	45252.80859
B5RSQ7	40935.17578
B5RSQ8	29416.04102
B5RSR0	97193.47656
B5RSR1	13387.71094
B5RSR3	24273.3457
B5RSR4	1813445.875
B5RSR5	56740.19141
B5RSR6	80761.26563
B5RSR7	8117.669434
B5RSR8	77209.32031
B5RSS0	107736.7031
B5RSS1	2409.367432
B5RSS2	39588.46875
B5RSS3	248888.5156
B5RSS5	44986.86719
B5RSS6	35286.36328
B5RSS7	46704.5625
B5RST1	47399.46484
B5RST4	9494.780273
B5RST5	9185.151367
B5RST6	66282.13281
B5RST7	555620.125
B5RST8	97448.10938
B5RST9	6540.685059
B5RSU1	92628.64844
B5RSU2	15196.82813
B5RSU3	42878.05859
B5RSU5	43955.42969
B5RSU6	2612.5271
B5RSU8	35488.93359
B5RSV2	10573.73438
B5RSV5	1181382.125
B5RSV6	40827.20703
B5RSV7	0
B5RSV9	468897.9688
B5RSW0	36063.65234
B5RSW2	22337.05664
B5RSW3	90101.69531
B5RSW5	41996.23828
B5RSW7	57571.18359
B5RSW8	27490.0332
B5RSX0	27896.38867
B5RSX2	19644.20508
B5RSX5	25813.42188
B5RSX6	436389.625
B5RSY0	25732.64844
B5RSY1	241585.6875
B5RSY3	7764204
B5RSY7	547623
B5RSZ0	14500.24707
B5RSZ2	204162.4219
B5RSZ4	187544.2813
B5RSZ6	0
B5RSZ7	369225.5625
B5RSZ8	58782.42578
B5RT07	13154.63867
B5RT08	725284.1875
B5RT09	255778.6719
B5RT10	51879.95313
B5RT11	207989.5
B5RT18	26608.07422
B5RT19	8463.144531
B5RT30	74570.49219
B5RT32	12771.05176
B5RT33	2100.070313
B5RT37	61990.21875
B5RT40	133845.9688
B5RT41	35598.90625
B5RT43	21367.38672
B5RT44	11698.32227
B5RT45	27659.39648
B5RT46	231602.3438
B5RT48	63260.98047
B5RT58	7013.070801
B5RT59	220786.875
