Geneid	RNA STAR on 1MNaCl2: mapped.bam
gene-DEHA2A05038g	4951
gene-DEHA2A05060g	2635
gene-DEHA2A05082g	2991
gene-DEHA2A05104g	7615
gene-DEHA2A05126g	3337
gene-DEHA2A05148g	2775
gene-DEHA2A05170g	3443
gene-DEHA2A05192g	8020
gene-DEHA2A05214g	1276
gene-DEHA2A05236g	8193
gene-DEHA2A05258g	1710
gene-DEHA2A05280g	3770
gene-DEHA2A05302g	1404
gene-DEHA2A05324g	4097
gene-DEHA2A05346g	1940
gene-DEHA2A05368g	6189
gene-DEHA2A05390g	4195
gene-DEHA2A05412g	2451
gene-DEHA2A05434g	4609
gene-DEHA2A05456g	1006
gene-DEHA2A05478g	1470
gene-DEHA2A05500g	17389
gene-DEHA2A05522g	190
gene-DEHA2A05544g	156
gene-DEHA2A05566g	5310
gene-DEHA2A05588g	1729
gene-DEHA2A05610g	1052
gene-DEHA2A05632g	1885
gene-DEHA2A05654g	38125
gene-DEHA2A05676g	3796
gene-DEHA2A05698g	1278
gene-DEHA2A05720g	4660
gene-DEHA2A05742g	4771
gene-DEHA2A05764g	5307
gene-DEHA2A05786g	2441
gene-DEHA2A05808g	879
gene-DEHA2A05830g	12330
gene-DEHA2A05852g	5051
gene-DEHA2A05874g	3165
gene-DEHA2A05896g	1053
gene-DEHA2A05918g	4301
gene-DEHA2A05940g	2012
gene-DEHA2A05962g	6640
gene-DEHA2A05984g	2356
gene-DEHA2A06006g	4845
gene-DEHA2A06028g	4043
gene-DEHA2A06050g	1664
gene-DEHA2A06072g	1013
gene-DEHA2A06094g	3122
gene-DEHA2A06116g	469
gene-DEHA2A06138g	1
gene-DEHA2A06160g	862
gene-DEHA2A06182g	2381
gene-DEHA2A06204g	769
gene-DEHA2A06226g	1831
gene-DEHA2A06248g	820
gene-DEHA2A06270g	2324
gene-DEHA2A06292g	1240
gene-DEHA2A06314g	948
gene-DEHA2A06336g	1843
gene-DEHA2A06358g	2650
gene-DEHA2A06380g	12096
gene-DEHA2A06402g	698
gene-DEHA2A06424g	6072
gene-DEHA2A06446g	4849
gene-DEHA2A06468r	0
gene-DEHA2A06490g	3850
gene-DEHA2A06512g	6144
gene-DEHA2A06534g	9198
gene-DEHA2A06556g	1303
gene-DEHA2A06578g	1744
gene-DEHA2A06600g	2652
gene-DEHA2A06622g	165
gene-DEHA2A06644g	700
gene-DEHA2A06666g	5069
gene-DEHA2A06688g	56
gene-DEHA2A06710g	3312
gene-DEHA2A06732g	7371
gene-DEHA2A06754g	2790
gene-DEHA2A06776g	22203
gene-DEHA2A06798g	6233
gene-DEHA2A06820g	2272
gene-DEHA2A06842g	27
gene-DEHA2A06864g	2636
gene-DEHA2A06886g	6930
gene-DEHA2A06908g	3940
gene-DEHA2A06930g	3209
gene-DEHA2A06952g	3703
gene-DEHA2A06974g	3686
gene-DEHA2A06996g	1150
gene-DEHA2A07018g	1479
gene-DEHA2A07040g	3567
gene-DEHA2A07062g	429
gene-DEHA2A07084g	2348
gene-DEHA2A07106g	9036
gene-DEHA2A07128g	15787
gene-DEHA2A07150g	2524
gene-DEHA2A07172g	3251
gene-DEHA2A07194g	508
gene-DEHA2A07216g	3706
gene-DEHA2A07238g	5148
gene-DEHA2A07260g	1065
gene-DEHA2A07282g	3559
gene-DEHA2A07304r	2
gene-DEHA2A07326g	1542
gene-DEHA2A07348g	2578
gene-DEHA2A07370g	37836
gene-DEHA2A07392g	10031
gene-DEHA2A07414g	44640
gene-DEHA2A07436g	16491
gene-DEHA2A07458g	2646
gene-DEHA2A07480g	7123
gene-DEHA2A07502g	1695
gene-DEHA2A07524g	1376
gene-DEHA2A07546g	1456
gene-DEHA2A07568g	2307
gene-DEHA2A07590g	2242
gene-DEHA2A07612g	29783
gene-DEHA2A07634g	11252
gene-DEHA2A07656g	2834
gene-DEHA2A07678g	3115
gene-DEHA2A07700g	37335
gene-DEHA2A07722g	137
gene-DEHA2A07744g	1119
gene-DEHA2A07766g	4241
gene-DEHA2A07788g	4038
gene-DEHA2A07810g	6727
gene-DEHA2A07832g	1001
gene-DEHA2A07854g	1233
gene-DEHA2A07876g	2893
gene-DEHA2A07898r	14
gene-DEHA2A07920g	57476
gene-DEHA2A07942g	10096
gene-DEHA2A07964g	1114
gene-DEHA2A07986g	4111
gene-DEHA2A08008g	4841
gene-DEHA2A08030g	2337
gene-DEHA2A08052g	104
gene-DEHA2A08074g	2531
gene-DEHA2A08096g	6796
gene-DEHA2A08118g	4510
gene-DEHA2A08140g	327
gene-DEHA2A08162g	2166
gene-DEHA2A08206g	65
gene-DEHA2A08228g	390
gene-DEHA2A08250g	354
gene-DEHA2A08272g	2907
gene-DEHA2A08294g	1044
gene-DEHA2A08316g	629
gene-DEHA2A08338g	146
gene-DEHA2A08360g	97
gene-DEHA2A08382g	9074
gene-DEHA2A08404g	1466
gene-DEHA2A08426g	345
gene-DEHA2A08448g	1916
gene-DEHA2A08470g	0
gene-DEHA2A08492g	30069
gene-DEHA2A08514g	1394
gene-DEHA2A08536g	2152
gene-DEHA2A08558g	4929
gene-DEHA2A08580g	8614
gene-DEHA2A08602g	3689
gene-DEHA2A08624g	7233
gene-DEHA2A08646g	9255
gene-DEHA2A08668g	5868
gene-DEHA2A08690g	2220
gene-DEHA2A08712g	2674
gene-DEHA2A08734g	11127
gene-DEHA2A08756g	5762
gene-DEHA2A08778g	4490
gene-DEHA2A08800g	119143
gene-DEHA2A08822g	2796
gene-DEHA2A08844g	1642
gene-DEHA2A08866g	1235
gene-DEHA2A08888g	3287
gene-DEHA2A08910g	8476
gene-DEHA2A08932g	3374
gene-DEHA2A08954g	256
gene-DEHA2A08976g	4798
gene-DEHA2A08998g	1128
gene-DEHA2A09020g	4207
