ProteinID	KCl2
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	9999.961914
B5RSP7	339870.4688
B5RSP7	93648.80469
B5RSP7	0
B5RSP7	11513.93848
B5RSP7	0
B5RSP7	0
B5RSP7	62671.74219
B5RSP7	72797.11719
B5RSP7	7193.720215
B5RSP7	10182.35449
B5RSP7	250932.0781
B5RSP7	377077.375
B5RSP7	25475.40625
B5RSP7	19639.79883
B5RSP7	5749.70459
B5RSP7	0
B5RSP7	728.6029053
B5RSP9	18322.86328
B5RSQ2	0
B5RSQ4	25760.82227
B5RSQ4	0
B5RSQ4	25291.99414
B5RSQ6	0
B5RSQ6	10078.59766
B5RSQ6	0
B5RSQ8	0
B5RSQ8	223198.9063
B5RSQ8	0
B5RSQ9	14728.90527
B5RSQ9	13282.24512
B5RSQ9	5930.861328
B5RSR4	27318.60352
B5RSR4	0
B5RSR4	22178.24219
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR5	31714.60742
B5RSR5	0
B5RSR5	12692.51074
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	64278.34766
B5RSR5	24928.48438
B5RSR5	0
B5RSR8	24416.25391
B5RSR8	20696.25781
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	8709.147461
B5RSS2	0
B5RSS2	0
B5RSS4	41167.13672
B5RSS4	6471.248047
B5RSS5	0
B5RSS5	1119068.75
B5RSS5	121855.625
B5RSS5	10165.72852
B5RSS5	0
B5RST1	179848.1094
B5RST1	13587.04492
B5RST1	66992.6875
B5RST1	0
B5RST1	63610.49219
B5RST1	0
B5RST1	0
B5RST1	0
B5RST1	0
B5RST2	0
B5RST2	34810.93359
B5RST7	100711.3203
B5RST7	0
B5RST7	7719.348633
B5RST9	0
B5RST9	45558.51953
B5RST9	55269.14844
B5RSU5	338834.7813
B5RSU5	17058.00977
B5RSU6	144097.75
B5RSU6	0
B5RSU6	24373.60742
B5RSU6	9730.014648
B5RSU9	30373.48828
B5RSU9	0
B5RSU9	0
B5RSV4	18719.63672
B5RSV4	0
B5RSV4	0
B5RSV4	18332.01172
B5RSV5	93706.73438
B5RSV5	0
B5RSV5	1769.204224
B5RSV6	9747.192383
B5RSV6	0
B5RSV6	10645.34277
B5RSV6	1624.470337
B5RSV6	17987.15234
B5RSV6	0
B5RSW5	459277.7813
B5RSW5	29118.20313
B5RSW5	22428.26563
B5RSW5	0
B5RSW5	129877.1719
B5RSW5	33254.46484
B5RSW5	13664.7334
B5RSX5	0
B5RSX5	0
B5RSX5	148369.4219
B5RSX6	59199.8125
B5RSX6	0
B5RSX6	0
B5RSZ5	29895.97852
B5RSZ5	2210.63916
B5RT08	10266.03125
B5RT30	185156.6875
B5RT30	0
B5RT30	390435.75
B5RT30	0
B5RT30	0
B5RT31	95242.76563
B5RT37	2305.916992
B5RT37	31749.3418
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	7650.722656
B5RT37	83366.97656
