ProteinID	NaCl1
B5RU49	17229.9375
B5RU52	39854.22656
B5RU55	100832.4141
B5RU58	37936.55078
B5RU63	17369.59766
B5RU65	43141.30078
B5RU68	43435.44141
B5RU72	161243.9531
B5RU76	43967.90234
B5RU79	18712.86328
B5RU82	16519.41797
B5RU83	23098.12695
B5RU84	156236.9219
B5RU86	45220.26172
B5RU87	244648.0469
B5RU88	14468.10059
B5RU91	50144.02734
B5RU96	74435.86719
B5RU98	344457.5
B5RU99	56885.9375
B5RUA3	29254.25781
B5RUA4	49852.96875
B5RUA7	35187.09375
B5RUA8	34788.62109
B5RUA9	76384.39844
B5RUB0	484770.375
B5RUB1	89424.22656
B5RUB2	56769.53906
B5RUB3	977043
B5RUB6	147104.7344
B5RUB8	2578463.5
B5RUB9	28888.27539
B5RUC0	35947.02344
B5RUC2	184215.9688
B5RUC4	12309.0625
B5RUC5	25493.91992
B5RUC6	38140.9375
B5RUC9	268023.125
B5RUD1	49282.91016
B5RUD2	50659.12109
B5RUD3	18307.20117
B5RUD7	164170.2188
B5RUE0	318692.5313
B5RUE1	48553
B5RUE3	29934.27734
B5RUE5	30018.5
B5RUE6	9941.361328
B5RUE9	28262.40625
B5RUF3	269341.5625
B5RUF5	22306.15625
B5RUG0	20828.00586
B5RUG1	197449.8594
B5RUG2	79003.19531
B5RUG5	5516.605957
B5RUG6	851.2971802
B5RUH0	550384.6875
B5RUH2	319640.2813
B5RUH3	58576.08594
B5RUH4	16637.15234
B5RUH5	71740.15625
B5RUH6	17678.50977
B5RUI0	531630.75
B5RUI1	731851.8125
B5RUI2	21872.1543
B5RUI3	14698.2041
B5RUI4	188999.3438
B5RUI5	648072.625
B5RUI6	52581.00781
B5RUJ0	41483.6875
B5RUJ3	113335.7656
B5RUJ4	24099.63672
B5RUJ5	20171.03906
B5RUJ6	25010.75586
B5RUJ7	30304.84961
B5RUK0	0
B5RUK1	9531751
B5RUK3	30902.83789
B5RUK6	682772.75
B5RUL0	69619.63281
B5RUL1	652731.8125
B5RUL5	61687.98828
B5RUL7	93026.26563
B5RUM3	20764.24805
B5RUM4	81315.72656
B5RUM5	1033769.813
B5RUM7	467889.0938
B5RUM8	0
B5RUN0	185482.5781
B5RUN3	583555.1875
B5RUN4	59227.33984
B5RUN6	754846.9375
B5RUN9	97671.46094
B5RUP0	177113.5
B5RUP2	156128.5625
B5RUP5	485482.875
B5RUP6	65384.67188
B5RUP7	343313.7188
B5RUP8	48717.16016
B5RUP9	88985.90625
B5RUQ2	79826.07813
B5RUQ4	104995.6875
B5RUQ5	312315.25
B5RUQ6	0
B5RUR2	23250.86914
B5RUR3	40262.65234
B5RUR6	705791.625
B5RUR7	2727.703613
B5RUR8	34362.80469
B5RUR9	170009.2813
B5RUS1	11111.87402
B5RUS2	12406.44336
B5RUS3	3871311.5
B5RUS6	159322.5625
B5RUS7	10277.30762
B5RUS8	4694.135742
B5RUS9	418844.9063
B5RUT1	29470.40234
B5RUT2	200139.4219
B5RUT4	29076.95117
B5RUT7	103942.6797
B5RUU0	108905.3672
B5RUU2	143792.125
