ProteinID	logFC	logCPM	F	PValue	FDR
Q6BVV1	17.698250242164	2.88967959800083	783.012925664891	6.64761845212928e-08	0.000120473149269309
B5RTM9	18.5772509917831	3.35331676912873	732.24091741943	8.21543920429635e-08	0.000120473149269309
Q6BJ28	1.7697676051809	5.88031453319594	285.450296116609	9.30773751758761e-08	0.000120473149269309
Q6BYM5	17.8432819024913	2.61534289685856	390.471428495543	5.94824077811011e-07	0.000564936143459755
B5RUR2	17.0677486033033	1.6665799208704	342.134451335856	9.00033564110404e-07	0.000564936143459755
Q6BTI5	18.7701348092283	4.27493774465336	340.876025589792	9.10477084605122e-07	0.000564936143459755
Q6BRS3	2.14963089659279	6.28227794655152	157.807690169357	1.01842724806034e-06	0.000564936143459755
Q6BPB3	4.86855433150201	7.30173851796216	147.505334385146	1.3328629241757e-06	0.00064693834182178
B5RUI5	1.2145039860034	7.63605038443974	125.658482843696	2.51575833173128e-06	0.00102832888051226
Q6BV99	-2.60894567727604	9.0680260586056	124.033646431062	2.64828452359583e-06	0.00102832888051226
Q6BVD0	2.06735391543993	9.08889214820654	117.589508374098	3.26729963683702e-06	0.00110553848054055
Q6BZJ8	1.12744365513449	5.10200458135451	113.903579392806	3.70258577636093e-06	0.00110553848054055
Q6BH90	1.13120608209983	5.5732928358598	113.826179008165	3.7124730467533e-06	0.00110553848054055
Q6BKX0	1.53425966232469	4.26456585378853	111.781172987666	3.98597443408904e-06	0.00110553848054055
Q6BV08	15.4075445333915	2.99130931572554	100.686664055736	6.17813237901559e-06	0.0015387763242208
Q6BQT2	2.30449211914267	3.73065450033344	99.2488779074852	6.34056687806664e-06	0.0015387763242208
B5RTQ7	2.26820584525704	4.08812012687702	96.8516287004035	6.97232771154885e-06	0.0015925616767026
Q6BX28	1.08199574032552	8.56828699177041	91.3389299657053	8.74882748364024e-06	0.0018687945723704
Q6BIP1	-1.94662098599717	8.81850202568849	90.2996686042746	9.14424333634758e-06	0.0018687945723704
Q6BYM3	2.95906991001597	4.25349062229554	86.5025612154314	1.07911802053866e-05	0.00198528830573022
B5RUA9	1.14364603482814	4.49935830441335	85.9065774907338	1.10820681147384e-05	0.00198528830573022
Q6BSF3	15.0869123271516	1.00816880839297	151.644759998839	1.12480923837406e-05	0.00198528830573022
B5RSR7	15.6913426232932	0.723725003665943	145.285253852275	1.28273856867971e-05	0.00206742548277603
Q6BYH3	4.46049282194402	5.01127408932647	80.5579105336148	1.41815172633599e-05	0.00206742548277603
Q6BZC7	1.31761798602428	6.42439189233952	80.3321333303459	1.43346044012827e-05	0.00206742548277603
