Geneid	RNA STAR on Control4: mapped.bam
gene-DEHA2A12034g	2997
gene-DEHA2A12056g	4470
gene-DEHA2A12078g	1984
gene-DEHA2A12100g	12189
gene-DEHA2A12122g	3588
gene-DEHA2A12144g	17236
gene-DEHA2A12166g	3048
gene-DEHA2A12188g	12
gene-DEHA2A12210g	8523
gene-DEHA2A12232g	1994
gene-DEHA2A12254g	1099
gene-DEHA2A12276g	6444
gene-DEHA2A12298g	2407
gene-DEHA2A12320g	11
gene-DEHA2A12342g	120
gene-DEHA2A12364g	428
gene-DEHA2A12386g	16
gene-DEHA2A12408g	10
gene-DEHA2A12430g	5850
gene-DEHA2A12452g	2405
gene-DEHA2A12474g	2746
gene-DEHA2A12496g	6439
gene-DEHA2A12518g	2117
gene-DEHA2A12540g	28030
gene-DEHA2A12562g	950
gene-DEHA2A12584g	2070
gene-DEHA2A12606g	5462
gene-DEHA2A12628g	6041
gene-DEHA2A12650g	2208
gene-DEHA2A12672g	3955
gene-DEHA2A12694g	4787
gene-DEHA2A12716g	4
gene-DEHA2A12738g	3935
gene-DEHA2A12760g	1457
gene-DEHA2A12782g	16211
gene-DEHA2A12804g	2774
gene-DEHA2A12826g	3125
gene-DEHA2A12848g	3720
gene-DEHA2A12870g	6576
gene-DEHA2A12892g	4667
gene-DEHA2A12914g	1890
gene-DEHA2A12936g	17051
gene-DEHA2A12958g	10608
gene-DEHA2A12980g	2624
gene-DEHA2A13002g	3544
gene-DEHA2A13024g	2818
gene-DEHA2A13046g	3455
gene-DEHA2A13068g	14
gene-DEHA2A13090g	5132
gene-DEHA2A13112g	5312
gene-DEHA2A13134g	5385
gene-DEHA2A13156g	6575
gene-DEHA2A13178g	385
gene-DEHA2A13200g	62030
gene-DEHA2A13222g	557
gene-DEHA2A13244g	2754
gene-DEHA2A13266g	4127
gene-DEHA2A13288g	11836
gene-DEHA2A13310g	3586
gene-DEHA2A13332g	902
gene-DEHA2A13354g	974
gene-DEHA2A13376g	1291
gene-DEHA2A13398g	3291
gene-DEHA2A13420g	18953
gene-DEHA2A13442g	2683
gene-DEHA2A13464g	1218
gene-DEHA2A13486g	2089
gene-DEHA2A13508g	2039
gene-DEHA2A13530g	2303
gene-DEHA2A13552g	2100
gene-DEHA2A13574g	4408
gene-DEHA2A13596g	1672
gene-DEHA2A13618g	36582
gene-DEHA2A13640g	9673
gene-DEHA2A13662g	6457
gene-DEHA2A13684g	5749
gene-DEHA2A13706g	2133
gene-DEHA2A13728g	1779
gene-DEHA2A13750g	5593
gene-DEHA2A13772g	1735
gene-DEHA2A13794g	4691
gene-DEHA2A13816g	1482
gene-DEHA2A13838g	3344
gene-DEHA2A13860g	3865
gene-DEHA2A13882g	935
gene-DEHA2A13904g	8365
gene-DEHA2A13926g	3640
gene-DEHA2A13948g	956
gene-DEHA2A13970g	5939
gene-DEHA2A13992g	6985
gene-DEHA2A14014g	17927
gene-DEHA2A14036g	5885
gene-DEHA2A14058g	10035
gene-DEHA2A14080g	2387
gene-DEHA2A14102g	1002
gene-DEHA2A14124g	3526
gene-DEHA2A14146g	1998
gene-DEHA2A14168g	10003
gene-DEHA2A14190g	2357
gene-DEHA2A14212g	4945
gene-DEHA2A14234g	1189
gene-DEHA2A14256g	3375
gene-DEHA2A14278g	1171
gene-DEHA2A14300g	904
gene-DEHA2A14322g	36
gene-DEHA2A14344g	415
gene-DEHA2A14366g	10007
gene-DEHA2A14388g	26038
gene-DEHA2A14410g	7783
gene-DEHA2A14498g	4
gene-DEHA2A14520g	42
gene-DEHA2A14542g	2313
gene-DEHA2A14586g	3172
gene-DEHA2A14608g	2397
gene-DEHA2A14630g	21
gene-DEHA2A14652g	743
gene-DEHA2A14674g	2
gene-DEHA2A14696g	7084
gene-DEHA2A14718g	2621
gene-DEHA2A14740g	390
gene-DEHA2A14762g	52
gene-DEHA2A14784g	0
gene-DEHA2A14806g	39
gene-DEHA2A14828g	10
gene-DEHA2B00110g	21395
gene-DEHA2B00132g	15660
gene-DEHA2B00154g	2
gene-DEHA2B00176g	4
gene-DEHA2B00198g	26
gene-DEHA2B00220g	254
gene-DEHA2B00242g	0
gene-DEHA2B00264g	0
gene-DEHA2B00286g	6
gene-DEHA2B00308g	58
gene-DEHA2B00330g	2
gene-DEHA2B00352g	246
gene-DEHA2B00374g	330
gene-DEHA2B00396g	979
gene-DEHA2B00418g	434
gene-DEHA2B00440g	29
gene-DEHA2B00462g	40
gene-DEHA2B00484g	92
gene-DEHA2B00506g	649
gene-DEHA2B00528g	2520
gene-DEHA2B00550g	542
gene-DEHA2B00572g	67
gene-DEHA2B00594g	1048
gene-DEHA2B00616g	1380
gene-DEHA2B00638g	3013
gene-DEHA2B00660g	6176
gene-DEHA2B00682g	4042
gene-DEHA2B00704g	1661
gene-DEHA2B00726g	2619
gene-DEHA2B00748g	1323
gene-DEHA2B00770g	2068
gene-DEHA2B00792g	2715
gene-DEHA2B00814g	22857
gene-DEHA2B00836g	45
gene-DEHA2B00858g	12717
gene-DEHA2B00880g	178
gene-DEHA2B00902g	19174
gene-DEHA2B00924g	3447
gene-DEHA2B00946g	6017
gene-DEHA2B00968g	7966
gene-DEHA2B00990g	397
gene-DEHA2B01012g	12906
gene-DEHA2B01034r	6
gene-DEHA2B01056g	16
gene-DEHA2B01078g	317
gene-DEHA2B01100g	2974
gene-DEHA2B01122g	8045
gene-DEHA2B01144g	7777
gene-DEHA2B01166g	27
gene-DEHA2B01188g	7
gene-DEHA2B01210g	25572
gene-DEHA2B01232g	7688
gene-DEHA2B01254g	8328
gene-DEHA2B01276g	1999
gene-DEHA2B01298g	1923
gene-DEHA2B01320g	4514
gene-DEHA2B01342g	4674
gene-DEHA2B01364g	2075
gene-DEHA2B01386g	7720
gene-DEHA2B01408g	846
gene-DEHA2B01430g	25064
gene-DEHA2B01452g	5935
gene-DEHA2B01474g	2887
gene-DEHA2B01496g	4076
gene-DEHA2B01518g	4168
gene-DEHA2B01540g	3066
gene-DEHA2B01562g	2471
gene-DEHA2B01584g	4059
gene-DEHA2B01606g	494
gene-DEHA2B01628g	2833
gene-DEHA2B01650g	2154
gene-DEHA2B01672g	8925
gene-DEHA2B01694g	4125
gene-DEHA2B01716g	12825
gene-DEHA2B01738g	8726
gene-DEHA2B01760g	4309
gene-DEHA2B01782g	1537
gene-DEHA2B01804g	26223
gene-DEHA2B01826g	5211
gene-DEHA2B01848g	10
gene-DEHA2B01870g	8403
gene-DEHA2B01892g	1359
gene-DEHA2B01914g	2846
gene-DEHA2B01936g	1074
gene-DEHA2B01958g	8128
gene-DEHA2B01980g	32
gene-DEHA2B02002g	42
gene-DEHA2B02024g	3881
gene-DEHA2B02046g	3156
gene-DEHA2B02068g	2334
gene-DEHA2B02090g	3909
gene-DEHA2B02112g	901
gene-DEHA2B02134g	940
gene-DEHA2B02156g	3995
gene-DEHA2B02178g	8595
gene-DEHA2B02200g	2653
gene-DEHA2B02222g	3081
gene-DEHA2B02244g	3156
gene-DEHA2B02266g	1712
gene-DEHA2B02288g	1452
gene-DEHA2B02310g	147
gene-DEHA2B02332g	1474
gene-DEHA2B02354g	141
gene-DEHA2B02376g	9626
gene-DEHA2B02398g	373
gene-DEHA2B02420g	18384
gene-DEHA2B02442g	4278
gene-DEHA2B02464g	1425
gene-DEHA2B02486g	3649
gene-DEHA2B02508g	1810
gene-DEHA2B02530g	2741
gene-DEHA2B02552g	10243
gene-DEHA2B02574g	12124
gene-DEHA2B02596g	11057
gene-DEHA2B02618g	5918
gene-DEHA2B02640g	4295
gene-DEHA2B02662r	8
gene-DEHA2B02684g	3358
gene-DEHA2B02706g	2881
gene-DEHA2B02728g	1012
gene-DEHA2B02750g	11223
gene-DEHA2B02772g	16677
gene-DEHA2B02794g	1074
gene-DEHA2B02816g	1176
gene-DEHA2B02838g	4329
gene-DEHA2B02860g	23
gene-DEHA2B02882g	3597
gene-DEHA2B02904g	49895
gene-DEHA2B02926g	1651
gene-DEHA2B02948g	2620
gene-DEHA2B02970g	2275
gene-DEHA2B02992g	2214
gene-DEHA2B03014g	8417
gene-DEHA2B03036g	4164
gene-DEHA2B03058g	19166
gene-DEHA2B03080r	0
gene-DEHA2B03102g	3956
gene-DEHA2B03124g	3568
gene-DEHA2B03146g	2806
gene-DEHA2B03168g	875
gene-DEHA2B03190g	6974
gene-DEHA2B03212g	3137
gene-DEHA2B03234g	2098
gene-DEHA2B03256g	9421
gene-DEHA2B03278g	4488
gene-DEHA2B03300g	974
gene-DEHA2B03322g	3239
gene-DEHA2B03344g	2593
gene-DEHA2B03366g	7473
gene-DEHA2B03388g	2091
gene-DEHA2B03410g	10944
gene-DEHA2B03432g	1203
gene-DEHA2B03454g	7724
gene-DEHA2B03476g	606
gene-DEHA2B03498g	9
gene-DEHA2B03520g	4365
gene-DEHA2B03542g	974
gene-DEHA2B03564g	3979
gene-DEHA2B03586g	6983
gene-DEHA2B03608g	15
gene-DEHA2B03630g	22769
gene-DEHA2B03652g	9262
gene-DEHA2B03674g	1011
gene-DEHA2B03696g	4726
gene-DEHA2B03718g	21736
gene-DEHA2B03740g	3415
gene-DEHA2B03762g	1938
gene-DEHA2B03784g	2772
gene-DEHA2B03806g	6856
gene-DEHA2B03828g	8746
gene-DEHA2B03850g	447
gene-DEHA2B03872g	1090
gene-DEHA2B03894g	5378
gene-DEHA2B03916g	447
gene-DEHA2B03938g	13652
gene-DEHA2B03960g	5501
gene-DEHA2B03982g	3373
gene-DEHA2B04004g	2225
gene-DEHA2B04048g	4604
gene-DEHA2B04070g	5014
gene-DEHA2B04092g	2167
gene-DEHA2B04114g	539
gene-DEHA2B04136g	2834
gene-DEHA2B04158g	1376
gene-DEHA2B04180g	22789
gene-DEHA2B04202g	7461
gene-DEHA2B04224g	2781
gene-DEHA2B04246g	2353
gene-DEHA2B04268g	3961
gene-DEHA2B04290g	108
gene-DEHA2B04312g	14403
gene-DEHA2B04334g	2323
gene-DEHA2B04356g	5846
gene-DEHA2B04378g	2940
gene-DEHA2B04400g	2118
gene-DEHA2B04422g	1941
gene-DEHA2B04444g	414
gene-DEHA2B04466g	3237
gene-DEHA2B04488g	2029
gene-DEHA2B04510g	0
gene-DEHA2B04532g	5587
gene-DEHA2B04554g	6009
gene-DEHA2B04576g	1631
gene-DEHA2B04598g	1457
gene-DEHA2B04620g	13468
gene-DEHA2B04642g	8701
gene-DEHA2B04664g	6585
gene-DEHA2B04686g	25343
gene-DEHA2B04708g	8315
gene-DEHA2B04730g	14757
gene-DEHA2B04752g	5887
gene-DEHA2B04774g	5044
gene-DEHA2B04796g	8780
gene-DEHA2B04818g	5903
gene-DEHA2B04840r	0
gene-DEHA2B04862g	280
gene-DEHA2B04884g	3264
gene-DEHA2B04906g	17428
gene-DEHA2B04928g	7010
gene-DEHA2B04950g	6789
gene-DEHA2B04972g	10928
gene-DEHA2B04994g	6198
gene-DEHA2B05016g	2564
gene-DEHA2B05038g	4240
gene-DEHA2B05060g	2658
gene-DEHA2B05082g	2239
gene-DEHA2B05104g	10284
gene-DEHA2B05126g	4228
gene-DEHA2B05148g	1837
gene-DEHA2B05170g	5087
gene-DEHA2B05192g	2951
gene-DEHA2B05214g	730
gene-DEHA2B05236g	7569
gene-DEHA2B05258g	2648
gene-DEHA2B05280g	3118
gene-DEHA2B05302g	2052
gene-DEHA2B05324r	0
gene-DEHA2B05346r	0
gene-DEHA2B05368g	2529
gene-DEHA2B05390g	19445
gene-DEHA2B05412g	11585
