Geneid	RNA STAR on Control4: mapped.bam
gene-DEHA2A00110g	557
gene-DEHA2A00132g	227
gene-DEHA2A00154g	20856
gene-DEHA2A00176g	143
gene-DEHA2A00198g	417
gene-DEHA2A00220g	885
gene-DEHA2A00242g	2207
gene-DEHA2A00264g	1183
gene-DEHA2A00286g	2365
gene-DEHA2A00308g	326
gene-DEHA2A00330g	52
gene-DEHA2A00352g	563
gene-DEHA2A00374g	225
gene-DEHA2A00396g	29
gene-DEHA2A00418g	1493
gene-DEHA2A00440g	2298
gene-DEHA2A00462g	661
gene-DEHA2A00484g	1592
gene-DEHA2A00506g	12076
gene-DEHA2A00528g	1346
gene-DEHA2A00550g	6434
gene-DEHA2A00572g	546
gene-DEHA2A00594g	4143
gene-DEHA2A00616g	2171
gene-DEHA2A00638g	1106
gene-DEHA2A00660g	995
gene-DEHA2A00682g	797
gene-DEHA2A00704g	321
gene-DEHA2A00726g	4333
gene-DEHA2A00748g	1668
gene-DEHA2A00770g	2792
gene-DEHA2A00792g	4092
gene-DEHA2A00814g	14689
gene-DEHA2A00836g	2223
gene-DEHA2A00858g	819
gene-DEHA2A00880g	7526
gene-DEHA2A00902g	995
gene-DEHA2A00924r	10
gene-DEHA2A00946g	198
gene-DEHA2A00968g	613
gene-DEHA2A00990r	2
gene-DEHA2A01012g	806
gene-DEHA2A01034g	2656
gene-DEHA2A01056g	1152
gene-DEHA2A01078r	0
gene-DEHA2A01100g	10824
gene-DEHA2A01122g	1972
gene-DEHA2A01144g	8870
gene-DEHA2A01166g	3
gene-DEHA2A01188g	7
gene-DEHA2A01210g	1747
gene-DEHA2A01232g	1818
gene-DEHA2A01254g	3604
gene-DEHA2A01276g	4247
gene-DEHA2A01298g	3484
gene-DEHA2A01320g	6
gene-DEHA2A01342g	4271
gene-DEHA2A01364g	64859
gene-DEHA2A01386g	10
gene-DEHA2A01408g	1904
gene-DEHA2A01430g	7937
gene-DEHA2A01452g	508
gene-DEHA2A01474g	10854
gene-DEHA2A01496g	2554
gene-DEHA2A01518g	1698
gene-DEHA2A01540g	4130
gene-DEHA2A01562g	2028
gene-DEHA2A01584g	1396
gene-DEHA2A01606g	4061
gene-DEHA2A01628g	11752
gene-DEHA2A01650g	4004
gene-DEHA2A01672g	1752
gene-DEHA2A01694g	2563
gene-DEHA2A01716g	3579
gene-DEHA2A01738g	3032
gene-DEHA2A01760g	5337
gene-DEHA2A01782g	4399
gene-DEHA2A01804g	11069
gene-DEHA2A01826g	23
gene-DEHA2A01848g	9152
gene-DEHA2A01870g	8547
gene-DEHA2A01892g	6462
gene-DEHA2A01914g	7886
gene-DEHA2A01936g	11955
gene-DEHA2A01958g	1225
gene-DEHA2A01980g	2607
gene-DEHA2A02002r	0
gene-DEHA2A02024g	3837
gene-DEHA2A02046g	2790
gene-DEHA2A02068g	1
gene-DEHA2A02090g	620
gene-DEHA2A02112g	2655
gene-DEHA2A02134g	1323
gene-DEHA2A02156g	5343
gene-DEHA2A02178g	2880
gene-DEHA2A02200g	2191
gene-DEHA2A02222g	1939
gene-DEHA2A02244g	3286
gene-DEHA2A02266g	6178
gene-DEHA2A02288g	1946
gene-DEHA2A02310g	3689
gene-DEHA2A02332g	2003
gene-DEHA2A02354g	5367
gene-DEHA2A02376g	10782
gene-DEHA2A02398g	3756
gene-DEHA2A02420g	560
gene-DEHA2A02442g	7740
gene-DEHA2A02464g	6173
gene-DEHA2A02486g	10663
gene-DEHA2A02508g	6511
gene-DEHA2A02530g	2743
gene-DEHA2A02552g	2653
gene-DEHA2A02574g	6361
gene-DEHA2A02596g	4643
gene-DEHA2A02618g	424
gene-DEHA2A02640g	928
gene-DEHA2A02662g	870
gene-DEHA2A02684g	1029
gene-DEHA2A02706g	2805
gene-DEHA2A02728g	2123
gene-DEHA2A02750g	5021
gene-DEHA2A02772g	1050
gene-DEHA2A02794g	1287
gene-DEHA2A02816g	25
gene-DEHA2A02838g	6283
gene-DEHA2A02860g	12627
gene-DEHA2A02882g	7507
gene-DEHA2A02904g	8341
gene-DEHA2A02926g	16321
gene-DEHA2A02948g	28
gene-DEHA2A02970g	1037
gene-DEHA2A02992g	14000
gene-DEHA2A03014g	8685
gene-DEHA2A03036g	4735
gene-DEHA2A03058g	1353
gene-DEHA2A03080g	7472
gene-DEHA2A03102g	8627
gene-DEHA2A03124g	3820
gene-DEHA2A03146g	9862
gene-DEHA2A03168g	1848
gene-DEHA2A03190g	3613
gene-DEHA2A03212g	9982
gene-DEHA2A03234g	4518
gene-DEHA2A03256g	2147
gene-DEHA2A03278g	4716
gene-DEHA2A03300g	4733
gene-DEHA2A03322g	13918
gene-DEHA2A03344g	964
gene-DEHA2A03366g	2224
gene-DEHA2A03388g	4126
gene-DEHA2A03410g	13
gene-DEHA2A03432g	2772
gene-DEHA2A03454g	3555
gene-DEHA2A03476g	12189
gene-DEHA2A03498g	16311
gene-DEHA2A03520g	3799
gene-DEHA2A03542g	8360
gene-DEHA2A03564g	1700
gene-DEHA2A03586g	2577
gene-DEHA2A03608g	4968
gene-DEHA2A03630g	3565
gene-DEHA2A03652g	9733
gene-DEHA2A03674g	10728
gene-DEHA2A03696g	16694
gene-DEHA2A03718g	4199
gene-DEHA2A03740g	1154
gene-DEHA2A03762r	2
gene-DEHA2A03784g	49
gene-DEHA2A03806g	3381
gene-DEHA2A04334g	5046
gene-DEHA2A04356g	4281
gene-DEHA2A04378g	3716
gene-DEHA2A04400g	1369
gene-DEHA2A04422g	422
gene-DEHA2A04444g	2535
gene-DEHA2A04466g	2303
gene-DEHA2A04488g	10590
gene-DEHA2A04510g	2796
gene-DEHA2A04532g	3980
gene-DEHA2A04554g	6631
gene-DEHA2A04576g	3612
gene-DEHA2A04598r	0
gene-DEHA2A04620g	7124
gene-DEHA2A04642g	3687
gene-DEHA2A04664g	3307
gene-DEHA2A04686g	978
gene-DEHA2A04708g	4586
gene-DEHA2A04730g	1397
gene-DEHA2A04752g	2617
gene-DEHA2A04774g	17517
gene-DEHA2A04796g	2486
gene-DEHA2A04818g	3948
gene-DEHA2A04840g	1885
gene-DEHA2A04862g	5693
gene-DEHA2A04884g	3294
gene-DEHA2A04906r	0
gene-DEHA2A04928g	5448
gene-DEHA2A04950g	127
gene-DEHA2A04972g	4099
gene-DEHA2A04994g	3150
gene-DEHA2A05016g	2512
gene-DEHA2A05038g	5447
gene-DEHA2A05060g	2954
gene-DEHA2A05082g	3508
gene-DEHA2A05104g	7744
gene-DEHA2A05126g	3473
gene-DEHA2A05148g	3106
gene-DEHA2A05170g	3959
gene-DEHA2A05192g	7553
gene-DEHA2A05214g	1392
gene-DEHA2A05236g	8653
gene-DEHA2A05258g	2129
gene-DEHA2A05280g	4939
gene-DEHA2A05302g	1621
gene-DEHA2A05324g	5754
gene-DEHA2A05346g	2356
gene-DEHA2A05368g	6865
gene-DEHA2A05390g	4881
gene-DEHA2A05412g	2946
gene-DEHA2A05434g	4586
gene-DEHA2A05456g	1333
gene-DEHA2A05478g	1692
gene-DEHA2A05500g	37051
gene-DEHA2A05522g	258
gene-DEHA2A05544g	162
gene-DEHA2A05566g	5557
gene-DEHA2A05588g	1430
gene-DEHA2A05610g	1148
gene-DEHA2A05632g	1932
gene-DEHA2A05654g	21273
gene-DEHA2A05676g	3728
gene-DEHA2A05698g	1486
gene-DEHA2A05720g	5246
gene-DEHA2A05742g	6679
gene-DEHA2A05764g	5336
gene-DEHA2A05786g	3034
gene-DEHA2A05808g	1159
gene-DEHA2A05830g	12681
gene-DEHA2A05852g	4740
gene-DEHA2A05874g	3027
gene-DEHA2A05896g	774
gene-DEHA2A05918g	4403
gene-DEHA2A05940g	2245
gene-DEHA2A05962g	7055
gene-DEHA2A05984g	2218
gene-DEHA2A06006g	4876
gene-DEHA2A06028g	4925
gene-DEHA2A06050g	2234
gene-DEHA2A06072g	1464
gene-DEHA2A06094g	4004
gene-DEHA2A06116g	415
gene-DEHA2A06138g	3
gene-DEHA2A06160g	1114
gene-DEHA2A06182g	2659
gene-DEHA2A06204g	752
gene-DEHA2A06226g	1761
gene-DEHA2A06248g	1037
gene-DEHA2A06270g	2570
gene-DEHA2A06292g	2535
gene-DEHA2A06314g	1498
gene-DEHA2A06336g	4123
gene-DEHA2A06358g	3291
gene-DEHA2A06380g	12781
gene-DEHA2A06402g	994
gene-DEHA2A06424g	6054
gene-DEHA2A06446g	5420
gene-DEHA2A06468r	0
gene-DEHA2A06490g	3984
gene-DEHA2A06512g	8422
gene-DEHA2A06534g	8190
gene-DEHA2A06556g	1281
gene-DEHA2A06578g	2214
gene-DEHA2A06600g	2976
gene-DEHA2A06622g	297
gene-DEHA2A06644g	1277
gene-DEHA2A06666g	5786
gene-DEHA2A06688g	62
gene-DEHA2A06710g	3792
gene-DEHA2A06732g	9136
gene-DEHA2A06754g	2947
gene-DEHA2A06776g	23270
gene-DEHA2A06798g	8290
gene-DEHA2A06820g	3832
gene-DEHA2A06842g	27
gene-DEHA2A06864g	3878
gene-DEHA2A06886g	11459
gene-DEHA2A06908g	4024
gene-DEHA2A06930g	4015
gene-DEHA2A06952g	4363
gene-DEHA2A06974g	4414
gene-DEHA2A06996g	1589
gene-DEHA2A07018g	1625
gene-DEHA2A07040g	4617
gene-DEHA2A07062g	478
gene-DEHA2A07084g	2575
gene-DEHA2A07106g	10264
gene-DEHA2A07128g	11794
gene-DEHA2A07150g	3156
gene-DEHA2A07172g	5339
gene-DEHA2A07194g	776
gene-DEHA2A07216g	4352
gene-DEHA2A07238g	6256
gene-DEHA2A07260g	1360
gene-DEHA2A07282g	4213
gene-DEHA2A07304r	10
gene-DEHA2A07326g	3178
gene-DEHA2A07348g	2851
gene-DEHA2A07370g	48667
gene-DEHA2A07392g	6419
gene-DEHA2A07414g	38373
gene-DEHA2A07436g	20558
gene-DEHA2A07458g	3175
gene-DEHA2A07480g	10734
gene-DEHA2A07502g	2520
gene-DEHA2A07524g	1847
gene-DEHA2A07546g	1592
gene-DEHA2A07568g	2574
gene-DEHA2A07590g	2727
gene-DEHA2A07612g	28486
gene-DEHA2A07634g	10234
gene-DEHA2A07656g	3981
gene-DEHA2A07678g	3529
gene-DEHA2A07700g	35814
gene-DEHA2A07722g	134
gene-DEHA2A07744g	1305
gene-DEHA2A07766g	5416
gene-DEHA2A07788g	4566
gene-DEHA2A07810g	8032
gene-DEHA2A07832g	1721
gene-DEHA2A07854g	1459
gene-DEHA2A07876g	2786
gene-DEHA2A07898r	62
gene-DEHA2A07920g	78028
gene-DEHA2A07942g	11248
gene-DEHA2A07964g	1036
gene-DEHA2A07986g	4835
gene-DEHA2A08008g	7434
gene-DEHA2A08030g	3216
gene-DEHA2A08052g	193
gene-DEHA2A08074g	3246
gene-DEHA2A08096g	8508
gene-DEHA2A08118g	4798
gene-DEHA2A08140g	637
gene-DEHA2A08162g	2494
gene-DEHA2A08206g	81
gene-DEHA2A08228g	534
gene-DEHA2A08250g	345
gene-DEHA2A08272g	3347
gene-DEHA2A08294g	1490
gene-DEHA2A08316g	1292
gene-DEHA2A08338g	248
gene-DEHA2A08360g	323
gene-DEHA2A08382g	10465
gene-DEHA2A08404g	1518
gene-DEHA2A08426g	231
gene-DEHA2A08448g	943
gene-DEHA2A08470g	2
gene-DEHA2A08492g	23833
gene-DEHA2A08514g	1945
gene-DEHA2A08536g	2164
gene-DEHA2A08558g	5547
gene-DEHA2A08580g	9312
gene-DEHA2A08602g	4670
gene-DEHA2A08624g	9524
gene-DEHA2A08646g	10640
gene-DEHA2A08668g	5196
gene-DEHA2A08690g	2596
gene-DEHA2A08712g	3237
gene-DEHA2A08734g	12507
gene-DEHA2A08756g	5284
gene-DEHA2A08778g	3792
gene-DEHA2A08800g	80474
gene-DEHA2A08822g	2927
gene-DEHA2A08844g	2115
gene-DEHA2A08866g	2236
gene-DEHA2A08888g	3605
gene-DEHA2A08910g	8168
gene-DEHA2A08932g	3493
gene-DEHA2A08954g	476
gene-DEHA2A08976g	4529
gene-DEHA2A08998g	1338
gene-DEHA2A09020g	5132
gene-DEHA2A09042g	1132
gene-DEHA2A09064r	0
gene-DEHA2A09086g	6628
gene-DEHA2A09108g	1296
gene-DEHA2A09130g	6787
gene-DEHA2A09152g	5328
gene-DEHA2A09174g	2268
gene-DEHA2A09196g	3274
gene-DEHA2A09218g	3361
gene-DEHA2A09240g	8519
gene-DEHA2A09262g	3445
gene-DEHA2A09284g	4457
gene-DEHA2A09306g	43660
gene-DEHA2A09328g	7747
gene-DEHA2A09350g	2384
gene-DEHA2A09372g	5088
gene-DEHA2A09394g	20361
gene-DEHA2A09416g	3101
gene-DEHA2A09438g	8442
gene-DEHA2A09460g	15095
gene-DEHA2A09482g	12279
gene-DEHA2A09504g	5461
gene-DEHA2A09526g	15112
gene-DEHA2A09548g	831
gene-DEHA2A09570g	2478
gene-DEHA2A09592g	7821
gene-DEHA2A09614g	1945
gene-DEHA2A09636g	3190
gene-DEHA2A09658g	5923
gene-DEHA2A09680g	15749
gene-DEHA2A09702g	716
gene-DEHA2A09724g	1443
gene-DEHA2A09746g	2107
gene-DEHA2A09768g	9939
gene-DEHA2A09790g	8504
gene-DEHA2A09812g	3334
gene-DEHA2A09834g	2249
gene-DEHA2A09856g	4421
gene-DEHA2A09878g	1452
gene-DEHA2A09900g	1129
gene-DEHA2A09922g	1767
gene-DEHA2A09944g	2238
gene-DEHA2A09966g	6746
gene-DEHA2A09988g	2887
gene-DEHA2A10010g	12990
gene-DEHA2A10032g	6738
gene-DEHA2A10054g	1270
gene-DEHA2A10076g	2368
gene-DEHA2A10098g	3245
gene-DEHA2A10120g	3283
gene-DEHA2A10142g	5488
gene-DEHA2A10164g	3818
gene-DEHA2A10186g	4573
gene-DEHA2A10208g	3430
gene-DEHA2A10230g	2582
gene-DEHA2A10252g	6197
gene-DEHA2A10274g	4805
gene-DEHA2A10296g	8559
gene-DEHA2A10318g	2257
gene-DEHA2A10340g	6995
gene-DEHA2A10362g	696
gene-DEHA2A10384g	11292
gene-DEHA2A10406g	5173
gene-DEHA2A10428g	4198
gene-DEHA2A10450g	4498
gene-DEHA2A10472g	1688
gene-DEHA2A10494g	3715
gene-DEHA2A10516g	28157
gene-DEHA2A10538g	40761
gene-DEHA2A10560g	3424
gene-DEHA2A10582g	2753
gene-DEHA2A10604g	768
gene-DEHA2A10626g	3398
gene-DEHA2A10648g	4451
gene-DEHA2A10670g	5428
gene-DEHA2A10692r	1
gene-DEHA2A10714g	1656
gene-DEHA2A10736g	315
gene-DEHA2A10758g	9954
gene-DEHA2A10780g	9407
gene-DEHA2A10802g	1939
gene-DEHA2A10824g	4088
gene-DEHA2A10846g	1722
gene-DEHA2A10868g	4325
gene-DEHA2A10890g	3652
gene-DEHA2A10912g	4301
gene-DEHA2A10934g	2470
gene-DEHA2A10956g	13003
gene-DEHA2A10978g	6577
gene-DEHA2A11000g	2048
gene-DEHA2A11022g	132
gene-DEHA2A11044g	63175
gene-DEHA2A11066g	3736
gene-DEHA2A11088g	1809
gene-DEHA2A11110g	7142
gene-DEHA2A11132g	1916
gene-DEHA2A11154g	18
gene-DEHA2A11176g	1
gene-DEHA2A11198g	34100
gene-DEHA2A11220g	7471
gene-DEHA2A11242g	6930
gene-DEHA2A11264g	1243
gene-DEHA2A11286g	2168
gene-DEHA2A11308g	4812
gene-DEHA2A11330g	36
gene-DEHA2A11352g	1853
gene-DEHA2A11374g	8045
gene-DEHA2A11396g	4313
gene-DEHA2A11418g	1309
gene-DEHA2A11440g	5424
gene-DEHA2A11462g	2166
gene-DEHA2A11484g	65
gene-DEHA2A11506g	11351
gene-DEHA2A11528g	8288
gene-DEHA2A11550g	4949
gene-DEHA2A11572g	5365
gene-DEHA2A11594g	3796
gene-DEHA2A11616g	2672
gene-DEHA2A11638g	4548
gene-DEHA2A11660g	20918
gene-DEHA2A11682g	941
gene-DEHA2A11704g	2371
gene-DEHA2A11726r	0
gene-DEHA2A11748r	0
gene-DEHA2A11770r	4
gene-DEHA2A11792g	6038
gene-DEHA2A11814g	4557
gene-DEHA2A11836g	3499
gene-DEHA2A11858g	11088
gene-DEHA2A11880g	3270
gene-DEHA2A11902g	3548
gene-DEHA2A11924g	1962
gene-DEHA2A11946g	9399
gene-DEHA2A11968g	3751
gene-DEHA2A11990g	1171
gene-DEHA2A12012g	2663
