GeneID	logFC	logCPM	F	PValue	FDR
gene-DEHA2G08822g	-2.29122796373315	8.58820967196529	321.147817484707	1.6559628540255e-08	0.000107736943282899
gene-DEHA2E14234g	3.76934937949411	8.05103061134433	253.108013822672	5.11641626159354e-08	0.000166437020989638
gene-DEHA2E23958g	3.64079750153599	5.09362364321081	223.735093392445	8.69091974898835e-08	0.000188477079623061
gene-DEHA2D01188g	9.72165989504638	7.1344758402443	182.606512879156	2.27829704487022e-07	0.000269926721803498
gene-DEHA2F04598g	2.51381350167368	5.44807781988709	176.637359185577	2.47782383888386e-07	0.000269926721803498
gene-DEHA2C01012g	3.05246566793138	2.82620394761054	175.219689460889	2.48933343194127e-07	0.000269926721803498
gene-DEHA2A14740g	-3.9479750495528	2.17838950813903	169.121785123617	2.98041075915114e-07	0.000277007891414819
gene-DEHA2D18876g	4.03271017916497	7.90207644153784	163.323245384184	3.63837609462545e-07	0.000295890935895415
gene-DEHA2E02530g	-2.53338756375144	4.76581672769846	148.336006310061	5.33532927147341e-07	0.000385685024891178
gene-DEHA2E02596g	3.91803584069685	9.7572144647068	143.48059348201	6.27188524901944e-07	0.000408048854301205
gene-DEHA2F05544g	2.02737352880328	6.48453710206703	119.208126248393	1.38866692439328e-06	0.00082133336455479
gene-DEHA2C03608g	-1.98929289027969	7.44801908784109	116.308950481813	1.53418030889601e-06	0.000831781424139789
gene-DEHA2C02552g	2.36742127486561	10.2684706488766	108.909571318785	2.03533381334152e-06	0.00101860629150768
gene-DEHA2F16632g	-1.37177449356826	6.09310133569333	105.925264767234	2.23727504951708e-06	0.00103969367658272
gene-DEHA2B15840g	-1.57012242810425	3.9327377064189	100.621114940664	2.78832117222314e-06	0.00120938783643225
gene-DEHA2D13750g	-1.04230976904379	6.83002676410691	98.245694723409	3.08806423854713e-06	0.00125568412099923
gene-DEHA2B09812g	-3.24748272851828	2.55668231135516	96.7386162655177	3.37666851961112e-06	0.00129227090521117
gene-DEHA2C11462g	1.31127929835832	8.32110136313296	91.210333858163	4.23706068024856e-06	0.00153146204364984
gene-DEHA2C04268g	-1.99999052630561	9.55011359034883	87.0947616574816	5.26755694226406e-06	0.00173192123797503
gene-DEHA2E01364g	2.50107495738132	10.0765906701926	86.3042719253848	5.47388517116446e-06	0.00173192123797503
gene-DEHA2D19008g	4.38311892127327	4.07074805593647	85.2189260544401	6.03095518093443e-06	0.00173192123797503
gene-DEHA2E06974g	-1.49654904815981	6.49560056437478	83.4319848195019	6.31136663581675e-06	0.00173192123797503
gene-DEHA2D17974g	2.82063540161351	1.86525828044714	83.226442152104	6.35062511409286e-06	0.00173192123797503
gene-DEHA2B10670g	-1.07093950999832	6.5296630980168	82.7646158174218	6.38888867374742e-06	0.00173192123797503
gene-DEHA2G04554g	-1.52505708233373	2.74079787418759	80.3245495831585	7.24510975185525e-06	0.00188546736182281
gene-DEHA2D12232g	1.13531015337681	6.82828991625713	79.6748371332943	7.59508123981711e-06	0.00189833738276005
gene-DEHA2A14696g	2.70924359557904	9.76878582209748	79.3608140183034	7.87812931671092e-06	0.00189833738276005
gene-DEHA2C11528g	1.82936606760868	7.17477631971451	78.2988126231281	8.33349166962967e-06	0.00193634631437895
gene-DEHA2A12342g	1.79967830514975	2.97401203690542	76.1793152526301	9.04433288338757e-06	0.00201631947750731
gene-DEHA2F22770g	-1.02318834373496	8.6037037756845	75.2417476488243	9.52401141197633e-06	0.00201631947750731
gene-DEHA2D02464g	1.99489079209898	3.87370904059876	75.2815283739024	9.69887160083071e-06	0.00201631947750731
gene-DEHA2F22440g	1.58883739507484	6.07096994918675	74.8793104661829	9.91734142026344e-06	0.00201631947750731
gene-DEHA2B16280g	3.16218161866035	1.36473366365169	72.9310107228984	1.1064384843026e-05	0.00218136023602203
gene-DEHA2A06292g	-1.00404317009023	5.64357581016689	70.4992900584575	1.24838710153205e-05	0.00238882543604927
gene-DEHA2B02376g	-1.22397443942009	7.54078225858407	66.8280651524674	1.58507388792385e-05	0.00294642591852359
gene-DEHA2D01166g	1.80305188759299	4.59948186784221	65.930343908898	1.67753662353742e-05	0.00303168146464846
gene-DEHA2E23474g	-1.04039047648715	6.34547900797482	63.253003992913	1.97690006011444e-05	0.00347613832192015
gene-DEHA2G02288g	1.62581318673639	2.94882358685632	61.5990496265333	2.17461626807942e-05	0.00372317195792755
gene-DEHA2A12166g	-0.905519298408222	6.11272626797708	60.2357455919996	2.38229732993908e-05	0.00394707787249151
gene-DEHA2C14608g	-0.894431409408761	6.36871148440531	59.9627987832887	2.42673093912789e-05	0.00394707787249151
gene-DEHA2D08602g	-1.54665108609888	3.69472507337146	58.6418794959454	2.65656882081993e-05	0.00413312979706748
gene-DEHA2D19030g	5.00443446259968	5.0758305696875	59.3500028796256	2.66817478445795e-05	0.00413312979706748
gene-DEHA2D00880g	2.86995561396125	0.843682135143565	58.0009647942347	2.81741803496628e-05	0.00426281900825363
gene-DEHA2A00352g	1.56363102525997	4.96946894278905	57.3308688453606	2.96229456848115e-05	0.00438015646875872
gene-DEHA2F00462g	5.23703500980371	1.27905375443586	55.9340443326533	3.30412256060654e-05	0.00477606105571681
gene-DEHA2F16500g	-2.30128871465089	3.82283768392446	55.6314399520493	3.37686456444779e-05	0.00477606105571681
gene-DEHA2A04796g	-1.08764633584596	5.63376963839341	54.6382025985893	3.56035084236388e-05	0.0049284345915786
gene-DEHA2F15202g	1.23655568493581	8.87680424957362	54.3929858889111	3.64621058172553e-05	0.00494213459264714
