ProteinID	Control5
B5RU52	47324.36719
B5RU55	134725.9375
B5RU58	41191.18359
B5RU63	42200.99609
B5RU65	62976.82422
B5RU68	18282.24609
B5RU72	88987.51563
B5RU76	12339.9873
B5RU79	24305.34375
B5RU82	18008.36914
B5RU83	30606.56055
B5RU84	60734.93359
B5RU86	63207.25391
B5RU87	217609.5625
B5RU88	23899.53711
B5RU91	52827.0625
B5RU96	99577.10938
B5RU98	379816.6875
B5RU99	71699.53125
B5RUA3	29714.64844
B5RUA4	60880.92969
B5RUA7	55118.00781
B5RUA8	44325.10938
B5RUA9	35872.15234
B5RUB0	427141.9375
B5RUB1	70843.57031
B5RUB2	57124.11719
B5RUB3	1086155.625
B5RUB6	171573.625
B5RUB8	2814886.75
B5RUB9	12510.41113
B5RUC0	42063.59375
B5RUC2	179746.5313
B5RUC4	9818.725586
B5RUC5	37693.36328
B5RUC6	36801.42578
B5RUC9	225690.8125
B5RUD1	51720.24219
B5RUD2	77909.32031
B5RUD3	26451.64453
B5RUD7	181574.9531
B5RUE0	218107.7344
B5RUE1	34693.6875
B5RUE3	31755.08594
B5RUE5	30118.05469
B5RUE6	11533.1582
B5RUE9	16084.28711
B5RUF3	295275.4688
B5RUF5	20757.11328
B5RUG0	28875.26563
B5RUG1	142485.125
B5RUG2	70059.11719
B5RUG5	4091.209473
B5RUG6	2229.908447
B5RUH0	295616.9375
B5RUH2	241468.2344
B5RUH3	53204.82422
B5RUH4	20842.69922
B5RUH5	100292.8828
B5RUH6	6121.346191
B5RUI0	567182.3125
B5RUI1	641964.125
B5RUI2	37173.60156
B5RUI3	15151.86523
B5RUI4	115915.4688
B5RUI5	304588.0938
B5RUI6	107101.8047
B5RUJ0	43624.65625
B5RUJ3	133880.4063
B5RUJ4	24277.1875
B5RUJ5	15834.89844
B5RUJ6	35549.75781
B5RUJ7	22502.98242
B5RUK0	268.7872009
B5RUK1	6375676
B5RUK3	41571.25
B5RUK6	597642.875
B5RUL0	135813.5156
B5RUL1	651766.625
B5RUL5	71615.59375
B5RUL7	46522.97266
B5RUM3	6393.267578
B5RUM4	66247.74219
B5RUM5	867494.8125
B5RUM7	365059.1875
B5RUM8	0
B5RUN0	130182.0313
