ProteinID	Control4
A9RAG1	19894.04688
A9RAH5	0
B5RSM9	543024.5625
B5RSP1	29501.64453
B5RSP3	0
B5RSP4	103630.4297
B5RSP5	297011.8438
B5RSP7	182622.2813
B5RSP8	12107.60352
B5RSP9	744677.625
B5RSQ2	15736.75195
B5RSQ3	174958.2188
B5RSQ4	599110.375
B5RSQ6	85121.07031
B5RSQ7	27355.50586
B5RSQ8	77574.85938
B5RSR0	89938.34375
B5RSR1	27120.95703
B5RSR3	43850.62109
B5RSR4	127013.6953
B5RSR5	151047.6719
B5RSR6	69825.58594
B5RSR7	0
B5RSR8	64826.02344
B5RSS0	226987.3438
B5RSS1	5143.147461
B5RSS2	19145.80469
B5RSS3	223433.9531
B5RSS5	142252.2656
B5RSS6	10272.62695
B5RSS7	33105.30469
B5RST1	62655.04688
B5RST4	14676.86328
B5RST5	6311.520996
B5RST6	101042.5625
B5RST7	162591.6875
B5RST8	105061.1797
B5RST9	387.7590027
B5RSU1	147410.0313
B5RSU2	22633.9707
B5RSU3	76142.89844
B5RSU5	0
B5RSU6	2011.078491
B5RSU8	78542.33594
B5RSV2	26223.90234
B5RSV5	1506984.375
B5RSV6	76907.88281
B5RSV7	0
B5RSV9	0
B5RSW0	48858.76172
B5RSW2	10112.13965
B5RSW3	141042.375
B5RSW5	159544.8125
B5RSW7	42498.52734
B5RSW8	37840.31641
B5RSX0	55852.87891
B5RSX2	58363.41797
B5RSX5	56924.48438
B5RSX6	600378.5
B5RSY0	19302.87891
B5RSY1	207749.7188
B5RSY3	1366392.875
B5RSY7	532401.4375
B5RSZ0	26136.72656
B5RSZ2	649937.375
B5RSZ4	106497.4297
B5RSZ6	0
B5RSZ7	551497.375
B5RSZ8	0
B5RT07	13100.62891
B5RT08	1185046.125
B5RT09	0
B5RT10	66378.26563
B5RT11	49817.91797
B5RT18	78830.75781
B5RT19	19704.51758
B5RT30	172347.2188
B5RT32	19169.55469
B5RT33	4764.144531
B5RT37	123438.3281
B5RT40	78253.48438
B5RT41	18285.94531
B5RT43	65817.57813
B5RT44	17741.08203
B5RT45	47164.45313
B5RT46	404113.0313
B5RT48	108403.5078
B5RT58	14656.46582
B5RT59	356076.4375
B5RT63	28996.37891
B5RT64	121446.4375
B5RT65	383285.0625
B5RT66	25668.90625
B5RT67	2054612.75
B5RT68	281498.25
B5RT69	240774.4375
B5RT72	8295.287109
B5RT73	674230
B5RT74	658702.125
B5RT75	134182.4219
B5RT77	2004814.75
B5RT79	71841.21094
B5RT80	170342.5
B5RT81	7105.711914
B5RT82	231137.3438
B5RT83	958283.3125
B5RT84	879407.875
B5RT85	16849.53125
B5RT86	37107.21875
B5RT88	55643.58984
