ProteinID	logFC	logCPM	F	PValue	FDR
Q6BJ28	1.9321105846942	5.88031453319594	336.684392801989	4.74406456251019e-08	0.000115301123433859
Q6BVV1	18.17143624741	2.88967959800083	811.458900306851	5.93876504938755e-08	0.000115301123433859
B5RTM9	18.2385574419814	3.35331676912873	713.670558824732	8.90958437893641e-08	0.000115319720478034
Q6BIP1	-3.19708214345289	8.81850202568849	220.634310426475	2.64827271685224e-07	0.000213940287338925
Q6BPB3	6.35767699528863	7.30173851796216	218.492127147886	2.75483244062483e-07	0.000213940287338925
Q6BVD0	2.74915688866898	9.08889214820654	197.352965628494	4.15371247898887e-07	0.000268814425931896
Q6BYM5	17.4953690665137	2.61534289685856	380.383249758897	6.45719588586373e-07	0.000310581776928328
Q6BZJ8	1.40449942894727	5.10200458135451	174.462316364103	6.8173290866618e-07	0.000310581776928328
Q6BTI5	19.7466512046133	4.27493774465336	367.420916872875	7.19865050825381e-07	0.000310581776928328
B5RUR2	16.2906204561068	1.6665799208704	322.33700450191	1.08459216462422e-06	0.000421147137523585
Q6BV99	-2.7955550234102	9.0680260586056	140.250045532022	1.62869134591468e-06	0.000574928045107881
B5RUI5	1.26437757177565	7.63605038443974	135.875324608952	1.84680104879247e-06	0.000597594039371762
Q6BKX0	1.60170312764577	4.26456585378853	121.359982581504	2.88575053966705e-06	0.000800538692524762
Q6BS18	2.42328598533337	5.33059442541918	121.354009011748	2.88630999107563e-06	0.000800538692524762
Q6BV08	16.8552970030887	2.99130931572554	113.044784297156	3.9370600202782e-06	0.000945048362469129
Q6BQA7	-1.93568480896761	5.67599046425819	111.06807134	4.0871827317252e-06	0.000945048362469129
Q6BZC7	1.55667307333974	6.42439189233952	110.721796120245	4.13747673499232e-06	0.000945048362469129
Q6BLV6	2.09951345901102	5.83191507180911	103.944736275115	5.29596524916228e-06	0.0011091808540326
Q6BY85	1.56173371954552	5.47357499258786	99.9140024400276	6.1779928231696e-06	0.0011091808540326
Q6BH90	1.04762103761893	5.5732928358598	97.9646074554025	6.6697572454137e-06	0.0011091808540326
Q6BH50	2.33966514450883	6.83263492429974	96.6972596434215	7.01562609152708e-06	0.0011091808540326
B5RUA9	1.21319153121956	4.49935830441335	96.3737869017691	7.10744162939423e-06	0.0011091808540326
Q6BPR7	2.04835134697339	5.37312626880314	96.3360551012501	7.11824827597637e-06	0.0011091808540326
Q6BSF3	16.6524582240129	1.00816880839297	171.780752102326	7.66556164959416e-06	0.0011091808540326
Q6BX28	1.10096106177489	8.56828699177041	94.4945171325404	7.67135046278729e-06	0.0011091808540326
Q6BQH6	3.9033049034933	7.93731754264746	94.3790955992141	7.70776104120414e-06	0.0011091808540326
B5RTQ7	2.23625463219788	4.08812012687702	94.3639230725411	7.71256323947467e-06	0.0011091808540326
B5RT72	4.27934986628839	4.99793558758992	91.7101745618955	8.61273139002003e-06	0.00119440128526599
Q6BJ76	1.47911817326613	4.50767684928069	85.537895869861	1.12668861104485e-05	0.00150859719885764
B5RSR7	15.8781903540029	0.723725003665943	147.455118075552	1.2257546491479e-05	0.00155859565079465
Q6BUE5	1.66312131937303	6.22271357463616	83.3549194863374	1.24430762746933e-05	0.00155859565079465
Q6BLM8	17.2110560317623	2.01161951824736	142.889904012523	1.34975802778053e-05	0.00157560697961777
Q6BKI8	1.68967311622468	5.13110516876466	81.2422921700278	1.37296925146662e-05	0.00157560697961777
Q6BY93	2.05960218635105	4.18885974448488	80.7357559419482	1.40623545767404e-05	0.00157560697961777
Q6BTE9	-2.64997741494756	4.70675328493878	80.1080082528644	1.44886020669033e-05	0.00157560697961777
Q6BRS5	1.49503954538062	6.83391739456832	79.9366343195802	1.46077391878032e-05	0.00157560697961777
Q6BQ03	2.72914298438985	2.46284603228167	77.5663493120987	1.63870973234692e-05	0.00168594959291301
Q6BUF9	0.928544534438198	7.28476765633086	77.4278960069998	1.64991204045054e-05	0.00168594959291301
Q6BYH3	4.25773417557346	5.01127408932647	74.8334747670523	1.87851660435305e-05	0.00182526987831008
Q6BQT2	1.97765749783972	3.73065450033344	74.8151354334279	1.88026770879225e-05	0.00182526987831008
Q6BQS9	4.2572902655914	9.86417610650016	73.4017553291524	2.02152878689685e-05	0.00191009422919735
Q6BNC2	1.30285251607774	11.2223783740433	72.3272122521727	2.13780660101542e-05	0.00191009422919735
Q6BWC4	1.07841607407374	5.26804873975272	72.0791645954857	2.16581650842228e-05	0.00191009422919735
B5RU26	1.13716253430251	7.13663397310962	71.7236672316605	2.2067575548558e-05	0.00191009422919735
Q6BI65	0.870851953550807	6.14047583086545	71.6650169534216	2.21360392258255e-05	0.00191009422919735
Q6BL02	-0.904974570065483	9.87644302280367	70.8296255745401	2.31403979760387e-05	0.00195335142045562
Q6BP14	15.7232360263254	0.509867834552769	116.737092597392	2.50054611642999e-05	0.00206587671704205
