Geneid	RNA STAR on 1MKCl2: mapped.bam
gene-DEHA2A00110g	44
gene-DEHA2A00132g	30
gene-DEHA2A00154g	17471
gene-DEHA2A00176g	94
gene-DEHA2A00198g	351
gene-DEHA2A00220g	344
gene-DEHA2A00242g	787
gene-DEHA2A00264g	720
gene-DEHA2A00286g	2053
gene-DEHA2A00308g	347
gene-DEHA2A00330g	27
gene-DEHA2A00352g	1137
gene-DEHA2A00374g	585
gene-DEHA2A00396g	90
gene-DEHA2A00418g	414
gene-DEHA2A00440g	2401
gene-DEHA2A00462g	831
gene-DEHA2A00484g	1306
gene-DEHA2A00506g	9791
gene-DEHA2A00528g	737
gene-DEHA2A00550g	3440
gene-DEHA2A00572g	274
gene-DEHA2A00594g	1942
gene-DEHA2A00616g	2066
gene-DEHA2A00638g	700
gene-DEHA2A00660g	647
gene-DEHA2A00682g	285
gene-DEHA2A00704g	549
gene-DEHA2A00726g	2803
gene-DEHA2A00748g	549
gene-DEHA2A00770g	1425
gene-DEHA2A00792g	4093
gene-DEHA2A00814g	8514
gene-DEHA2A00836g	1557
gene-DEHA2A00858g	649
gene-DEHA2A00880g	16392
gene-DEHA2A00902g	1717
gene-DEHA2A00924r	6
gene-DEHA2A00946g	172
gene-DEHA2A00968g	377
gene-DEHA2A00990r	8
gene-DEHA2A01012g	724
gene-DEHA2A01034g	3616
gene-DEHA2A01056g	932
gene-DEHA2A01078r	0
gene-DEHA2A01100g	9376
gene-DEHA2A01122g	1071
gene-DEHA2A01144g	2305
gene-DEHA2A01166g	1
gene-DEHA2A01188g	8
gene-DEHA2A01210g	977
gene-DEHA2A01232g	1907
gene-DEHA2A01254g	2906
gene-DEHA2A01276g	3292
gene-DEHA2A01298g	2042
gene-DEHA2A01320g	12
gene-DEHA2A01342g	6079
gene-DEHA2A01364g	43523
gene-DEHA2A01386g	6
gene-DEHA2A01408g	2094
gene-DEHA2A01430g	5046
gene-DEHA2A01452g	457
gene-DEHA2A01474g	7826
gene-DEHA2A01496g	1905
gene-DEHA2A01518g	581
gene-DEHA2A01540g	3605
gene-DEHA2A01562g	1770
gene-DEHA2A01584g	1796
gene-DEHA2A01606g	3505
gene-DEHA2A01628g	11240
gene-DEHA2A01650g	7493
gene-DEHA2A01672g	1826
gene-DEHA2A01694g	2002
gene-DEHA2A01716g	2978
gene-DEHA2A01738g	2200
gene-DEHA2A01760g	5774
gene-DEHA2A01782g	3193
gene-DEHA2A01804g	8212
gene-DEHA2A01826g	5
gene-DEHA2A01848g	9192
gene-DEHA2A01870g	8050
gene-DEHA2A01892g	3347
gene-DEHA2A01914g	6579
gene-DEHA2A01936g	8943
gene-DEHA2A01958g	1026
gene-DEHA2A01980g	2092
gene-DEHA2A02002r	0
gene-DEHA2A02024g	5183
gene-DEHA2A02046g	1997
gene-DEHA2A02068g	2
gene-DEHA2A02090g	660
gene-DEHA2A02112g	2136
gene-DEHA2A02134g	1559
gene-DEHA2A02156g	5880
gene-DEHA2A02178g	2082
gene-DEHA2A02200g	3365
gene-DEHA2A02222g	1291
gene-DEHA2A02244g	2861
gene-DEHA2A02266g	5902
gene-DEHA2A02288g	1352
gene-DEHA2A02310g	3727
gene-DEHA2A02332g	1500
gene-DEHA2A02354g	3911
gene-DEHA2A02376g	2273
gene-DEHA2A02398g	1879
gene-DEHA2A02420g	497
gene-DEHA2A02442g	7468
gene-DEHA2A02464g	5673
gene-DEHA2A02486g	10035
gene-DEHA2A02508g	4409
gene-DEHA2A02530g	1716
gene-DEHA2A02552g	2357
gene-DEHA2A02574g	6333
gene-DEHA2A02596g	3266
gene-DEHA2A02618g	232
gene-DEHA2A02640g	623
gene-DEHA2A02662g	581
gene-DEHA2A02684g	340
gene-DEHA2A02706g	1745
gene-DEHA2A02728g	1222
gene-DEHA2A02750g	2484
gene-DEHA2A02772g	590
gene-DEHA2A02794g	1157
gene-DEHA2A02816g	13
gene-DEHA2A02838g	12957
gene-DEHA2A02860g	8681
gene-DEHA2A02882g	15433
gene-DEHA2A02904g	6945
gene-DEHA2A02926g	14525
gene-DEHA2A02948g	15
gene-DEHA2A02970g	1513
gene-DEHA2A02992g	15432
gene-DEHA2A03014g	7870
gene-DEHA2A03036g	4642
gene-DEHA2A03058g	1240
gene-DEHA2A03080g	7424
gene-DEHA2A03102g	9975
gene-DEHA2A03124g	3127
gene-DEHA2A03146g	7953
gene-DEHA2A03168g	1482
gene-DEHA2A03190g	2331
gene-DEHA2A03212g	15412
gene-DEHA2A03234g	6223
gene-DEHA2A03256g	5024
gene-DEHA2A03278g	4171
gene-DEHA2A03300g	5342
gene-DEHA2A03322g	13259
gene-DEHA2A03344g	1423
gene-DEHA2A03366g	1787
gene-DEHA2A03388g	3373
gene-DEHA2A03410g	4
gene-DEHA2A03432g	375
gene-DEHA2A03454g	9233
gene-DEHA2A03476g	9390
gene-DEHA2A03498g	11070
gene-DEHA2A03520g	3425
gene-DEHA2A03542g	8432
gene-DEHA2A03564g	58
gene-DEHA2A03586g	1688
gene-DEHA2A03608g	4608
gene-DEHA2A03630g	2806
gene-DEHA2A03652g	12463
gene-DEHA2A03674g	11798
gene-DEHA2A03696g	12720
gene-DEHA2A03718g	3542
