ProteinID	KCl4
B5RU55	170140.6719
B5RU58	18686.48242
B5RU63	923.1154785
B5RU65	20614.36328
B5RU68	12407.88965
B5RU72	106787.8594
B5RU76	20213.05273
B5RU79	9842.211914
B5RU82	17631.35547
B5RU83	6673.370605
B5RU84	64132.57813
B5RU86	27671.09766
B5RU87	177462.1875
B5RU88	21516.73242
B5RU91	103488.2344
B5RU96	88543.99219
B5RU98	307999.5938
B5RU99	58671.62891
B5RUA3	13261.71289
B5RUA4	19517.77734
B5RUA7	19169.94141
B5RUA8	44666.92969
B5RUA9	58887.37109
B5RUB0	237645.5
B5RUB1	73766.03125
B5RUB2	41851.26172
B5RUB3	1036340.563
B5RUB6	84414.71875
B5RUB8	3074050
B5RUB9	15031.79395
B5RUC0	30922.28906
B5RUC2	136568.5
B5RUC4	10084.31934
B5RUC5	16926.98633
B5RUC6	13339.30762
B5RUC9	87352.60156
B5RUD1	52747.35938
B5RUD2	56676.88281
B5RUD3	10801.71973
B5RUD7	132861
B5RUE0	134053.1719
B5RUE1	15144.29102
B5RUE3	17196.58789
B5RUE5	23260.60742
B5RUE6	2489.514893
B5RUE9	7265.224609
B5RUF3	161538.7344
B5RUF5	12840.53516
B5RUG0	7199.244141
B5RUG1	147236.9063
B5RUG2	58474.23047
B5RUG5	8212.65625
B5RUG6	7126.590332
B5RUH0	277639.6875
B5RUH2	271527.0625
B5RUH3	38415.24609
B5RUH4	2165.846924
B5RUH5	22960.14258
B5RUH6	0
B5RUI0	138157.0469
B5RUI1	502064.25
B5RUI2	15416.96387
B5RUI3	15058.27441
B5RUI4	98098.45313
B5RUI5	560181.4375
B5RUI6	53573.12109
B5RUJ0	21897.39258
B5RUJ3	49697.65234
B5RUJ4	18262.18945
B5RUJ5	31891.92188
B5RUJ6	36407.32813
B5RUJ7	14926.4043
B5RUK0	1770.077881
B5RUK1	9410330
B5RUK3	47032.46094
B5RUK6	621733.5
B5RUL0	37487.26172
B5RUL1	585288.0625
B5RUL5	74051.21094
B5RUL7	70478.82031
B5RUM3	4413.054199
B5RUM4	84848.57813
B5RUM5	1039755.5
B5RUM7	314041.625
B5RUM8	0
B5RUN0	135412.5313
B5RUN3	517479.1563
B5RUN4	47976.64844
B5RUN6	426522.4375
B5RUN9	26173.51758
B5RUP0	164251.6563
B5RUP2	208406.7813
B5RUP5	288848.4063
B5RUP6	38028.18359
B5RUP7	349323.9375
B5RUP8	12625.46484
B5RUP9	109627.6953
B5RUQ2	50174.96875
B5RUQ4	36719.79297
B5RUQ5	277367.5938
B5RUQ6	9099.454102
B5RUR2	8222.228516
B5RUR3	49306.23828
B5RUR6	848531
B5RUR7	1
B5RUR8	27915.64453
B5RUR9	184207.7188
B5RUS1	9158.792969
B5RUS2	5451.883301
B5RUS3	3361047
B5RUS6	89141.75
B5RUS7	16715.07031
B5RUS8	1053.920654
B5RUS9	410878.9688
B5RUT1	8936.868164
B5RUT2	257057.7969
B5RUT4	17528.50391
B5RUT7	60781.58984
B5RUU0	82465.16406
B5RUU2	112941.4531
B5RUU3	3311.251709
B5RUU5	33099.11719
B5RUU6	8854.978516
B5RUU7	25524.26172
B5RUU9	123734.8281
B5RUV2	20889.60352
B5RUV3	11943.01074
B5RUV5	36970.39453
B5RUV9	63552.40234
B5RUW1	7474.557617
B5RUW2	256020.125
B5RUW5	621530.625
B5RUW6	22579.75586
B5RUW9	31631.46875
B5RUX0	12188.21289
B5RUX1	11713.7334
B5RUX2	3224.880127
B5RUX3	26550.95703
B5RUX5	81127.46875
B5RUX6	40035.26563
B5RUX7	27975.33008
B5RUY0	256482.6563
B5RUY4	267136.2188
B5RUY6	280058.75
B5RUY7	8410.489258
B5RUY8	23491.91992
B5RUY9	16736.75195
B5RUZ0	14906.89941
B5RUZ2	1847175.125
B5RUZ3	161209.7344
B5RUZ5	25963.91602
B5RUZ7	20543.4668
B5RV00	40137.41406
B5RV01	21620.68359
B5RV02	721641.6875
B5RV04	11524.87598
B5RV09	19469.30859
B5RV10	62416.17188
B5RV11	461590.9063
B5RV13	1786.978394
B5RV15	9429.089844
B5RV16	42639.51953
B5RV17	5072.540039
B5RV18	109099.0234
B5RV20	13385.09375
B5RV22	0
B5RV24	14826.20117
B5RV25	2898.088135
B5RV26	37979.02344
B5RV27	35560.60938
B5RV29	65553.3125
B5RV32	151618.4375
B5RV33	12190.88184
B5RV34	50701.71875
B5RV36	32102.42383
B5RV39	1165115.875
B5RV40	608044.4375
B5RV41	12181.83105
B5RV43	51347.33594
B5RV44	3358.446289
B5RV45	347563.125
B5RV46	111616.4609
B5RV48	231366.4063
B5RV49	105886.8906
B5RV50	437593.9063
B5RV52	36611.64063
B5RV55	63077.37891
B5RV56	71998.86719
B5RV57	153091.375
B5RV58	1336117.125
O42724	4473998
P00043	687414
Q3V7I2	654729.125
Q3V7I3	38760.87891
Q6B458	4511477.5
Q6B4U7	453982.8438
Q6BGN8	1540694
Q6BGP9_Q6BVH2	1418.997803
Q6BGQ1	2405816
Q6BGQ3	0
Q6BGQ6	4097.578125
Q6BGQ7	16302.58203
Q6BGQ8	34477.25391
Q6BGR0	20175.72656
Q6BGR1	463219.1875
Q6BGR3	3203606
Q6BGR5	30929.14453
Q6BGR6	30422.00195
Q6BGR7	26382.21094
Q6BGR8	1404197.5
Q6BGR9	26192.50195
Q6BGS2	490445.125
Q6BGS3	716087.9375
Q6BGS5	250655.0781
Q6BGS7	58644.60938
Q6BGS8	24595.6582
Q6BGT0	2797607.5
Q6BGT1	950960.25
Q6BGT5	86769.17188
Q6BGT6	49906.08594
Q6BGT7	16360.54297
Q6BGT8	6617.662109
Q6BGT9	0
Q6BGU0	282085.9688
Q6BGU1	31888.86523
Q6BGU2	9793055
Q6BGU4	215291.7188
Q6BGU5	14791.01367
Q6BGU6	33370.14063
Q6BGU7	54676.19531
Q6BGU8	101872.3047
Q6BGV0	23598.80078
Q6BGV1	1265887.625
Q6BGV2	43796.50391
Q6BGV3	1955770.25
Q6BGV4	499490.3438
Q6BGV5	49035.51563
Q6BGV6	11944620
Q6BGV7	1205678.375
Q6BGV8	23638.36719
Q6BGV9	11233.68359
Q6BGW0	238099.4063
Q6BGW1	28440.24414
Q6BGW2	1713493.875
Q6BGW3	67461.98438
Q6BGW8	33802.22266
Q6BGX2	69581.0625
Q6BGX6	78713.05469
Q6BGY4	12464862
Q6BGY7	2891.181152
Q6BGY8	74131.67969
Q6BGY9	130812.1484
Q6BGZ3	322414.625
Q6BH03	187104.9844
Q6BH10	1377751.375
Q6BH11	30231.11133
Q6BH12	435217.25
Q6BH13	414504.7813
Q6BH16	68740.64844
Q6BH18	16457.99023
Q6BH19	10279.60059
Q6BH20	21019.89258
Q6BH22	177016.4219
Q6BH23	41808.68359
Q6BH29	7156.177246
Q6BH30	80567
Q6BH32	14152.74121
Q6BH34	169112.8125
Q6BH36	25020.30859
Q6BH37	253460.8281
Q6BH38	11370.25391
Q6BH39	0
Q6BH40	52031.47656
Q6BH41	176187.3438
Q6BH42	23467.17188
Q6BH47	20309.20898
Q6BH48	58377.71484
Q6BH50	435651.6875
Q6BH52	120360.2031
Q6BH53	107508.6094
Q6BH54	21882.98828
Q6BH55	8511.668945
Q6BH57	1053329
Q6BH63	27712.88477
Q6BH64	2562531.25
Q6BH67	21015.23633
Q6BH69	2725.779541
Q6BH70	19307.01758
Q6BH72	22706.65039
Q6BH75	345814.75
Q6BH76	352551.4375
Q6BH79	38458.0625
Q6BH80	1153595.375
Q6BH82	38892.57031
Q6BH87	26307.05469
Q6BH88	192999.5156
Q6BH89	16065.64941
Q6BH90	130914.7969
Q6BH91	65221.84766
Q6BH92	9382.141602
Q6BH93	245607.1406
Q6BH94	36798.01953
Q6BH95	277588.625
Q6BH96	401920.4063
Q6BH97	114781.0781
Q6BH99	8655.833984
Q6BHA0	16615.54297
Q6BHA1	108019.0625
Q6BHA3	21089.50977
Q6BHA4	60217.42188
Q6BHA5	106421.3906
Q6BHA8	52383.55469
Q6BHA9	156252.5313
Q6BHB1	33791.29297
Q6BHB2	13672311
Q6BHB3	7894.491211
Q6BHB4	24921.9375
Q6BHB5	2613565.5
Q6BHB8	220219.0156
Q6BHB9	282063.6875
Q6BHC1	1340984.25
Q6BHC2	80101.42188
Q6BHC3	104426.2813
Q6BHC4	25085.74219
Q6BHC6	124325.9063
Q6BHD1	226067.9375
Q6BHD2	24280.63086
Q6BHD9	361158.4375
Q6BHE0	70425.92969
Q6BHE2	114617.5078
Q6BHE4	8358.110352
Q6BHE5	30547.56445
Q6BHE6	0
Q6BHE9	93640.03906
Q6BHF1	289347.8438
Q6BHF2	42186.26172
Q6BHF3	94121.5625
Q6BHF5	196566.7188
Q6BHF8	97866.5
Q6BHF9	52692.82422
Q6BHG3	385928.9688
Q6BHG4	739111.3125
Q6BHG5	60469.61328
Q6BHG6	3243178.25
Q6BHG7	1137455.75
Q6BHG8	12175.35352
Q6BHH1	1014120.75
Q6BHH4	15134.6416
Q6BHH5	661800
Q6BHH6	196972.2344
Q6BHH7	1438039.75
Q6BHH8	53571.04297
Q6BHH9	29130.71094
Q6BHI0	30979.28516
Q6BHI1	76906.50781
Q6BHI3	4487385.5
Q6BHI4	2910.435303
Q6BHI5	204581.7031
Q6BHI6	179660.1719
Q6BHI7	14492.46582
Q6BHI8	121230.4531
Q6BHJ0	20287.55078
Q6BHJ1	56069.98438
Q6BHJ2	70108.77344
Q6BHJ3	923237
Q6BHJ6	4385.32373
Q6BHJ7	0
Q6BHJ8	141772.3906
Q6BHJ9	1235818.75
Q6BHK3	47744.41797
Q6BHK5	5425665
Q6BHK6	6944.897461
Q6BHK8	180430.5469
Q6BHK9	897850
Q6BHL0	39626.55469
Q6BHL5	5612.382813
Q6BHL6	49313.54297
Q6BHL7	22837.86914
Q6BHL8	20344.6543
Q6BHL9	149383.4063
Q6BHM0	16678.93945
Q6BHM1	98111.25
Q6BHM3	88360.6875
Q6BHM7	84971.92969
Q6BHM8	10385.79688
Q6BHN1	199163.1875
Q6BHN2	94989.10938
Q6BHN3	0
Q6BHN7	600792.375
Q6BHN9	34800.47266
Q6BHP0	17476.70703
Q6BHP1	16092.24023
Q6BHP2	43753.14453
Q6BHP3	175066.5781
Q6BHP5	3591.656006
Q6BHP9	39497.10156
Q6BHQ1	171905.2969
Q6BHQ2	49551.65625
Q6BHQ3	7613.026367
Q6BHQ4	25075.30273
Q6BHQ5	908184.4375
Q6BHQ6	181566.7813
Q6BHQ8	111573.8516
Q6BHQ9	31689.94531
Q6BHR1	304234.6875
Q6BHR2	15326.1875
Q6BHR3	98466.85156
Q6BHR6	15945.86621
Q6BHR7	8546.902344
Q6BHR9	128187.7891
Q6BHS1	274036.7813
Q6BHS6	23453.14063
Q6BHS8	8452426
Q6BHS9	3296.250488
Q6BHT0	5679.127441
Q6BHT6	84120.625
Q6BHT9	47053.84375
Q6BHU0	124053.7656
Q6BHU1	3304.768555
Q6BHU2	53859.55469
Q6BHU3	19781.75977
Q6BHU5	362011.8438
Q6BHU6	29643.54297
Q6BHU7	2792868.5
Q6BHU9	87628.60938
Q6BHV0	71891.89844
Q6BHV3	74261.58594
Q6BHV6	10519860
Q6BHV7_Q6BX12	9427812
Q6BHV8	2886212
Q6BHV9	306126.875
Q6BHW0	3212.423584
Q6BHW4	259127.0156
Q6BHW9	37422.51563
Q6BHX0	2088.963379
Q6BHX1	126409.2109
Q6BHX2	727333.4375
Q6BHX3	73796.33594
Q6BHX4	3322.520264
Q6BHX6	78772.90625
Q6BHX7	116357.8047
Q6BHX9	1361754.5
Q6BHY0	7429264.5
Q6BHY3	10845.22363
Q6BHY5	594120.4375
Q6BHY7	421959.0313
Q6BHY8	1952081.875
Q6BHY9	68403.15625
Q6BHZ0	460977.75
Q6BHZ3	32358.14844
Q6BHZ9	260872.2656
Q6BI01	12582458
Q6BI05	919459.8125
Q6BI06	18352.0625
Q6BI07	40907.53906
Q6BI10	135272.6875
Q6BI11	11809.34766
Q6BI13	735443.1875
Q6BI14	606188.75
Q6BI15	120257.0469
Q6BI16	6881.41748
Q6BI17	70675.9375
Q6BI19	44315.26563
Q6BI20	14302858
Q6BI21	30580.7832
Q6BI22	256368.8906
Q6BI23	26529.58789
Q6BI24	40190.75
Q6BI26	45935.70313
Q6BI27	79292.15625
Q6BI28	7275.07959
Q6BI32	36680.89063
Q6BI33	760000.5625
Q6BI39	2541375
Q6BI41	15031.58008
Q6BI44	15424.25195
Q6BI46	5253309
Q6BI47	3730364
Q6BI49	0
Q6BI53	7522.720215
Q6BI54	30677.54297
Q6BI57	50103.39063
Q6BI59	92605.66406
Q6BI60	826224.25
Q6BI63	979774.875
Q6BI65	172985.0625
Q6BI67	1408906.5
Q6BI68	46188.59766
Q6BI69	6399.775391
Q6BI71	28416.38086
Q6BI72	137366
Q6BI75	3591308
Q6BI82	32692.13672
Q6BI87	0
Q6BI89	4994065.5
Q6BI90	271231.5938
Q6BI91	336779.75
Q6BI94	254929.0313
Q6BI95	3495532.75
Q6BI96	115199.375
