ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
B5RSQ4_0,0.0,0.0,1.381798883087953e-10,4.2226050598874194e-10,4.536678085936222e-10,0.0,3.2024995910177045e-10,0.0,3.572521385233516e-10
B5RSQ4_1,0.0,3.15257702190759e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5RSQ4_2,0.0,2.8584731652287785e-10,0.0,4.1457567352024957e-10,2.338332971710142e-10,8.899876129043417e-10,0.0,0.0,1.9691420494948435e-10
B5RSQ6_0,0.0,3.318152300657133e-10,2.0385798237732652e-10,0.0,0.0,0.0,0.0,0.0,0.0
B5RSQ6_1,0.0,0.0,1.411228384790639e-10,1.6520411122608744e-10,0.0,0.0,1.588412917549461e-10,0.0,0.0
B5RSQ6_2,0.0,1.0870030951605318e-10,7.49104185944089e-11,0.0,0.0,1.568624726731856e-11,2.063581124940149e-11,0.0,0.0
B5RSQ8_0,0.0,1.4937614442933065e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5RSQ8_1,0.0,1.848999699814587e-09,1.5570215112962005e-09,3.6585820950338705e-09,0.0,4.568745423102946e-09,1.4854280989790988e-09,2.539862713982553e-09,2.170455306824272e-09
B5RSQ8_2,0.0,0.0,0.0,0.0,2.3209505416402796e-09,0.0,2.1187939348208986e-09,0.0,0.0
B5RSQ9_0,0.0,4.816198619051003e-11,1.3851736864377214e-10,2.4142998724125926e-10,1.8469827273421012e-10,1.8381606722917329e-10,1.0267929492473486e-10,2.043768273977506e-10,1.4201492927389253e-10
B5RSQ9_1,0.0,7.443991969013434e-11,7.984861984458828e-11,2.177169457657105e-10,9.083619396512543e-11,4.329782888737283e-11,0.0,1.009068414633472e-10,5.2418594599640094e-11
B5RSQ9_2,0.0,8.377908195626149e-11,8.05985613932913e-11,9.721617109353016e-11,6.654670139466225e-11,6.731669058287296e-11,6.200928577399015e-11,0.0,4.069031247098115e-11
B5RSR4_0,0.0,8.91725880925159e-10,8.22263116010743e-10,4.477949975492388e-10,0.0,0.0,1.0065120294076409e-09,8.734202227335436e-10,6.835078799230266e-10
B5RSR4_1,0.0,0.0,7.812865408127923e-10,0.0,7.004242636376432e-10,3.355144724487613e-10,0.0,7.985421515289803e-10,0.0
B5RSR4_2,0.0,2.3571385679447804e-10,0.0,3.6353636816928607e-10,0.0,0.0,0.0,3.913393724307894e-10,2.5588914958296166e-10
B5RSR4_3,0.0,0.0,4.029842426884055e-10,0.0,0.0,0.0,0.0,0.0,0.0
B5RSR4_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177179044005084e-10,0.0
B5RSR4_5,0.0,1.0034402470636528e-10,9.648881423754581e-11,0.0,4.169239102743588e-11,0.0,8.856251443842757e-11,0.0,6.075317907181624e-11
B5RSR4_6,0.0,3.519906319052438e-11,5.703013365107666e-11,0.0,0.0,0.0,0.0,0.0,2.7821860798780987e-11
B5RSR5_0,2.0209676583210564e-09,4.0281840829151274e-10,4.328150960096445e-10,5.198524346794272e-10,3.924149755396494e-10,3.7200525912789104e-10,2.704402861001477e-10,3.4914846066773937e-10,3.1750671352003933e-10
