ProteinID	KCl2
A9RAG1	10257.125
A9RAH5	61969.01563
B5RSM9	245296.9375
B5RSP1	14491.97559
B5RSP3	75336.92969
B5RSP4	51026.35938
B5RSP5	173495.2188
B5RSP7	109833.1094
B5RSP8	54295.52734
B5RSP9	301422.4063
B5RSQ2	2752.632813
B5RSQ3	73778.70313
B5RSQ4	604420.5
B5RSQ6	35248.67578
B5RSQ7	40881.33594
B5RSQ8	34408.02344
B5RSR0	91136.05469
B5RSR1	16656.13477
B5RSR3	12692.82031
B5RSR4	2523780.25
B5RSR5	69731.90625
B5RSR6	92941.0625
B5RSR7	9155.694336
B5RSR8	69322.10156
B5RSS0	101831.8594
B5RSS1	1560.259766
B5RSS2	36553.70703
B5RSS3	246574.3125
B5RSS5	34505.28516
B5RSS6	33329.92188
B5RSS7	39592.94531
B5RST1	17273.02734
B5RST4	0
B5RST5	7856.49707
B5RST6	67760.29688
B5RST7	591791.875
B5RST8	22385.3418
B5RST9	7556.697754
B5RSU1	102788.875
B5RSU2	16443.80469
B5RSU3	40088.39063
B5RSU5	49525.52734
B5RSU6	5337.26123
B5RSU8	25414.43359
B5RSV2	12706.71875
B5RSV5	1271875.5
B5RSV6	47475.23438
B5RSV7	19175.15234
B5RSV9	500685.1563
B5RSW0	29070.41992
B5RSW2	18789.78125
B5RSW3	102669.8828
B5RSW5	52626.07031
B5RSW7	43479.69922
B5RSW8	28791.84766
B5RSX0	5263.472656
B5RSX2	13368.96289
B5RSX5	28621.2793
B5RSX6	313336.4063
B5RSY0	32139.69141
B5RSY1	207451.3438
B5RSY3	7775169.5
B5RSY7	554860.4375
B5RSZ0	10316.5
B5RSZ2	152166.7656
B5RSZ4	166961.125
B5RSZ6	0
B5RSZ7	415763.5625
B5RSZ8	60771.42578
B5RT07	6284.850586
B5RT08	752151.8125
B5RT09	275371.9063
B5RT10	50416.53906
B5RT11	204101.6406
B5RT18	21111.125
B5RT19	0
B5RT30	41250.26953
B5RT32	14643.8252
B5RT33	3416.830078
B5RT37	57860.44531
B5RT40	137048.2344
B5RT41	31717.03906
B5RT43	16665.76563
B5RT44	11938.80078
B5RT45	28116.92383
B5RT46	237330.9375
B5RT48	77283.64844
B5RT58	7253.206055
B5RT59	201685.0781
B5RT63	2178.197754
B5RT64	110450.5938
B5RT65	381119.2188
B5RT66	6883.148926
B5RT67	1048492.375
B5RT68	227409.3438
B5RT69	157417.4844
B5RT72	210863.2188
B5RT73	1834853.625
B5RT74	2202006.5
B5RT75	57355.11328
B5RT77	306099.5625
B5RT79	42046.55078
B5RT80	36588.40234
B5RT81	0
B5RT82	496967.125
B5RT83	773522.375
B5RT84	763022.25
B5RT85	17800.05859
B5RT86	13964.01465
B5RT88	65238.73828
B5RT90	30237.28125
B5RT91	22424.58984
B5RT93	12571.56348
B5RT94	23469.10742
B5RT96	164155.6563
B5RT97	209422.5938
B5RT99	184999.9375
B5RTA0	0
B5RTA3	37083.51172
B5RTA6	95745.75781
B5RTA7	292662.1563
B5RTA9	3062.29126
B5RTB0	164730.3125
B5RTB4	45937.82031
B5RTB5	30261.74805
B5RTB6	40183.89844
B5RTB7	74485.90625
B5RTB9	150507.8281
B5RTC0	10845.68555
B5RTC3	8896.657227
B5RTC6	37595.89453
B5RTC7	1461311.25
B5RTD0	14563.54395
B5RTD2	5395.637207
B5RTE0	114131.1797
B5RTE2	33883.88281
B5RTE4	18369.28906
B5RTE7	43523.02344
B5RTF0	30794.3125
B5RTF3	48936.75391
B5RTF4	212342.6563
B5RTF6	48900.89844
B5RTF8	2410.135254
B5RTF9	5783.041504
B5RTG5	107588.875
B5RTG8	13501.30664
B5RTH1	240573.9531
B5RTH6	1548008.625
