ProteinID	Control1
A9RAG1	34139.38672
A9RAH5	89056.36719
B5RSM9	640972.9375
B5RSP1	18754.13477
B5RSP3	0
B5RSP4	78677
B5RSP5	194005.125
B5RSP7	181479.9531
B5RSP8	13486.93359
B5RSP9	615576.625
B5RSQ2	20933.375
B5RSQ3	155777.5156
B5RSQ4	442703.7813
B5RSQ6	78318.17188
B5RSQ7	18561.42188
B5RSQ8	79043.16406
B5RSR0	82740.67188
B5RSR1	23199.07813
B5RSR3	42349.71094
B5RSR4	678742.8125
B5RSR5	99302.65625
B5RSR6	74032.74219
B5RSR7	0
B5RSR8	66462.13281
B5RSS0	293823.375
B5RSS1	6867.491211
B5RSS2	32318.28125
B5RSS3	209390.9844
B5RSS5	59240.78125
B5RSS6	13656.74023
B5RSS7	29031.64063
B5RST1	82208.76563
B5RST4	24733.27344
B5RST5	4601.594238
B5RST6	77581.19531
B5RST7	157096.6094
B5RST8	31003.96094
B5RST9	1858.833862
B5RSU1	116985.0156
B5RSU2	26586.125
B5RSU3	39851.58984
B5RSU5	25452.5332
B5RSU6	6179.708496
B5RSU8	98471.71094
B5RSV2	16420.8125
B5RSV5	1329571.5
B5RSV6	100811.7344
B5RSV7	0
B5RSV9	362446.8125
B5RSW0	67095.60938
B5RSW2	29549.78125
B5RSW3	103480.5
B5RSW5	64488.28125
B5RSW7	58475.52344
B5RSW8	45351.25781
B5RSX0	106268.3359
B5RSX2	64978.94922
B5RSX5	71298.375
B5RSX6	814089.75
B5RSY0	9965.424805
B5RSY1	119850.4141
B5RSY3	2249200.5
B5RSY7	945292.75
B5RSZ0	36149.24609
B5RSZ2	608103.875
B5RSZ4	139720
B5RSZ6	0
B5RSZ7	536611.25
B5RSZ8	188372.0469
B5RT07	14502.02148
B5RT08	1207939
B5RT09	252215.9063
B5RT10	53786.48438
B5RT11	16360.18848
B5RT18	51545.04297
B5RT19	4379.14209
B5RT30	473818.6563
B5RT32	6581.929688
B5RT33	5110.150879
B5RT37	128441.5547
B5RT40	72850.1875
B5RT41	44222.74609
B5RT43	56972.89063
B5RT44	21109.71289
B5RT45	55538.5
B5RT46	269482.7813
B5RT48	86315.97656
B5RT58	53795.89063
B5RT59	441769.7813
B5RT63	53445.13281
B5RT64	144466.7344
B5RT65	463435.5313
B5RT66	31855.34766
B5RT67	2478694
B5RT68	422991.5625
B5RT69	237914.8438
B5RT72	8965.382813
B5RT73	507449.1563
B5RT74	1093345.75
B5RT75	91320.94531
B5RT77	1444315.625
B5RT79	101957.2422
B5RT80	238956.2813
B5RT81	31181.47266
B5RT82	397289.7813
B5RT83	843341.5
B5RT84	719871.6875
B5RT85	36398.59766
B5RT86	29532.18555
B5RT88	42119.09766
B5RT90	48857.32813
B5RT91	37394.34766
B5RT93	42051.92188
B5RT94	43111.78906
B5RT96	346742.9375
B5RT97	202068.4531
B5RT99	258890.4688
B5RTA0	50571.08984
B5RTA3	34730.66406
B5RTA6	146624.3281
B5RTA7	422450.4375
B5RTA9	7606.900879
B5RTB0	278188.75
B5RTB4	27103.23438
B5RTB5	45548.88281
B5RTB6	71822.49219
B5RTB7	86935.42969
B5RTB9	152376.2813
B5RTC0	14860.45703
B5RTC3	26118.625
B5RTC6	88643.15625
B5RTC7	772691.25
B5RTD0	29635.65234
B5RTD2	16675.33008
B5RTE0	50816.08203
B5RTE2	52049.44922
B5RTE4	12362.29785
B5RTE7	111612.2422
B5RTF0	98510.9375
B5RTF3	103583.7031
B5RTF4	999221.25
B5RTF6	77160.17969
B5RTF8	16586.10352
B5RTF9	5711.941406
B5RTG5	164880.2656
B5RTG8	23620.6543
B5RTH1	111807.4766
B5RTH6	1893338.25
B5RTI1	547331.25
B5RTI3	47451.11328
B5RTI8	516475.8125
B5RTI9	294285.6563
B5RTJ2	51292.78516
B5RTJ3	73994.4375
B5RTJ4	49300.45703
B5RTJ6	161466.1406
B5RTJ7	34001.07031
B5RTJ8	602175.8125
B5RTJ9	91749.14844
B5RTK0	192480.2969
B5RTK1	275885.8125
B5RTK2	39109.75781
B5RTK3	144955.1563
B5RTK4	62768.47266
B5RTK8	523194.7188
B5RTL0	54178.81641
B5RTL1	45113.90625
B5RTL2	82228.53906
B5RTL5	172588.0625
B5RTL6	237720.5156
B5RTL7	26619.03125
B5RTL9	40524.32031
B5RTM0	17678.57422
B5RTM1	81520.03906
B5RTM2	1085969.875
B5RTM3	170298.25
B5RTM5	83041.22656
B5RTM7	118550.3906
B5RTM8	48625.03906
B5RTM9	0
B5RTP6	8410.750977
B5RTQ2	625409
B5RTQ3	31162.0918
B5RTQ5	38475.17188
B5RTQ6	16337.51465
B5RTQ7	12991.07715
B5RTR0	813932.9375
B5RTR2	560653
B5RTR4	71188.34375
B5RTR6	36572.69531
B5RTS5	32103.15039
B5RTS7	135889.6719
B5RTS8	304180.3125
B5RTS9	14665.98047
B5RTT2	146469.8438
B5RTT6	14245.26465
B5RTT7	1521681.375
B5RTT8	16355.57715
B5RTT9	71383.84375
B5RTU5	26718.58984
B5RTU7	71314.14844
B5RTU8	1236.697998
B5RTV2	13363.98145
B5RTV3	41669.85156
B5RTV4	1062267.375
B5RTV5	18271.95508
B5RTV6	166829.3281
B5RTV9	91169.84375
B5RTW1	23018.75977
B5RTW2	66663.25781
B5RTW5	182243.8125
B5RTW7	9621.838867
B5RTX0	84068.82813
B5RTX4	44719.61719
B5RTX5	4117.598633
B5RTX7	128536.3672
B5RTX8	490030.25
B5RTY0	749736.9375
B5RTY5	51910.22656
B5RTY6	580257.4375
B5RTY7	119129.9063
B5RTY8	111907.6406
B5RTY9	1166791.125
B5RTZ2	582081
B5RTZ7	97056.30469
B5RTZ8	24264.76367
B5RU00	21901.06641
B5RU01	82180.70313
B5RU03	40234.52344
B5RU05	21348.46875
B5RU07	41994.73438
B5RU08	487631.7188
B5RU09	370778.7188
B5RU11	146600.75
B5RU12	130636
B5RU14	96266.64063
B5RU17	24509.97266
B5RU18	230187.0938
B5RU21	57561.05469
B5RU23	2047.845703
B5RU24	12500.02148
B5RU26	272535.9375
B5RU29	25314.875
B5RU30	185276.25
B5RU32	92403.14844
B5RU37	112846.0156
B5RU38	819945.5
B5RU40	28139.57031
B5RU42	22148.3457
B5RU44	53055.33594
B5RU47	16357.45605
B5RU48	64175.24219
B5RU49	19179.39844
B5RU52	64080.71875
B5RU55	151350.625
B5RU58	60946.92969
B5RU63	70760.20313
B5RU65	92024.03906
B5RU68	9459.951172
B5RU72	83447.98438
B5RU76	7204.958008
B5RU79	18890.58594
B5RU82	60667.23047
B5RU83	33740.73047
B5RU84	76471.89844
B5RU86	123640.6641
B5RU87	270223.5
B5RU88	36063.39844
B5RU91	60077.67969
B5RU96	115275.1875
B5RU98	503181.7188
B5RU99	117846.9922
B5RUA3	41898.71484
B5RUA4	77589.46875
B5RUA7	113680.1484
B5RUA8	49006.58594
B5RUA9	43738.55078
B5RUB0	421305.125
B5RUB1	75038.25
B5RUB2	86222.38281
B5RUB3	1490795.625
B5RUB6	242836.2031
B5RUB8	3063015.5
B5RUB9	28594.47266
B5RUC0	72439.28125
B5RUC2	236215.1406
B5RUC4	6978.546875
B5RUC5	42718.375
B5RUC6	54224.51953
B5RUC9	259255.5469
B5RUD1	71580.67969
B5RUD2	85170.85156
B5RUD3	68422.125
B5RUD7	158120.0313
B5RUE0	192681.6719
B5RUE1	28674.41016
B5RUE3	24200.74219
B5RUE5	46044.33203
B5RUE6	9494.180664
B5RUE9	11961.77344
B5RUF3	408526.0625
B5RUF5	32151.85547
B5RUG0	46118.62109
B5RUG1	141192.5156
B5RUG2	100443.0547
B5RUG5	3793.282715
B5RUG6	1168.645142
B5RUH0	226168.8594
B5RUH2	200261.7344
B5RUH3	78151.79688
B5RUH4	31801.94531
B5RUH5	152898.7031
