Geneid	RNA STAR on 1MNaCl3: mapped.bam
gene-DEHA2A00110g	72
gene-DEHA2A00132g	44
gene-DEHA2A00154g	16215
gene-DEHA2A00176g	99
gene-DEHA2A00198g	521
gene-DEHA2A00220g	710
gene-DEHA2A00242g	2521
gene-DEHA2A00264g	1242
gene-DEHA2A00286g	3116
gene-DEHA2A00308g	271
gene-DEHA2A00330g	18
gene-DEHA2A00352g	1196
gene-DEHA2A00374g	252
gene-DEHA2A00396g	76
gene-DEHA2A00418g	950
gene-DEHA2A00440g	2977
gene-DEHA2A00462g	1279
gene-DEHA2A00484g	1405
gene-DEHA2A00506g	6972
gene-DEHA2A00528g	1009
gene-DEHA2A00550g	4051
gene-DEHA2A00572g	414
gene-DEHA2A00594g	3346
gene-DEHA2A00616g	1960
gene-DEHA2A00638g	948
gene-DEHA2A00660g	961
gene-DEHA2A00682g	575
gene-DEHA2A00704g	749
gene-DEHA2A00726g	3585
gene-DEHA2A00748g	915
gene-DEHA2A00770g	2681
gene-DEHA2A00792g	4890
gene-DEHA2A00814g	15229
gene-DEHA2A00836g	1913
gene-DEHA2A00858g	890
gene-DEHA2A00880g	5534
gene-DEHA2A00902g	799
gene-DEHA2A00924r	1
gene-DEHA2A00946g	229
gene-DEHA2A00968g	399
gene-DEHA2A00990r	1
gene-DEHA2A01012g	762
gene-DEHA2A01034g	1920
gene-DEHA2A01056g	1087
gene-DEHA2A01078r	0
gene-DEHA2A01100g	9719
gene-DEHA2A01122g	1661
gene-DEHA2A01144g	4704
gene-DEHA2A01166g	3
gene-DEHA2A01188g	2
gene-DEHA2A01210g	1238
gene-DEHA2A01232g	1588
gene-DEHA2A01254g	3283
gene-DEHA2A01276g	4141
gene-DEHA2A01298g	2908
gene-DEHA2A01320g	10
gene-DEHA2A01342g	3561
gene-DEHA2A01364g	56097
gene-DEHA2A01386g	8
gene-DEHA2A01408g	2497
gene-DEHA2A01430g	11894
gene-DEHA2A01452g	558
gene-DEHA2A01474g	11092
gene-DEHA2A01496g	1928
gene-DEHA2A01518g	1253
gene-DEHA2A01540g	3849
gene-DEHA2A01562g	1924
gene-DEHA2A01584g	1074
gene-DEHA2A01606g	3647
gene-DEHA2A01628g	11388
gene-DEHA2A01650g	2809
gene-DEHA2A01672g	1556
gene-DEHA2A01694g	2557
gene-DEHA2A01716g	3096
gene-DEHA2A01738g	2810
gene-DEHA2A01760g	5980
gene-DEHA2A01782g	4483
gene-DEHA2A01804g	11994
gene-DEHA2A01826g	10
gene-DEHA2A01848g	10390
gene-DEHA2A01870g	8404
gene-DEHA2A01892g	4903
gene-DEHA2A01914g	7425
gene-DEHA2A01936g	10116
gene-DEHA2A01958g	949
