ProteinID	Control1
B5RTG5	0
B5RTG5	0
B5RTG5	0
B5RTG5	0
B5RTG5	0
B5RTG5	0
B5RTG5	0
B5RTG8	202994.6563
B5RTG8	112523.9063
B5RTG9	0
B5RTG9	0
B5RTG9	0
B5RTH4	0
B5RTH6	43542588
B5RTH6	512504.4375
B5RTH6	0
B5RTH6	20104274
B5RTH6	0
B5RTH6	0
B5RTH6	0
B5RTH6	0
B5RTH6	0
B5RTH6	0
B5RTH6	0
B5RTI1	4449147.5
B5RTI2	0
B5RTI2	0
B5RTI4	0
B5RTI4	0
B5RTI4	118282.5391
B5RTI4	0
B5RTI5	603223.6875
B5RTI6	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ1	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	404562
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ4	0
B5RTJ6	998490.75
B5RTJ6	0
B5RTJ6	11509173
B5RTJ6	0
B5RTJ6	0
B5RTJ6	0
B5RTJ7	1748895.5
B5RTJ7	0
B5RTJ7	0
B5RTK0	2738352.5
B5RTK0	0
B5RTK0	0
B5RTK0	0
B5RTK0	0
B5RTK0	0
B5RTL0	17863810
B5RTL0	7349894
B5RTL0	2542639.75
B5RTL0	3632690.75
B5RTL0	615948.375
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL0	0
B5RTL2	0
B5RTL2	1178973.625
B5RTL2	7866404.5
B5RTL2	4733909
B5RTL2	1182242.625
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	2994525
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	129008.0781
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL2	0
B5RTL6	0
B5RTL6	8723257
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	4552482
B5RTL6	359278.9688
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	1711167.875
B5RTL6	564790.75
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL6	0
B5RTL7	0
B5RTL7	0
B5RTL7	1339468.5
B5RTL7	0
B5RTM0	0
B5RTM3	0
B5RTM3	0
B5RTM3	0
B5RTM8	0
B5RTM8	0
B5RTM8	0
B5RTM9	0
B5RTM9	0
B5RTQ5	1522146.125
B5RTQ5	0
B5RTQ5	0
B5RTQ5	0
B5RTQ7	0
B5RTQ7	0
B5RTQ9	0
B5RTQ9	0
B5RTQ9	0
B5RTR1	0
B5RTR2	0
B5RTR4	0
B5RTS5	0
B5RTS7	436424.8125
B5RTS8	8814841
B5RTS8	2713786.5
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTS8	0
B5RTT6	0
B5RTT6	0
B5RTT6	0
B5RTT7	0
B5RTT7	0
B5RTT9	0
B5RTU0	0
B5RTU0	0
B5RTU1	0
B5RTU1	0
B5RTU5	0
B5RTU7	0
B5RTU7	0
B5RTU7	0
B5RTV2	1028564.875
B5RTV2	0
B5RTV2	0
B5RTV3	1760400.5
B5RTV3	690428.9375
B5RTV3	0
B5RTV3	0
B5RTV3	0
B5RTV5	0
B5RTW3	0
B5RTX5	0
B5RTX7	177827.6563
B5RTX7	0
B5RTX7	0
B5RTX7	0
B5RTX7	0
B5RTX7	0
B5RTX7	0
B5RTX7	0
B5RTY0	3359666.5
B5RTY0	1009821.375
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY0	0
B5RTY5	198272.3125
B5RTY5	0
B5RTY8	0
B5RTY8	0
B5RTZ6	0
B5RTZ7	1777360.625
B5RTZ7	0
B5RTZ8	0
B5RU03	0
B5RU03	0
B5RU03	119164.7813
B5RU03	0
B5RU03	0
B5RU03	0
B5RU03	0
B5RU11	1437407.625
B5RU11	0
B5RU11	0
B5RU12	867963.75
B5RU12	0
B5RU14	0
B5RU14	0
B5RU18	0
B5RU18	0
B5RU18	0
B5RU19	0
B5RU19	0
B5RU19	0
B5RU19	0
B5RU19	0
B5RU21	0
B5RU21	0
B5RU23	0
B5RU23	0
B5RU26	693492.5
B5RU26	329203.1875
B5RU26	329171.2188
B5RU26	58204.03516
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	825972
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	0
B5RU26	216326.9063
B5RU26	0
B5RU26	0
B5RU34	150114.2344
B5RU44	0
B5RU44	0
B5RU45	796346.125
B5RU45	0
B5RU45	0
B5RU45	0
B5RU45	0
B5RU45	0
B5RU45	0
B5RU45	321016.125
B5RU45	0
B5RU49	2918806.5
B5RU49	313492.6875
B5RU49	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU52	0
B5RU57	407299.5938
B5RU57	0
B5RU58	391968.5938
B5RU58	0
B5RU58	0
B5RU58	0
B5RU68	0
B5RU68	0
B5RU68	0
B5RU68	0
B5RU78	0
B5RU78	0
B5RU78	0
B5RU82	0
B5RU86	0
B5RU86	0
B5RU87	0
B5RU96	171603.625
B5RU96	0
B5RU96	0
B5RU96	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUA9	0
B5RUB0	0
B5RUB2	427663.8438
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB2	0
B5RUB3	0
B5RUB3	0
B5RUB4	0
B5RUB4	0
B5RUB4	0
B5RUB4	0
B5RUB4	0
B5RUB4	0
B5RUB4	0
B5RUB6	0
B5RUB6	0
B5RUB8	0
B5RUC0	0
B5RUC0	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	139696.8281
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC2	0
B5RUC6	0
B5RUC6	0
B5RUD2	0
B5RUD3	0
B5RUD3	709471.0625
B5RUD3	0
B5RUD3	0
B5RUD4	0
B5RUD4	0
B5RUD4	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUD6	0
B5RUF2	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUF3	0
B5RUG0	0
B5RUG0	0
B5RUG0	0
B5RUG9	0
B5RUH3	0
B5RUH3	0
B5RUH5	1062386.625
B5RUH6	0
B5RUH6	0
B5RUI0	822409.5
B5RUI0	573391.0625
B5RUI0	0
B5RUI0	0
B5RUI1	0
B5RUI3	0
B5RUI3	571169.875
B5RUI3	0
B5RUI3	0
B5RUI3	0
B5RUI3	0
B5RUI3	0
B5RUI5	0
B5RUI6	0
B5RUI6	0
B5RUI8	0
B5RUI8	0
B5RUI8	0
B5RUI8	0
B5RUJ3	0
B5RUJ3	0
B5RUJ3	0
B5RUJ3	0
B5RUJ3	301417.2188
B5RUJ4	0
B5RUJ4	482952.9063
B5RUJ4	0
B5RUJ9	624942.4375
B5RUJ9	397469.7188
B5RUK1	0
B5RUK1	0
B5RUK3	3838200.25
B5RUK3	1200999.375
B5RUK3	0
B5RUK3	617236.25
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK3	0
B5RUK6	0
B5RUK8	0
B5RUL0	0
B5RUL0	0
B5RUL0	0
B5RUL2	137796.6094
B5RUL3	458659.75
B5RUM0	0
B5RUM0	0
B5RUM0	0
B5RUM0	0
B5RUM7	0
B5RUM7	0
B5RUM7	0
B5RUM7	0
B5RUM7	0
B5RUN9	0
B5RUN9	0
B5RUN9	0
B5RUN9	0
B5RUN9	0
B5RUP5	464327.0938
B5RUP5	0
B5RUQ2	8123902.5
B5RUQ2	2203064.75
B5RUQ2	0
B5RUQ2	0
B5RUQ2	0
B5RUQ2	0
B5RUQ2	0
B5RUQ5	1040053.563
B5RUQ5	307136.0625
B5RUQ5	0
B5RUQ5	0
B5RUQ5	0
B5RUQ6	0
B5RUQ6	0
B5RUQ6	0
B5RUQ6	0
B5RUQ6	0
B5RUQ9	0
B5RUQ9	0
B5RUQ9	0
B5RUQ9	638167.5
B5RUQ9	0
B5RUQ9	0
B5RUQ9	0
B5RUR9	0
B5RUS3	111057.9063
B5RUS3	0
B5RUS3	0
B5RUS7	563748.6875
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	338275.9063
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS7	0
B5RUS9	0
B5RUT0	0
B5RUT1	5870987.5
B5RUT1	3949968.75
B5RUT1	2421953.5
B5RUT1	0
B5RUT1	0
B5RUT1	0
B5RUT4	0
B5RUT9	0
B5RUU0	654723.9375
B5RUU0	0
B5RUU2	0
B5RUV0	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	81307.34375
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV3	0
B5RUV5	0
B5RUV5	0
B5RUV5	0
B5RUV5	0
B5RUV5	0
B5RUV5	0
B5RUV5	0
B5RUX2	0
B5RUX2	0
B5RUX2	0
B5RUX4	0
B5RUX4	0
B5RUX5	3269323.25
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX5	0
B5RUX7	0
B5RUY4	0
B5RUY4	0
B5RUY4	0
B5RUY4	0
