GeneID	logFC	logCPM	F	PValue	FDR
gene-DEHA2G08822g	-3.08229964022834	8.58820967196529	544.48948805467	1.50552732813565e-09	9.79496079685057e-06
gene-DEHA2E23958g	3.92511179717169	5.09362364321081	254.310520034612	4.9067996864858e-08	0.000159618193801383
gene-DEHA2A14740g	-4.76692027922158	2.17838950813903	216.570907906373	9.96892368359339e-08	0.000168297715699349
gene-DEHA2D18876g	4.72375547391668	7.90207644153784	210.2441735097	1.19696604743718e-07	0.000168297715699349
gene-DEHA2B15840g	-2.25115226315701	3.9327377064189	195.836965743319	1.5202687966458e-07	0.000168297715699349
gene-DEHA2F22440g	2.64199137208891	6.07096994918675	193.820883710595	1.64392562686495e-07	0.000168297715699349
gene-DEHA2C03608g	-2.60026422228928	7.44801908784109	189.6340579587	1.81076546248915e-07	0.000168297715699349
gene-DEHA2E02596g	4.50857101226294	9.7572144647068	179.697894947755	2.33869507977379e-07	0.000190194377362603
gene-DEHA2E02530g	-2.68056266293031	4.76581672769846	163.70477194928	3.46303975609998e-07	0.000250339296146516
gene-DEHA2F16632g	-1.69222807408925	6.09310133569333	158.021633747732	3.92647550776861e-07	0.000255456496535426
gene-DEHA2E06974g	-2.07205883445237	6.49560056437478	153.864716263393	4.54566494410465e-07	0.000263422738084456
gene-DEHA2D13750g	-1.29824820890443	6.83002676410691	150.544495265609	4.85870405320239e-07	0.000263422738084456
gene-DEHA2C11462g	1.52842986043832	8.32110136313296	122.547448139482	1.19258344682563e-06	0.000557581163894763
gene-DEHA2A14696g	3.49801680327228	9.76878582209748	123.556442268126	1.19983650392356e-06	0.000557581163894763
gene-DEHA2D09702g	3.16109026860782	7.04883222520788	122.589512565495	1.28846988107844e-06	0.000558852336419756
gene-DEHA2B10670g	-1.28418256126144	6.5296630980168	117.749174191284	1.41783504477895e-06	0.000576527175083241
gene-DEHA2B09812g	-3.59398513188002	2.55668231135516	113.133269923351	1.72840227837532e-06	0.000630299766716853
gene-DEHA2D03102g	-3.15578924844416	2.21611396367675	112.480569390594	1.76336051890783e-06	0.000630299766716853
gene-DEHA2G24772g	-3.00299109439546	5.42469195956528	111.865877923498	1.84071558063637e-06	0.000630299766716853
gene-DEHA2G24750g	-1.82734060411324	7.47988114094198	108.223078714257	2.09129459065118e-06	0.000680298130338828
gene-DEHA2A06292g	-1.2049259578087	5.64357581016689	100.51135626073	2.80136911580496e-06	0.000867890831782242
gene-DEHA2B08624g	-2.04269746710344	3.27739007018117	97.5125298930563	3.18839844722823e-06	0.000942896377166675
gene-DEHA2D09680g	3.3036528280188	4.32631865103382	95.7798268483917	3.57028013077463e-06	0.00100570080516462
gene-DEHA2G15202g	2.73737838391768	6.39578780110983	95.658609062162	3.70993226620825e-06	0.00100570080516462
gene-DEHA2D07106g	1.52757937901742	3.94063461624457	92.7671403563685	3.9431791528657e-06	0.00102617294274177
gene-DEHA2C05720g	-1.66200476440288	5.76911478949289	86.5862285672858	5.39918135379432e-06	0.00135104130337638
gene-DEHA2D08602g	-1.88199945264679	3.69472507337146	84.5760485455667	5.8319751354623e-06	0.00140529000856732
gene-DEHA2B02376g	-1.37489110259471	7.54078225858407	83.6802465971172	6.22472438100802e-06	0.00144635917224422
gene-DEHA2E02574g	2.75810873912421	10.2375964477149	82.9192819135935	6.55777052469178e-06	0.00147120189771189
gene-DEHA2B15730g	-4.98887653195731	4.69515423004582	81.5600818626897	7.24386099474907e-06	0.00153716066087699
gene-DEHA2E21626g	1.42127471220049	6.07093500468036	80.0723104056274	7.498049330801e-06	0.00153716066087699
gene-DEHA2G02288g	1.84123069483303	2.94882358685632	78.3561198053694	8.03923355786417e-06	0.00153716066087699
gene-DEHA2D19008g	4.19660754321468	4.07074805593647	79.1207717049996	8.21960319118569e-06	0.00153716066087699
gene-DEHA2E03036g	-1.70728458902643	4.96783718138919	78.2368607632312	8.26109451822055e-06	0.00153716066087699
gene-DEHA2E15004g	7.01367466096676	9.28276698526587	78.5639682683857	8.46433580860356e-06	0.00153716066087699
gene-DEHA2C09306g	-1.14236707550128	10.1710879682248	77.2067485765878	8.5519721521171e-06	0.00153716066087699
gene-DEHA2A01144g	-1.43297395956576	7.41135621284616	77.1831162846425	8.74192198777262e-06	0.00153716066087699
gene-DEHA2E01364g	2.30262618937461	10.0765906701926	74.2691145699931	1.02603254456619e-05	0.00172457412401532
gene-DEHA2G04554g	-1.45608313668471	2.74079787418759	73.4617527252113	1.05227928770094e-05	0.00172457412401532
gene-DEHA2A14366g	1.8461975650689	9.21451354183687	73.6838028524778	1.06029764771923e-05	0.00172457412401532
gene-DEHA2C04268g	-1.8144564744284	9.55011359034883	72.5675038787947	1.1295924170506e-05	0.00178511456814655
gene-DEHA2F22770g	-0.998077931603824	8.6037037756845	71.6604851117916	1.16662329355173e-05	0.00178511456814655
gene-DEHA2G06512g	-2.09857261934734	0.0742937746982913	71.2245011424672	1.19653606967876e-05	0.00178511456814655
gene-DEHA2D03080g	-2.66669455347831	1.42868634680751	70.6460735114649	1.25494503934896e-05	0.00178511456814655
gene-DEHA2C14608g	-0.970393703618844	6.36871148440531	70.3445957703443	1.25979858367554e-05	0.00178511456814655
gene-DEHA2C04202g	0.852590037537084	6.12470013244735	70.2927918027204	1.26364838210463e-05	0.00178511456814655
gene-DEHA2F16500g	-2.6312592418306	3.82283768392446	70.473732335705	1.28958476333981e-05	0.00178511456814655
gene-DEHA2F04686g	-0.854549854921384	6.43452143310074	69.2027683589501	1.34807234157917e-05	0.00182719971964877
gene-DEHA2C04488g	-1.1664320619586	6.98979193080632	68.229364552042	1.45713409089693e-05	0.00193404726096409
gene-DEHA2G24838g	-1.58535828337111	6.29522236800619	67.9508595977725	1.49839789784805e-05	0.00193404726096409
gene-DEHA2F24244g	1.14263797842422	5.32931657690709	67.2616549826366	1.51608377358082e-05	0.00193404726096409
gene-DEHA2E16742g	-1.91106021346395	2.44608327036885	66.4231964570777	1.59648024326545e-05	0.0019838160870725
gene-DEHA2F19426g	-1.09607431352014	5.63030185514846	66.2265427859072	1.61608134975165e-05	0.0019838160870725
gene-DEHA2G00242g	1.19729754722009	7.84403475333733	65.7700258574379	1.68714211664938e-05	0.00200807756776292
gene-DEHA2A04796g	-1.19487509512777	5.63376963839341	65.5676464736223	1.69757556450908e-05	0.00200807756776292
gene-DEHA2D17974g	2.48739031801481	1.86525828044714	65.1817367501652	1.75158615777272e-05	0.00203496777544095
gene-DEHA2E09592g	1.64902484847963	5.83242238254636	64.1788110562548	1.88191059839766e-05	0.00211811197681603
gene-DEHA2G10670g	1.99764911780135	4.5287321483805	64.0524533840241	1.88826459660821e-05	0.00211811197681603
gene-DEHA2G00352g	0.892830167783065	5.83036360668321	62.4969482393767	2.0498052860063e-05	0.00226034460860288
gene-DEHA2C13332g	-2.97816382512307	3.63790120120903	61.7921647926004	2.20936756145511e-05	0.00236509098802227
gene-DEHA2F08492g	1.32685114882805	8.13401429231022	61.5777630673347	2.21750000414015e-05	0.00236509098802227
gene-DEHA2E23518g	-1.42722523169295	5.15434576465658	61.0152016036448	2.30184530051497e-05	0.00241545250405652
gene-DEHA2D09856g	0.851269354622036	7.24194336664279	59.0756790705152	2.57827893657794e-05	0.00265939865437447
gene-DEHA2D12232g	0.97239153570338	6.82828991625713	58.7881076995363	2.65882437155734e-05	0.00265939865437447
gene-DEHA2B14828g	1.68022204668548	7.9213698830338	58.91758130745	2.67996515036805e-05	0.00265939865437447
gene-DEHA2D13552g	-2.45020379022364	7.68318031800354	59.1874588727856	2.69782218242722e-05	0.00265939865437447
gene-DEHA2E05148g	4.32647013646447	8.46777958621009	57.5209376270343	3.02618729496361e-05	0.00293856336433332
gene-DEHA2G21362g	1.39225991812574	8.56405822306102	56.5798678435265	3.12401675554031e-05	0.00294255335599599
gene-DEHA2G24794g	-1.24060229004083	3.53237676008434	56.2484444141181	3.14447900650855e-05	0.00294255335599599
gene-DEHA2E23474g	-0.980691016472654	6.34547900797482	56.3218261931992	3.16598116999261e-05	0.00294255335599599
gene-DEHA2B02420g	-0.935940116570626	8.54890306922273	55.9192710405885	3.21982202495397e-05	0.00295044536540148
gene-DEHA2A09086g	-1.1588794536462	7.08890030735653	55.6907440293589	3.32960507653454e-05	0.00298459299993428
gene-DEHA2E02772g	-1.64924848972565	2.90128616608879	55.2986604728003	3.36793483469962e-05	0.00298459299993428
gene-DEHA2D04554g	2.13956449492954	11.2449082479799	55.4230190788651	3.39471075922436e-05	0.00298459299993428
gene-DEHA2E15312g	-1.06477849650832	6.07979548275048	55.1199270044628	3.4570186224171e-05	0.00298673986412328
gene-DEHA2C04114g	-1.61893975878076	4.27681825716834	54.8478602080643	3.53989662923367e-05	0.00298673986412328
gene-DEHA2G10274g	1.85753812320023	10.4980767505559	54.6457494360772	3.5927019827746e-05	0.00298673986412328
gene-DEHA2B13178g	1.06315859990835	8.59161692644802	54.3057976557549	3.62252457130458e-05	0.00298673986412328
gene-DEHA2G15224g	2.98429432817922	5.70387315833716	54.9778242861509	3.6266899671955e-05	0.00298673986412328
gene-DEHA2E09944g	-1.69708990837816	4.70892584236761	53.8250014924345	3.81723968532603e-05	0.00298880457198495
gene-DEHA2A03806g	4.94721910436851	9.96713451876792	54.2221202392111	3.83250364961812e-05	0.00298880457198495
gene-DEHA2C02552g	1.62187822097893	10.2684706488766	53.7504509828149	3.83846976664192e-05	0.00298880457198495
gene-DEHA2G23298g	-2.79003894062716	1.27304324908047	53.3841123090377	3.9449058772246e-05	0.00298880457198495
gene-DEHA2G03432g	-2.61531728203766	1.55489170073484	53.3204264639813	3.96377382854961e-05	0.00298880457198495
gene-DEHA2B07458g	-0.826116210051913	6.21990334368147	53.0229629692307	3.98707431467214e-05	0.00298880457198495
gene-DEHA2E20350g	-3.04763420491064	3.49917048628151	53.344804219385	3.99451102795257e-05	0.00298880457198495
gene-DEHA2C13288g	-1.91480390749325	7.53591626918634	53.3374462926513	3.99671069416986e-05	0.00298880457198495
gene-DEHA2A03256g	1.8495799050425	6.9095977817767	52.9335936519691	4.13718511498782e-05	0.00305869617705804
gene-DEHA2D19030g	4.66477075437375	5.0758305696875	52.9095441209445	4.2249199095939e-05	0.00308846392492336
gene-DEHA2E04774g	-1.63016093377753	6.37532165228293	52.4299903748757	4.27967683936082e-05	0.00309373083520905
gene-DEHA2G21912g	-3.39542410430814	3.1711223712162	52.2579522040451	4.33604008648026e-05	0.00310003041787259
gene-DEHA2F08866g	1.21892894647719	9.40560439323392	50.9386426577101	4.71199786297051e-05	0.00333220196700937
gene-DEHA2D15928g	-2.12050989294201	6.93044129613599	51.2142932373438	4.80689720006061e-05	0.00336276055737573
gene-DEHA2D15224g	1.68577149029085	10.7625495147422	49.5460789019065	5.30779945613572e-05	0.00362988154128302
gene-DEHA2G07128g	-1.51051560314526	6.76938781354263	49.6409238283821	5.31600648238861e-05	0.00362988154128302
gene-DEHA2E17732g	-1.98200911098993	4.02453952001214	49.432732133552	5.3561117116995e-05	0.00362988154128302
gene-DEHA2F01364g	-1.16389889722648	8.24295658563601	47.765503136896	6.1325859106022e-05	0.00410025654023293
gene-DEHA2B15708g	-1.22849248409685	8.1743378239291	47.6795223378407	6.17622411532166e-05	0.00410025654023293
gene-DEHA2E11374g	1.2234662262978	7.54914834845464	47.3151894264993	6.36538200383116e-05	0.00411616634394654
gene-DEHA2G03058g	-1.4024346596715	1.31226056760667	47.0770330134903	6.39461600667624e-05	0.00411616634394654
gene-DEHA2F18304g	0.772163613609693	7.34369035724814	46.9668681964943	6.45387553485513e-05	0.00411616634394654
gene-DEHA2C05390g	2.18066935056311	10.7499610526913	47.2175394836751	6.47408462364184e-05	0.00411616634394654
gene-DEHA2A12342g	1.40320534304184	2.97401203690542	46.8517309366823	6.51652526016744e-05	0.00411616634394654
gene-DEHA2G08096g	1.60376011014316	9.56478841886065	46.8560470888756	6.61391075309224e-05	0.00413287963662674
gene-DEHA2C01584g	-1.08305913630486	3.87093376276693	46.5678377662528	6.6741891248802e-05	0.00413287963662674
gene-DEHA2D14894g	-1.30743950497197	4.72296379841299	46.6077416597275	6.73355735447948e-05	0.00413287963662674
gene-DEHA2F19118g	2.18312892325777	3.91161244651546	46.510869073858	6.86821887823423e-05	0.004150317533551
gene-DEHA2C06248g	0.809588483102192	9.24057429619704	46.1929639899427	6.88955262255623e-05	0.004150317533551
gene-DEHA2G11297g	4.06784717763985	8.23734852685599	46.548462501992	6.99532430315328e-05	0.00415969737821248
gene-DEHA2F13288g	0.735621759533617	7.31909899602791	45.8636325298387	7.08576279775549e-05	0.00415969737821248
