Geneid	RNA STAR on Control1: mapped.bam
gene-DEHA2A04488g	8275
gene-DEHA2A04510g	2405
gene-DEHA2A04532g	3636
gene-DEHA2A04554g	5613
gene-DEHA2A04576g	2796
gene-DEHA2A04598r	0
gene-DEHA2A04620g	5653
gene-DEHA2A04642g	3198
gene-DEHA2A04664g	2224
gene-DEHA2A04686g	912
gene-DEHA2A04708g	3904
gene-DEHA2A04730g	1092
gene-DEHA2A04752g	2785
gene-DEHA2A04774g	10960
gene-DEHA2A04796g	2525
gene-DEHA2A04818g	3917
gene-DEHA2A04840g	1573
gene-DEHA2A04862g	3537
gene-DEHA2A04884g	3594
gene-DEHA2A04906r	0
gene-DEHA2A04928g	4048
gene-DEHA2A04950g	79
gene-DEHA2A04972g	3823
gene-DEHA2A04994g	3339
gene-DEHA2A05016g	1916
gene-DEHA2A05038g	3796
gene-DEHA2A05060g	2424
gene-DEHA2A05082g	3432
gene-DEHA2A05104g	6961
gene-DEHA2A05126g	3513
gene-DEHA2A05148g	3028
gene-DEHA2A05170g	3213
gene-DEHA2A05192g	6689
gene-DEHA2A05214g	1087
gene-DEHA2A05236g	9639
gene-DEHA2A05258g	1791
gene-DEHA2A05280g	3003
gene-DEHA2A05302g	1370
gene-DEHA2A05324g	5389
gene-DEHA2A05346g	1907
gene-DEHA2A05368g	4905
gene-DEHA2A05390g	4964
gene-DEHA2A05412g	2463
gene-DEHA2A05434g	3575
gene-DEHA2A05456g	1249
gene-DEHA2A05478g	1474
gene-DEHA2A05500g	37388
gene-DEHA2A05522g	166
gene-DEHA2A05544g	117
gene-DEHA2A05566g	5730
gene-DEHA2A05588g	729
gene-DEHA2A05610g	1110
gene-DEHA2A05632g	1997
gene-DEHA2A05654g	11047
gene-DEHA2A05676g	3049
gene-DEHA2A05698g	1226
gene-DEHA2A05720g	6901
gene-DEHA2A05742g	6995
gene-DEHA2A05764g	4336
gene-DEHA2A05786g	3325
gene-DEHA2A05808g	1021
gene-DEHA2A05830g	12178
gene-DEHA2A05852g	4047
gene-DEHA2A05874g	2356
gene-DEHA2A05896g	814
gene-DEHA2A05918g	5481
gene-DEHA2A05940g	1937
gene-DEHA2A05962g	6105
gene-DEHA2A05984g	3185
gene-DEHA2A06006g	4618
gene-DEHA2A06028g	4855
gene-DEHA2A06050g	1756
gene-DEHA2A06072g	1268
gene-DEHA2A06094g	2641
gene-DEHA2A06116g	383
gene-DEHA2A06138g	4
gene-DEHA2A06160g	595
gene-DEHA2A06182g	3297
gene-DEHA2A06204g	553
gene-DEHA2A06226g	1415
gene-DEHA2A06248g	1012
gene-DEHA2A06270g	2300
gene-DEHA2A06292g	2238
gene-DEHA2A06314g	1126
gene-DEHA2A06336g	4286
gene-DEHA2A06358g	3293
gene-DEHA2A06380g	9416
gene-DEHA2A06402g	806
gene-DEHA2A06424g	5357
gene-DEHA2A06446g	4617
gene-DEHA2A06468r	0
gene-DEHA2A06490g	3357
gene-DEHA2A06512g	8654
gene-DEHA2A06534g	4973
gene-DEHA2A06556g	1039
gene-DEHA2A06578g	2327
gene-DEHA2A06600g	3266
gene-DEHA2A06622g	370
gene-DEHA2A06644g	1340
gene-DEHA2A06666g	5832
gene-DEHA2A06688g	53
gene-DEHA2A06710g	7860
gene-DEHA2A06732g	8513
gene-DEHA2A06754g	3273
gene-DEHA2A06776g	20376
gene-DEHA2A06798g	9634
gene-DEHA2A06820g	5131
gene-DEHA2A06842g	24
gene-DEHA2A06864g	2951
gene-DEHA2A06886g	8557
gene-DEHA2A06908g	3311
gene-DEHA2A06930g	5508
gene-DEHA2A06952g	3552
gene-DEHA2A06974g	3977
gene-DEHA2A06996g	1438
gene-DEHA2A07018g	1010
gene-DEHA2A07040g	4666
gene-DEHA2A07062g	664
gene-DEHA2A07084g	2193
gene-DEHA2A07106g	9840
gene-DEHA2A07128g	13320
gene-DEHA2A07150g	3629
gene-DEHA2A07172g	4412
gene-DEHA2A07194g	519
gene-DEHA2A07216g	3061
gene-DEHA2A07238g	4855
gene-DEHA2A07260g	816
gene-DEHA2A07282g	3714
gene-DEHA2A07304r	8
gene-DEHA2A07326g	3371
gene-DEHA2A07348g	2825
gene-DEHA2A07370g	30773
gene-DEHA2A07392g	5149
gene-DEHA2A07414g	23979
gene-DEHA2A07436g	23492
gene-DEHA2A07458g	2443
gene-DEHA2A07480g	10066
gene-DEHA2A07502g	2076
gene-DEHA2A07524g	1659
gene-DEHA2A07546g	1363
gene-DEHA2A07568g	1842
gene-DEHA2A07590g	2832
gene-DEHA2A07612g	31408
gene-DEHA2A07634g	9842
gene-DEHA2A07656g	4394
gene-DEHA2A07678g	3588
gene-DEHA2A07700g	15941
gene-DEHA2A07722g	106
gene-DEHA2A07744g	1271
gene-DEHA2A07766g	3735
gene-DEHA2A07788g	4736
gene-DEHA2A07810g	8286
gene-DEHA2A07832g	1225
gene-DEHA2A07854g	1635
gene-DEHA2A07876g	2547
gene-DEHA2A07898r	91
gene-DEHA2A07920g	80777
gene-DEHA2A07942g	14092
gene-DEHA2A07964g	1445
gene-DEHA2A07986g	4867
gene-DEHA2A08008g	7355
gene-DEHA2A08030g	4331
gene-DEHA2A08052g	132
gene-DEHA2A08074g	3434
gene-DEHA2A08096g	7373
gene-DEHA2A08118g	4430
gene-DEHA2A08140g	597
gene-DEHA2A08162g	3027
gene-DEHA2A08206g	123
gene-DEHA2A08228g	477
gene-DEHA2A08250g	357
gene-DEHA2A08272g	2913
gene-DEHA2A08294g	1056
gene-DEHA2A08316g	919
gene-DEHA2A08338g	195
gene-DEHA2A08360g	393
gene-DEHA2A08382g	9256
gene-DEHA2A08404g	868
gene-DEHA2A08426g	95
gene-DEHA2A08448g	395
gene-DEHA2A08470g	1
gene-DEHA2A08492g	20740
gene-DEHA2A08514g	1521
gene-DEHA2A08536g	2055
gene-DEHA2A08558g	5248
gene-DEHA2A08580g	10210
gene-DEHA2A08602g	4502
gene-DEHA2A08624g	8638
gene-DEHA2A08646g	11942
gene-DEHA2A08668g	4993
gene-DEHA2A08690g	2126
gene-DEHA2A08712g	2985
gene-DEHA2A08734g	8790
gene-DEHA2A08756g	4384
gene-DEHA2A08778g	3203
gene-DEHA2A08800g	65409
gene-DEHA2A08822g	2651
gene-DEHA2A08844g	2133
gene-DEHA2A08866g	3148
gene-DEHA2A08888g	4176
gene-DEHA2A08910g	7016
gene-DEHA2A08932g	3644
gene-DEHA2A08954g	364
gene-DEHA2A08976g	4034
gene-DEHA2A08998g	717
gene-DEHA2A09020g	4544
gene-DEHA2A09042g	1181
gene-DEHA2A09064r	2
gene-DEHA2A09086g	6711
gene-DEHA2A09108g	756
gene-DEHA2A09130g	8721
gene-DEHA2A09152g	4019
gene-DEHA2A09174g	3268
gene-DEHA2A09196g	2562
