Geneid	RNA STAR on 1MNaCl1: mapped.bam
gene-DEHA2A00110g	85
gene-DEHA2A00132g	54
gene-DEHA2A00154g	19806
gene-DEHA2A00176g	86
gene-DEHA2A00198g	584
gene-DEHA2A00220g	715
gene-DEHA2A00242g	2383
gene-DEHA2A00264g	1116
gene-DEHA2A00286g	3942
gene-DEHA2A00308g	280
gene-DEHA2A00330g	37
gene-DEHA2A00352g	1415
gene-DEHA2A00374g	342
gene-DEHA2A00396g	113
gene-DEHA2A00418g	906
gene-DEHA2A00440g	3083
gene-DEHA2A00462g	1238
gene-DEHA2A00484g	1687
gene-DEHA2A00506g	8441
gene-DEHA2A00528g	1185
gene-DEHA2A00550g	4105
gene-DEHA2A00572g	332
gene-DEHA2A00594g	3710
gene-DEHA2A00616g	2408
gene-DEHA2A00638g	1066
gene-DEHA2A00660g	1192
gene-DEHA2A00682g	646
gene-DEHA2A00704g	657
gene-DEHA2A00726g	3971
gene-DEHA2A00748g	1202
gene-DEHA2A00770g	2713
gene-DEHA2A00792g	5882
gene-DEHA2A00814g	17196
gene-DEHA2A00836g	1724
gene-DEHA2A00858g	960
gene-DEHA2A00880g	10458
gene-DEHA2A00902g	994
gene-DEHA2A00924r	7
gene-DEHA2A00946g	160
gene-DEHA2A00968g	515
gene-DEHA2A00990r	3
gene-DEHA2A01012g	787
gene-DEHA2A01034g	2196
gene-DEHA2A01056g	968
gene-DEHA2A01078r	0
gene-DEHA2A01100g	10991
gene-DEHA2A01122g	1815
gene-DEHA2A01144g	5030
gene-DEHA2A01166g	2
gene-DEHA2A01188g	9
gene-DEHA2A01210g	1316
gene-DEHA2A01232g	2286
gene-DEHA2A01254g	3496
gene-DEHA2A01276g	4374
gene-DEHA2A01298g	3089
gene-DEHA2A01320g	15
gene-DEHA2A01342g	4726
gene-DEHA2A01364g	59658
gene-DEHA2A01386g	0
gene-DEHA2A01408g	2781
gene-DEHA2A01430g	13914
gene-DEHA2A01452g	708
gene-DEHA2A01474g	11732
gene-DEHA2A01496g	2735
gene-DEHA2A01518g	1238
gene-DEHA2A01540g	4120
gene-DEHA2A01562g	2156
gene-DEHA2A01584g	1340
gene-DEHA2A01606g	4144
gene-DEHA2A01628g	12669
gene-DEHA2A01650g	4359
gene-DEHA2A01672g	1817
gene-DEHA2A01694g	2728
gene-DEHA2A01716g	3395
gene-DEHA2A01738g	3331
gene-DEHA2A01760g	5231
gene-DEHA2A01782g	4946
gene-DEHA2A01804g	12420
gene-DEHA2A01826g	18
gene-DEHA2A01848g	10962
gene-DEHA2A01870g	8818
