Geneid	RNA STAR on 1MNaCl1: mapped.bam
gene-DEHA2A01892g	5318
gene-DEHA2A01914g	8282
gene-DEHA2A01936g	15966
gene-DEHA2A01958g	1029
gene-DEHA2A01980g	3318
gene-DEHA2A02002r	1
gene-DEHA2A02024g	4376
gene-DEHA2A02046g	2766
gene-DEHA2A02068g	1
gene-DEHA2A02090g	135
gene-DEHA2A02112g	2498
gene-DEHA2A02134g	2283
gene-DEHA2A02156g	6110
gene-DEHA2A02178g	2241
gene-DEHA2A02200g	2106
gene-DEHA2A02222g	1936
gene-DEHA2A02244g	2901
gene-DEHA2A02266g	6550
gene-DEHA2A02288g	2180
gene-DEHA2A02310g	4336
gene-DEHA2A02332g	1774
gene-DEHA2A02354g	5449
gene-DEHA2A02376g	5719
gene-DEHA2A02398g	2852
gene-DEHA2A02420g	503
gene-DEHA2A02442g	10304
gene-DEHA2A02464g	5860
gene-DEHA2A02486g	9312
gene-DEHA2A02508g	5603
gene-DEHA2A02530g	2202
gene-DEHA2A02552g	3080
gene-DEHA2A02574g	5881
gene-DEHA2A02596g	4739
gene-DEHA2A02618g	303
gene-DEHA2A02640g	941
gene-DEHA2A02662g	731
gene-DEHA2A02684g	815
gene-DEHA2A02706g	2495
gene-DEHA2A02728g	1556
gene-DEHA2A02750g	4682
gene-DEHA2A02772g	1034
gene-DEHA2A02794g	1651
gene-DEHA2A02816g	22
gene-DEHA2A02838g	6135
gene-DEHA2A02860g	10678
gene-DEHA2A02882g	8308
gene-DEHA2A02904g	9141
gene-DEHA2A02926g	16494
gene-DEHA2A02948g	23
gene-DEHA2A02970g	3457
gene-DEHA2A02992g	14337
gene-DEHA2A03014g	6745
gene-DEHA2A03036g	5774
gene-DEHA2A03058g	1059
gene-DEHA2A03080g	8095
gene-DEHA2A03102g	10754
gene-DEHA2A03124g	4060
gene-DEHA2A03146g	10884
gene-DEHA2A03168g	1421
gene-DEHA2A03190g	3576
gene-DEHA2A03212g	15455
gene-DEHA2A03234g	6404
gene-DEHA2A03256g	3591
gene-DEHA2A03278g	5101
gene-DEHA2A03300g	5039
gene-DEHA2A03322g	17192
gene-DEHA2A03344g	1379
gene-DEHA2A03366g	2334
gene-DEHA2A03388g	4183
gene-DEHA2A03410g	4
gene-DEHA2A03432g	1428
gene-DEHA2A03454g	4021
gene-DEHA2A03476g	11023
gene-DEHA2A03498g	14646
gene-DEHA2A03520g	4133
gene-DEHA2A03542g	12852
gene-DEHA2A03564g	1996
gene-DEHA2A03586g	2233
gene-DEHA2A03608g	5118
gene-DEHA2A03630g	3590
gene-DEHA2A03652g	10697
gene-DEHA2A03674g	10433
gene-DEHA2A03696g	14111
gene-DEHA2A03718g	4199
gene-DEHA2A03740g	1687
gene-DEHA2A03762r	3
gene-DEHA2A03784g	23
gene-DEHA2A03806g	14331
gene-DEHA2A04334g	5047
gene-DEHA2A04356g	4609
gene-DEHA2A04378g	3669
gene-DEHA2A04400g	1821
gene-DEHA2A04422g	295
gene-DEHA2A04444g	2767
gene-DEHA2A04466g	1903
gene-DEHA2A04488g	7003
gene-DEHA2A04510g	2814
gene-DEHA2A04532g	3791
gene-DEHA2A04554g	6378
gene-DEHA2A04576g	3444
gene-DEHA2A04598r	0
gene-DEHA2A04620g	7983
gene-DEHA2A04642g	4085
gene-DEHA2A04664g	3668
gene-DEHA2A04686g	1125
gene-DEHA2A04708g	3461
gene-DEHA2A04730g	1939
gene-DEHA2A04752g	2247
gene-DEHA2A04774g	14989
gene-DEHA2A04796g	1243
gene-DEHA2A04818g	3367
gene-DEHA2A04840g	2000
gene-DEHA2A04862g	8935
gene-DEHA2A04884g	2890
gene-DEHA2A04906r	0
gene-DEHA2A04928g	5702
gene-DEHA2A04950g	68
gene-DEHA2A04972g	3828
gene-DEHA2A04994g	3217
gene-DEHA2A05016g	2577
gene-DEHA2A05038g	5757
gene-DEHA2A05060g	2951
gene-DEHA2A05082g	3363
gene-DEHA2A05104g	7924
gene-DEHA2A05126g	3567
gene-DEHA2A05148g	3801
gene-DEHA2A05170g	4256
gene-DEHA2A05192g	8803
gene-DEHA2A05214g	1329
gene-DEHA2A05236g	8081
gene-DEHA2A05258g	1842
gene-DEHA2A05280g	4597
gene-DEHA2A05302g	1601
gene-DEHA2A05324g	4897
gene-DEHA2A05346g	2244
gene-DEHA2A05368g	7621
gene-DEHA2A05390g	4931
gene-DEHA2A05412g	2908
gene-DEHA2A05434g	4979
gene-DEHA2A05456g	1395
gene-DEHA2A05478g	1610
gene-DEHA2A05500g	27234
gene-DEHA2A05522g	254
gene-DEHA2A05544g	334
gene-DEHA2A05566g	5773
gene-DEHA2A05588g	2297
gene-DEHA2A05610g	1104
gene-DEHA2A05632g	1973
gene-DEHA2A05654g	34224
gene-DEHA2A05676g	3765
gene-DEHA2A05698g	1467
gene-DEHA2A05720g	4776
gene-DEHA2A05742g	6974
gene-DEHA2A05764g	6577
gene-DEHA2A05786g	3226
gene-DEHA2A05808g	1490
gene-DEHA2A05830g	13248
gene-DEHA2A05852g	5864
gene-DEHA2A05874g	3429
gene-DEHA2A05896g	1057
gene-DEHA2A05918g	4185
gene-DEHA2A05940g	2300
gene-DEHA2A05962g	7195
gene-DEHA2A05984g	2342
gene-DEHA2A06006g	4503
gene-DEHA2A06028g	4600
gene-DEHA2A06050g	1817
gene-DEHA2A06072g	1382
gene-DEHA2A06094g	3824
gene-DEHA2A06116g	546
gene-DEHA2A06138g	0
gene-DEHA2A06160g	1047
gene-DEHA2A06182g	2593
gene-DEHA2A06204g	782
gene-DEHA2A06226g	2019
gene-DEHA2A06248g	776
gene-DEHA2A06270g	2241
gene-DEHA2A06292g	1221
gene-DEHA2A06314g	1113
gene-DEHA2A06336g	2188
gene-DEHA2A06358g	3091
gene-DEHA2A06380g	12460
gene-DEHA2A06402g	788
gene-DEHA2A06424g	6569
gene-DEHA2A06446g	5276
gene-DEHA2A06468r	0
gene-DEHA2A06490g	3948
gene-DEHA2A06512g	7440
gene-DEHA2A06534g	11157
gene-DEHA2A06556g	1974
gene-DEHA2A06578g	1925
gene-DEHA2A06600g	3022
gene-DEHA2A06622g	208
gene-DEHA2A06644g	765
gene-DEHA2A06666g	7795
gene-DEHA2A06688g	53
gene-DEHA2A06710g	6118
gene-DEHA2A06732g	8947
gene-DEHA2A06754g	3209
gene-DEHA2A06776g	22738
gene-DEHA2A06798g	6579
gene-DEHA2A06820g	3678
gene-DEHA2A06842g	53
gene-DEHA2A06864g	3358
gene-DEHA2A06886g	7050
gene-DEHA2A06908g	4500
gene-DEHA2A06930g	3558
gene-DEHA2A06952g	4057
gene-DEHA2A06974g	4084
gene-DEHA2A06996g	1480
gene-DEHA2A07018g	1668
gene-DEHA2A07040g	3997
gene-DEHA2A07062g	499
gene-DEHA2A07084g	2685
gene-DEHA2A07106g	10158
gene-DEHA2A07128g	19984
gene-DEHA2A07150g	2796
gene-DEHA2A07172g	4394
gene-DEHA2A07194g	648
gene-DEHA2A07216g	3730
gene-DEHA2A07238g	6071
gene-DEHA2A07260g	1159
gene-DEHA2A07282g	3707
gene-DEHA2A07304r	8
gene-DEHA2A07326g	1701
gene-DEHA2A07348g	3070
gene-DEHA2A07370g	43707
gene-DEHA2A07392g	11331
gene-DEHA2A07414g	51634
gene-DEHA2A07436g	19135
gene-DEHA2A07458g	3271
gene-DEHA2A07480g	7752
gene-DEHA2A07502g	2035
gene-DEHA2A07524g	1582
gene-DEHA2A07546g	2238
gene-DEHA2A07568g	2559
gene-DEHA2A07590g	2420
gene-DEHA2A07612g	31148
gene-DEHA2A07634g	11211
gene-DEHA2A07656g	3658
gene-DEHA2A07678g	3604
gene-DEHA2A07700g	44536
gene-DEHA2A07722g	142
gene-DEHA2A07744g	1115
gene-DEHA2A07766g	3693
gene-DEHA2A07788g	4691
gene-DEHA2A07810g	7142
gene-DEHA2A07832g	1244
gene-DEHA2A07854g	1220
gene-DEHA2A07876g	2898
gene-DEHA2A07898r	23
gene-DEHA2A07920g	74217
gene-DEHA2A07942g	11414
gene-DEHA2A07964g	1359
gene-DEHA2A07986g	4602
gene-DEHA2A08008g	6851
gene-DEHA2A08030g	2995
gene-DEHA2A08052g	98
gene-DEHA2A08074g	2615
gene-DEHA2A08096g	7897
gene-DEHA2A08118g	4908
gene-DEHA2A08140g	445
gene-DEHA2A08162g	2567
gene-DEHA2A08206g	73
gene-DEHA2A08228g	475
gene-DEHA2A08250g	417
gene-DEHA2A08272g	3194
gene-DEHA2A08294g	1143
gene-DEHA2A08316g	958
gene-DEHA2A08338g	191
gene-DEHA2A08360g	145
gene-DEHA2A08382g	9897
gene-DEHA2A08404g	1493
gene-DEHA2A08426g	419
gene-DEHA2A08448g	2761
gene-DEHA2A08470g	1
gene-DEHA2A08492g	29623
gene-DEHA2A08514g	1768
gene-DEHA2A08536g	2521
gene-DEHA2A08558g	5040
gene-DEHA2A08580g	9114
gene-DEHA2A08602g	4603
gene-DEHA2A08624g	8580
gene-DEHA2A08646g	12814
gene-DEHA2A08668g	5936
gene-DEHA2A08690g	2366
gene-DEHA2A08712g	2943
gene-DEHA2A08734g	11652
gene-DEHA2A08756g	6806
gene-DEHA2A08778g	4599
gene-DEHA2A08800g	109409
gene-DEHA2A08822g	3041
gene-DEHA2A08844g	2026
gene-DEHA2A08866g	1402
gene-DEHA2A08888g	3175
gene-DEHA2A08910g	8384
gene-DEHA2A08932g	3658
gene-DEHA2A08954g	244
gene-DEHA2A08976g	4510
gene-DEHA2A08998g	1724
gene-DEHA2A09020g	4239
gene-DEHA2A09042g	1058
gene-DEHA2A09064r	2
gene-DEHA2A09086g	4117
gene-DEHA2A09108g	2264
gene-DEHA2A09130g	6191
gene-DEHA2A09152g	14539
gene-DEHA2A09174g	2249
gene-DEHA2A09196g	3936
gene-DEHA2A09218g	3359
gene-DEHA2A09240g	10157
gene-DEHA2A09262g	3807
gene-DEHA2A09284g	4717
gene-DEHA2A09306g	51092
gene-DEHA2A09328g	10211
gene-DEHA2A09350g	2377
gene-DEHA2A09372g	5665
gene-DEHA2A09394g	25648
gene-DEHA2A09416g	2942
gene-DEHA2A09438g	7458
gene-DEHA2A09460g	20131
gene-DEHA2A09482g	13898
gene-DEHA2A09504g	4148
gene-DEHA2A09526g	13393
gene-DEHA2A09548g	1487
gene-DEHA2A09570g	2331
gene-DEHA2A09592g	6358
gene-DEHA2A09614g	1235
gene-DEHA2A09636g	2664
gene-DEHA2A09658g	3747
gene-DEHA2A09680g	19800
gene-DEHA2A09702g	754
gene-DEHA2A09724g	1774
gene-DEHA2A09746g	1975
gene-DEHA2A09768g	8925
gene-DEHA2A09790g	10341
gene-DEHA2A09812g	2838
gene-DEHA2A09834g	1739
gene-DEHA2A09856g	4490
gene-DEHA2A09878g	1197
gene-DEHA2A09900g	1160
gene-DEHA2A09922g	1876
gene-DEHA2A09944g	4046
gene-DEHA2A09966g	5890
gene-DEHA2A09988g	2469
gene-DEHA2A10010g	14780
gene-DEHA2A10032g	6342
gene-DEHA2A10054g	1450
gene-DEHA2A10076g	3270
gene-DEHA2A10098g	2936
gene-DEHA2A10120g	3898
gene-DEHA2A10142g	5590
gene-DEHA2A10164g	3830
gene-DEHA2A10186g	3950
gene-DEHA2A10208g	3989
gene-DEHA2A10230g	3151
gene-DEHA2A10252g	5231
gene-DEHA2A10274g	3908
gene-DEHA2A10296g	8216
gene-DEHA2A10318g	3348
gene-DEHA2A10340g	5742
gene-DEHA2A10362g	908
gene-DEHA2A10384g	11819
gene-DEHA2A10406g	5716
gene-DEHA2A10428g	2779
gene-DEHA2A10450g	4400
gene-DEHA2A10472g	1687
gene-DEHA2A10494g	3410
gene-DEHA2A10516g	33172
gene-DEHA2A10538g	45491
gene-DEHA2A10560g	3179
gene-DEHA2A10582g	2704
gene-DEHA2A10604g	1050
gene-DEHA2A10626g	3338
gene-DEHA2A10648g	3857
gene-DEHA2A10670g	3998
gene-DEHA2A10692r	1
gene-DEHA2A10714g	2085
gene-DEHA2A10736g	327
gene-DEHA2A10758g	8712
gene-DEHA2A10780g	11833
gene-DEHA2A10802g	1415
gene-DEHA2A10824g	3756
gene-DEHA2A10846g	2240
gene-DEHA2A10868g	4138
gene-DEHA2A10890g	4182
gene-DEHA2A10912g	4124
gene-DEHA2A10934g	2763
gene-DEHA2A10956g	9819
gene-DEHA2A10978g	6267
gene-DEHA2A11000g	2024
gene-DEHA2A11022g	95
gene-DEHA2A11044g	86173
gene-DEHA2A11066g	3944
gene-DEHA2A11088g	1556
gene-DEHA2A11110g	7722
gene-DEHA2A11132g	1894
gene-DEHA2A11154g	125
gene-DEHA2A11176g	2
gene-DEHA2A11198g	40388
gene-DEHA2A11220g	7700
gene-DEHA2A11242g	6506
gene-DEHA2A11264g	1295
gene-DEHA2A11286g	1991
gene-DEHA2A11308g	5192
gene-DEHA2A11330g	21
gene-DEHA2A11352g	1746
gene-DEHA2A11374g	7666
gene-DEHA2A11396g	3343
gene-DEHA2A11418g	2392
gene-DEHA2A11440g	5471
gene-DEHA2A11462g	2865
gene-DEHA2A11484g	57
gene-DEHA2A11506g	11939
gene-DEHA2A11528g	10508
gene-DEHA2A11550g	4512
gene-DEHA2A11572g	3832
gene-DEHA2A11594g	4564
gene-DEHA2A11616g	2396
gene-DEHA2A11638g	3157
gene-DEHA2A11660g	22827
gene-DEHA2A11682g	731
gene-DEHA2A11704g	4207
gene-DEHA2A11726r	2
gene-DEHA2A11748r	0
gene-DEHA2A11770r	4
gene-DEHA2A11792g	6748
gene-DEHA2A11814g	4363
gene-DEHA2A11836g	3389
gene-DEHA2A11858g	13739
gene-DEHA2A11880g	3156
gene-DEHA2A11902g	5375
gene-DEHA2A11924g	2042
gene-DEHA2A11946g	9931
gene-DEHA2A11968g	3553
gene-DEHA2A11990g	1334
gene-DEHA2A12012g	2501
gene-DEHA2A12034g	3200
gene-DEHA2A12056g	4389
gene-DEHA2A12078g	1952
gene-DEHA2A12100g	12285
gene-DEHA2A12122g	2974
gene-DEHA2A12144g	17940
gene-DEHA2A12166g	1639
gene-DEHA2A12188g	6
gene-DEHA2A12210g	12282
gene-DEHA2A12232g	2483
gene-DEHA2A12254g	818
gene-DEHA2A12276g	6894
gene-DEHA2A12298g	2192
gene-DEHA2A12320g	7
gene-DEHA2A12342g	390
gene-DEHA2A12364g	963
gene-DEHA2A12386g	11
gene-DEHA2A12408g	2
gene-DEHA2A12430g	4280
gene-DEHA2A12452g	2279
gene-DEHA2A12474g	1882
gene-DEHA2A12496g	5735
gene-DEHA2A12518g	2664
gene-DEHA2A12540g	26291
gene-DEHA2A12562g	923
gene-DEHA2A12584g	2175
gene-DEHA2A12606g	4748
gene-DEHA2A12628g	9095
gene-DEHA2A12650g	2130
gene-DEHA2A12672g	4678
gene-DEHA2A12694g	5393
gene-DEHA2A12716g	2
gene-DEHA2A12738g	4019
gene-DEHA2A12760g	1020
gene-DEHA2A12782g	22271
gene-DEHA2A12804g	2637
gene-DEHA2A12826g	2757
gene-DEHA2A12848g	4126
gene-DEHA2A12870g	6729
gene-DEHA2A12892g	4233
gene-DEHA2A12914g	3230
gene-DEHA2A12936g	17641
gene-DEHA2A12958g	12701
gene-DEHA2A12980g	2203
gene-DEHA2A13002g	4129
gene-DEHA2A13024g	2503
gene-DEHA2A13046g	3293
gene-DEHA2A13068g	14
gene-DEHA2A13090g	6827
gene-DEHA2A13112g	4380
gene-DEHA2A13134g	6241
gene-DEHA2A13156g	7665
gene-DEHA2A13178g	498
gene-DEHA2A13200g	74042
gene-DEHA2A13222g	557
gene-DEHA2A13244g	2847
gene-DEHA2A13266g	3363
gene-DEHA2A13288g	15196
gene-DEHA2A13310g	3252
gene-DEHA2A13332g	949
gene-DEHA2A13354g	726
gene-DEHA2A13376g	1185
gene-DEHA2A13398g	3199
gene-DEHA2A13420g	25293
gene-DEHA2A13442g	2491
gene-DEHA2A13464g	1247
gene-DEHA2A13486g	1760
gene-DEHA2A13508g	1973
gene-DEHA2A13530g	1905
gene-DEHA2A13552g	2282
gene-DEHA2A13574g	3540
gene-DEHA2A13596g	1546
gene-DEHA2A13618g	38707
gene-DEHA2A13640g	7558
gene-DEHA2A13662g	5653
gene-DEHA2A13684g	5382
gene-DEHA2A13706g	1689
gene-DEHA2A13728g	1788
gene-DEHA2A13750g	5182
gene-DEHA2A13772g	1420
gene-DEHA2A13794g	5082
gene-DEHA2A13816g	1338
gene-DEHA2A13838g	3807
gene-DEHA2A13860g	3749
gene-DEHA2A13882g	1156
gene-DEHA2A13904g	8434
gene-DEHA2A13926g	2980
gene-DEHA2A13948g	1005
gene-DEHA2A13970g	5956
gene-DEHA2A13992g	9339
gene-DEHA2A14014g	21379
gene-DEHA2A14036g	3702
gene-DEHA2A14058g	9610
gene-DEHA2A14080g	2448
gene-DEHA2A14102g	1755
gene-DEHA2A14124g	3099
gene-DEHA2A14146g	1298
gene-DEHA2A14168g	19051
gene-DEHA2A14190g	1817
gene-DEHA2A14212g	4705
gene-DEHA2A14234g	1342
gene-DEHA2A14256g	3053
gene-DEHA2A14278g	1493
gene-DEHA2A14300g	831
gene-DEHA2A14322g	68
gene-DEHA2A14344g	3042
gene-DEHA2A14366g	17526
gene-DEHA2A14388g	105150
gene-DEHA2A14410g	7024
gene-DEHA2A14498g	0
gene-DEHA2A14520g	53
gene-DEHA2A14542g	2593
gene-DEHA2A14586g	4165
gene-DEHA2A14608g	1710
gene-DEHA2A14630g	14
gene-DEHA2A14652g	686
gene-DEHA2A14674g	1
gene-DEHA2A14696g	28168
gene-DEHA2A14718g	1865
gene-DEHA2A14740g	26
gene-DEHA2A14762g	6
gene-DEHA2A14784g	0
gene-DEHA2A14806g	8
gene-DEHA2A14828g	0
gene-DEHA2B00110g	25224
gene-DEHA2B00132g	19598
gene-DEHA2B00154g	0
gene-DEHA2B00176g	22
gene-DEHA2B00198g	20
gene-DEHA2B00220g	126
gene-DEHA2B00242g	4
gene-DEHA2B00264g	0
gene-DEHA2B00286g	19
gene-DEHA2B00308g	104
gene-DEHA2B00330g	0
gene-DEHA2B00352g	346
gene-DEHA2B00374g	778
gene-DEHA2B00396g	1976
gene-DEHA2B00418g	637
gene-DEHA2B00440g	55
gene-DEHA2B00462g	108
gene-DEHA2B00484g	185
gene-DEHA2B00506g	973
gene-DEHA2B00528g	3743
gene-DEHA2B00550g	416
gene-DEHA2B00572g	16
gene-DEHA2B00594g	559
gene-DEHA2B00616g	1854
gene-DEHA2B00638g	3281
gene-DEHA2B00660g	8649
gene-DEHA2B00682g	3648
gene-DEHA2B00704g	1818
gene-DEHA2B00726g	2758
gene-DEHA2B00748g	1543
gene-DEHA2B00770g	1867
gene-DEHA2B00792g	2854
gene-DEHA2B00814g	12621
gene-DEHA2B00836g	53
gene-DEHA2B00858g	9303
gene-DEHA2B00880g	276
gene-DEHA2B00902g	24682
gene-DEHA2B00924g	5317
gene-DEHA2B00946g	8232
gene-DEHA2B00968g	8147
gene-DEHA2B00990g	478
gene-DEHA2B01012g	9734
gene-DEHA2B01034r	6
gene-DEHA2B01056g	17
gene-DEHA2B01078g	720
gene-DEHA2B01100g	3108
gene-DEHA2B01122g	6956
gene-DEHA2B01144g	6127
gene-DEHA2B01166g	73
gene-DEHA2B01188g	8
gene-DEHA2B01210g	36589
gene-DEHA2B01232g	8192
gene-DEHA2B01254g	7322
gene-DEHA2B01276g	2087
gene-DEHA2B01298g	1391
gene-DEHA2B01320g	3872
gene-DEHA2B01342g	4270
gene-DEHA2B01364g	2207
gene-DEHA2B01386g	9684
gene-DEHA2B01408g	915
gene-DEHA2B01430g	22303
gene-DEHA2B01452g	3561
gene-DEHA2B01474g	2306
gene-DEHA2B01496g	3868
gene-DEHA2B01518g	3803
gene-DEHA2B01540g	3216
gene-DEHA2B01562g	2536
gene-DEHA2B01584g	4338
gene-DEHA2B01606g	589
gene-DEHA2B01628g	3154
gene-DEHA2B01650g	2847
gene-DEHA2B01672g	6608
gene-DEHA2B01694g	4625
gene-DEHA2B01716g	14017
gene-DEHA2B01738g	8872
gene-DEHA2B01760g	4275
gene-DEHA2B01782g	1253
gene-DEHA2B01804g	36791
gene-DEHA2B01826g	3574
gene-DEHA2B01848g	2
gene-DEHA2B01870g	7152
gene-DEHA2B01892g	1244
gene-DEHA2B01914g	2539
gene-DEHA2B01936g	1165
gene-DEHA2B01958g	8694
gene-DEHA2B01980g	14
gene-DEHA2B02002g	27
gene-DEHA2B02024g	3454
gene-DEHA2B02046g	3186
gene-DEHA2B02068g	2250
gene-DEHA2B02090g	4627
gene-DEHA2B02112g	648
gene-DEHA2B02134g	637
gene-DEHA2B02156g	3348
gene-DEHA2B02178g	7237
gene-DEHA2B02200g	1892
gene-DEHA2B02222g	3117
gene-DEHA2B02244g	2993
gene-DEHA2B02266g	1731
gene-DEHA2B02288g	1767
gene-DEHA2B02310g	153
gene-DEHA2B02332g	1411
gene-DEHA2B02354g	167
gene-DEHA2B02376g	4414
gene-DEHA2B02398g	242
gene-DEHA2B02420g	10855
gene-DEHA2B02442g	3738
gene-DEHA2B02464g	762
gene-DEHA2B02486g	2883
gene-DEHA2B02508g	1827
gene-DEHA2B02530g	3888
gene-DEHA2B02552g	11011
gene-DEHA2B02574g	12991
gene-DEHA2B02596g	13206
gene-DEHA2B02618g	6598
gene-DEHA2B02640g	4502
gene-DEHA2B02662r	0
gene-DEHA2B02684g	3688
gene-DEHA2B02706g	3559
gene-DEHA2B02728g	1202
gene-DEHA2B02750g	14181
gene-DEHA2B02772g	18225
gene-DEHA2B02794g	670
gene-DEHA2B02816g	993
gene-DEHA2B02838g	4350
gene-DEHA2B02860g	3
gene-DEHA2B02882g	3118
gene-DEHA2B02904g	58601
gene-DEHA2B02926g	1426
gene-DEHA2B02948g	2359
gene-DEHA2B02970g	1619
gene-DEHA2B02992g	2172
gene-DEHA2B03014g	11638
gene-DEHA2B03036g	3956
gene-DEHA2B03058g	25138
gene-DEHA2B03080r	0
gene-DEHA2B03102g	4199
gene-DEHA2B03124g	4219
gene-DEHA2B03146g	2505
gene-DEHA2B03168g	734
gene-DEHA2B03190g	9045
gene-DEHA2B03212g	2792
gene-DEHA2B03234g	2040
gene-DEHA2B03256g	10173
gene-DEHA2B03278g	4597
gene-DEHA2B03300g	956
gene-DEHA2B03322g	2886
gene-DEHA2B03344g	2632
gene-DEHA2B03366g	7462
gene-DEHA2B03388g	1965
gene-DEHA2B03410g	11841
gene-DEHA2B03432g	1130
gene-DEHA2B03454g	6769
gene-DEHA2B03476g	689
gene-DEHA2B03498g	3
gene-DEHA2B03520g	4040
gene-DEHA2B03542g	1262
gene-DEHA2B03564g	4056
gene-DEHA2B03586g	8353
gene-DEHA2B03608g	3
gene-DEHA2B03630g	25410
gene-DEHA2B03652g	8095
gene-DEHA2B03674g	1053
gene-DEHA2B03696g	5762
gene-DEHA2B03718g	21046
gene-DEHA2B03740g	3466
gene-DEHA2B03762g	3259
gene-DEHA2B03784g	1804
gene-DEHA2B03806g	6714
gene-DEHA2B03828g	8802
gene-DEHA2B03850g	584
gene-DEHA2B03872g	964
gene-DEHA2B03894g	4725
gene-DEHA2B03916g	270
gene-DEHA2B03938g	14219
gene-DEHA2B03960g	4996
gene-DEHA2B03982g	3179
gene-DEHA2B04004g	2061
gene-DEHA2B04048g	4161
gene-DEHA2B04070g	4779
gene-DEHA2B04092g	2266
gene-DEHA2B04114g	493
gene-DEHA2B04136g	2429
gene-DEHA2B04158g	1289
gene-DEHA2B04180g	22852
gene-DEHA2B04202g	7508
gene-DEHA2B04224g	2606
gene-DEHA2B04246g	3889
gene-DEHA2B04268g	3437
gene-DEHA2B04290g	158
gene-DEHA2B04312g	14327
gene-DEHA2B04334g	1801
gene-DEHA2B04356g	4312
gene-DEHA2B04378g	4621
gene-DEHA2B04400g	1905
gene-DEHA2B04422g	1448
gene-DEHA2B04444g	335
gene-DEHA2B04466g	2898
gene-DEHA2B04488g	2035
gene-DEHA2B04510g	1
gene-DEHA2B04532g	4594
gene-DEHA2B04554g	6960
gene-DEHA2B04576g	1255
gene-DEHA2B04598g	1261
gene-DEHA2B04620g	15896
gene-DEHA2B04642g	8792
gene-DEHA2B04664g	7908
gene-DEHA2B04686g	35724
gene-DEHA2B04708g	8261
gene-DEHA2B04730g	15278
gene-DEHA2B04752g	5874
gene-DEHA2B04774g	3998
gene-DEHA2B04796g	7482
gene-DEHA2B04818g	7059
gene-DEHA2B04840r	1
gene-DEHA2B04862g	163
gene-DEHA2B04884g	3037
gene-DEHA2B04906g	25446
gene-DEHA2B04928g	10171
gene-DEHA2B04950g	7602
gene-DEHA2B04972g	15420
gene-DEHA2B04994g	7043
gene-DEHA2B05016g	2396
gene-DEHA2B05038g	2638
gene-DEHA2B05060g	1775
gene-DEHA2B05082g	2626
gene-DEHA2B05104g	10462
gene-DEHA2B05126g	4315
gene-DEHA2B05148g	1844
gene-DEHA2B05170g	5631
gene-DEHA2B05192g	2936
gene-DEHA2B05214g	1204
gene-DEHA2B05236g	7437
gene-DEHA2B05258g	2490
gene-DEHA2B05280g	3281
gene-DEHA2B05302g	1965
gene-DEHA2B05324r	2
gene-DEHA2B05346r	2
gene-DEHA2B05368g	2677
gene-DEHA2B05390g	16215
