Geneid	RNA STAR on Control5: mapped.bam
gene-DEHA2A03256g	1551
gene-DEHA2A03278g	4243
gene-DEHA2A03300g	4332
gene-DEHA2A03322g	13323
gene-DEHA2A03344g	663
gene-DEHA2A03366g	2131
gene-DEHA2A03388g	4127
gene-DEHA2A03410g	20
gene-DEHA2A03432g	3781
gene-DEHA2A03454g	1535
gene-DEHA2A03476g	11430
gene-DEHA2A03498g	13608
gene-DEHA2A03520g	2768
gene-DEHA2A03542g	8341
gene-DEHA2A03564g	2524
gene-DEHA2A03586g	2411
gene-DEHA2A03608g	4648
gene-DEHA2A03630g	3126
gene-DEHA2A03652g	6875
gene-DEHA2A03674g	9914
gene-DEHA2A03696g	15576
gene-DEHA2A03718g	3838
gene-DEHA2A03740g	1551
gene-DEHA2A03762r	5
gene-DEHA2A03784g	31
gene-DEHA2A03806g	972
gene-DEHA2A04334g	3497
gene-DEHA2A04356g	2024
gene-DEHA2A04378g	3828
gene-DEHA2A04400g	1429
gene-DEHA2A04422g	375
gene-DEHA2A04444g	2292
gene-DEHA2A04466g	2310
gene-DEHA2A04488g	9074
gene-DEHA2A04510g	2638
gene-DEHA2A04532g	1958
gene-DEHA2A04554g	6338
gene-DEHA2A04576g	3103
gene-DEHA2A04598r	0
gene-DEHA2A04620g	5564
gene-DEHA2A04642g	3561
gene-DEHA2A04664g	3116
gene-DEHA2A04686g	847
gene-DEHA2A04708g	4028
gene-DEHA2A04730g	1369
gene-DEHA2A04752g	2394
gene-DEHA2A04774g	11304
gene-DEHA2A04796g	2500
gene-DEHA2A04818g	5095
gene-DEHA2A04840g	1390
gene-DEHA2A04862g	5044
gene-DEHA2A04884g	2566
gene-DEHA2A04906r	0
gene-DEHA2A04928g	4400
gene-DEHA2A04950g	68
gene-DEHA2A04972g	3863
gene-DEHA2A04994g	2902
gene-DEHA2A05016g	2356
gene-DEHA2A05038g	4702
gene-DEHA2A05060g	1958
gene-DEHA2A05082g	3014
gene-DEHA2A05104g	7414
gene-DEHA2A05126g	3782
gene-DEHA2A05148g	3391
gene-DEHA2A05170g	4222
gene-DEHA2A05192g	7417
gene-DEHA2A05214g	1494
gene-DEHA2A05236g	9157
gene-DEHA2A05258g	2380
gene-DEHA2A05280g	3634
gene-DEHA2A05302g	1600
gene-DEHA2A05324g	4605
gene-DEHA2A05346g	1849
gene-DEHA2A05368g	4341
gene-DEHA2A05390g	4427
gene-DEHA2A05412g	2161
gene-DEHA2A05434g	3499
gene-DEHA2A05456g	1473
gene-DEHA2A05478g	1616
gene-DEHA2A05500g	32859
gene-DEHA2A05522g	433
gene-DEHA2A05544g	221
gene-DEHA2A05566g	6221
gene-DEHA2A05588g	1062
gene-DEHA2A05610g	910
gene-DEHA2A05632g	1697
gene-DEHA2A05654g	16754
gene-DEHA2A05676g	3241
gene-DEHA2A05698g	1411
gene-DEHA2A05720g	2829
gene-DEHA2A05742g	5972
gene-DEHA2A05764g	5864
gene-DEHA2A05786g	2065
gene-DEHA2A05808g	1332
gene-DEHA2A05830g	10515
gene-DEHA2A05852g	4859
gene-DEHA2A05874g	2744
gene-DEHA2A05896g	834
gene-DEHA2A05918g	2232
gene-DEHA2A05940g	1810
gene-DEHA2A05962g	7157
gene-DEHA2A05984g	2296
gene-DEHA2A06006g	4184
gene-DEHA2A06028g	5228
gene-DEHA2A06050g	1779
gene-DEHA2A06072g	1373
gene-DEHA2A06094g	4047
gene-DEHA2A06116g	524
gene-DEHA2A06138g	6
gene-DEHA2A06160g	1142
gene-DEHA2A06182g	2291
gene-DEHA2A06204g	534
gene-DEHA2A06226g	1707
gene-DEHA2A06248g	521
gene-DEHA2A06270g	2138
gene-DEHA2A06292g	2707
gene-DEHA2A06314g	1253
gene-DEHA2A06336g	3349
gene-DEHA2A06358g	1954
gene-DEHA2A06380g	10128
gene-DEHA2A06402g	786
gene-DEHA2A06424g	5684
gene-DEHA2A06446g	5769
gene-DEHA2A06468r	1
gene-DEHA2A06490g	3684
gene-DEHA2A06512g	8306
gene-DEHA2A06534g	9538
gene-DEHA2A06556g	1895
gene-DEHA2A06578g	1809
gene-DEHA2A06600g	3112
gene-DEHA2A06622g	290
gene-DEHA2A06644g	910
gene-DEHA2A06666g	7401
gene-DEHA2A06688g	35
gene-DEHA2A06710g	4289
gene-DEHA2A06732g	8714
gene-DEHA2A06754g	2913
gene-DEHA2A06776g	20115
gene-DEHA2A06798g	11362
gene-DEHA2A06820g	3502
gene-DEHA2A06842g	54
gene-DEHA2A06864g	4287
gene-DEHA2A06886g	10769
gene-DEHA2A06908g	3980
gene-DEHA2A06930g	3552
gene-DEHA2A06952g	3595
gene-DEHA2A06974g	4194
gene-DEHA2A06996g	1581
gene-DEHA2A07018g	1379
gene-DEHA2A07040g	4231
gene-DEHA2A07062g	842
gene-DEHA2A07084g	2286
gene-DEHA2A07106g	8936
gene-DEHA2A07128g	9290
gene-DEHA2A07150g	2723
gene-DEHA2A07172g	4817
gene-DEHA2A07194g	602
gene-DEHA2A07216g	2883
gene-DEHA2A07238g	6098
gene-DEHA2A07260g	1391
gene-DEHA2A07282g	3711
gene-DEHA2A07304r	7
gene-DEHA2A07326g	2695
gene-DEHA2A07348g	2657
gene-DEHA2A07370g	35371
gene-DEHA2A07392g	6354
gene-DEHA2A07414g	44084
gene-DEHA2A07436g	22029
gene-DEHA2A07458g	2742
gene-DEHA2A07480g	8206
gene-DEHA2A07502g	2300
gene-DEHA2A07524g	1512
gene-DEHA2A07546g	1940
gene-DEHA2A07568g	2069
gene-DEHA2A07590g	2518
gene-DEHA2A07612g	28639
gene-DEHA2A07634g	8747
gene-DEHA2A07656g	3341
gene-DEHA2A07678g	2913
gene-DEHA2A07700g	40098
gene-DEHA2A07722g	147
gene-DEHA2A07744g	1242
gene-DEHA2A07766g	6461
gene-DEHA2A07788g	3109
gene-DEHA2A07810g	8029
gene-DEHA2A07832g	1918
gene-DEHA2A07854g	1419
gene-DEHA2A07876g	2649
gene-DEHA2A07898r	87
gene-DEHA2A07920g	71899
gene-DEHA2A07942g	10218
gene-DEHA2A07964g	1096
gene-DEHA2A07986g	4290
gene-DEHA2A08008g	6479
gene-DEHA2A08030g	3643
gene-DEHA2A08052g	163
gene-DEHA2A08074g	3152
gene-DEHA2A08096g	8922
gene-DEHA2A08118g	4920
gene-DEHA2A08140g	693
gene-DEHA2A08162g	3043
gene-DEHA2A08206g	111
gene-DEHA2A08228g	565
gene-DEHA2A08250g	334
gene-DEHA2A08272g	2804
gene-DEHA2A08294g	1437
gene-DEHA2A08316g	1526
gene-DEHA2A08338g	306
gene-DEHA2A08360g	310
gene-DEHA2A08382g	11273
gene-DEHA2A08404g	1816
gene-DEHA2A08426g	224
gene-DEHA2A08448g	971
gene-DEHA2A08470g	3
gene-DEHA2A08492g	26910
gene-DEHA2A08514g	1652
gene-DEHA2A08536g	2299
gene-DEHA2A08558g	6003
gene-DEHA2A08580g	7855
gene-DEHA2A08602g	4043
gene-DEHA2A08624g	9489
gene-DEHA2A08646g	17761
gene-DEHA2A08668g	5254
gene-DEHA2A08690g	2650
gene-DEHA2A08712g	2777
gene-DEHA2A08734g	11277
gene-DEHA2A08756g	4608
gene-DEHA2A08778g	2941
gene-DEHA2A08800g	64852
gene-DEHA2A08822g	2563
gene-DEHA2A08844g	2215
gene-DEHA2A08866g	2244
gene-DEHA2A08888g	3099
gene-DEHA2A08910g	7784
gene-DEHA2A08932g	3020
gene-DEHA2A08954g	558
gene-DEHA2A08976g	4223
gene-DEHA2A08998g	1420
gene-DEHA2A09020g	4977
gene-DEHA2A09042g	1202
gene-DEHA2A09064r	2
gene-DEHA2A09086g	5656
gene-DEHA2A09108g	1797
gene-DEHA2A09130g	6739
gene-DEHA2A09152g	8470
gene-DEHA2A09174g	1211
gene-DEHA2A09196g	3213
gene-DEHA2A09218g	3086
gene-DEHA2A09240g	5088
gene-DEHA2A09262g	3005
gene-DEHA2A09284g	4186
gene-DEHA2A09306g	19185
gene-DEHA2A09328g	8857
gene-DEHA2A09350g	2484
gene-DEHA2A09372g	3015
gene-DEHA2A09394g	16157
gene-DEHA2A09416g	2807
gene-DEHA2A09438g	9749
gene-DEHA2A09460g	5972
gene-DEHA2A09482g	11691
gene-DEHA2A09504g	5290
gene-DEHA2A09526g	14109
gene-DEHA2A09548g	954
gene-DEHA2A09570g	1640
gene-DEHA2A09592g	5436
gene-DEHA2A09614g	1856
gene-DEHA2A09636g	2760
gene-DEHA2A09658g	5074
gene-DEHA2A09680g	14417
gene-DEHA2A09702g	646
gene-DEHA2A09724g	1408
gene-DEHA2A09746g	2097
gene-DEHA2A09768g	8739
gene-DEHA2A09790g	9370
gene-DEHA2A09812g	3209
gene-DEHA2A09834g	2010
gene-DEHA2A09856g	3212
gene-DEHA2A09878g	1399
gene-DEHA2A09900g	1228
gene-DEHA2A09922g	1667
gene-DEHA2A09944g	2726
gene-DEHA2A09966g	6470
gene-DEHA2A09988g	1982
gene-DEHA2A10010g	12059
gene-DEHA2A10032g	5710
gene-DEHA2A10054g	959
gene-DEHA2A10076g	3763
gene-DEHA2A10098g	3187
gene-DEHA2A10120g	3039
gene-DEHA2A10142g	5581
gene-DEHA2A10164g	4025
gene-DEHA2A10186g	3922
gene-DEHA2A10208g	3170
gene-DEHA2A10230g	3170
gene-DEHA2A10252g	7645
gene-DEHA2A10274g	4602
gene-DEHA2A10296g	8181
gene-DEHA2A10318g	1460
gene-DEHA2A10340g	6050
gene-DEHA2A10362g	757
gene-DEHA2A10384g	5357
gene-DEHA2A10406g	4817
gene-DEHA2A10428g	3870
gene-DEHA2A10450g	4595
gene-DEHA2A10472g	1342
gene-DEHA2A10494g	3211
gene-DEHA2A10516g	22747
gene-DEHA2A10538g	31183
gene-DEHA2A10560g	3417
gene-DEHA2A10582g	2915
gene-DEHA2A10604g	702
gene-DEHA2A10626g	1897
gene-DEHA2A10648g	4051
gene-DEHA2A10670g	5274
gene-DEHA2A10692r	4
gene-DEHA2A10714g	1427
gene-DEHA2A10736g	304
gene-DEHA2A10758g	10407
gene-DEHA2A10780g	7728
gene-DEHA2A10802g	1946
gene-DEHA2A10824g	3182
gene-DEHA2A10846g	2445
gene-DEHA2A10868g	4062
gene-DEHA2A10890g	3644
gene-DEHA2A10912g	3947
gene-DEHA2A10934g	2425
gene-DEHA2A10956g	13374
gene-DEHA2A10978g	5784
gene-DEHA2A11000g	1918
gene-DEHA2A11022g	131
gene-DEHA2A11044g	30604
gene-DEHA2A11066g	2275
gene-DEHA2A11088g	1480
gene-DEHA2A11110g	7052
gene-DEHA2A11132g	1852
gene-DEHA2A11154g	55
gene-DEHA2A11176g	0
gene-DEHA2A11198g	14668
gene-DEHA2A11220g	7352
gene-DEHA2A11242g	6193
gene-DEHA2A11264g	920
gene-DEHA2A11286g	1568
gene-DEHA2A11308g	5178
gene-DEHA2A11330g	35
gene-DEHA2A11352g	1596
gene-DEHA2A11374g	7152
gene-DEHA2A11396g	4519
gene-DEHA2A11418g	1567
gene-DEHA2A11440g	3382
gene-DEHA2A11462g	2421
gene-DEHA2A11484g	75
gene-DEHA2A11506g	5149
gene-DEHA2A11528g	4087
gene-DEHA2A11550g	4428
gene-DEHA2A11572g	5531
gene-DEHA2A11594g	3801
gene-DEHA2A11616g	2675
gene-DEHA2A11638g	3895
gene-DEHA2A11660g	21472
gene-DEHA2A11682g	774
gene-DEHA2A11704g	2438
gene-DEHA2A11726r	0
gene-DEHA2A11748r	0
gene-DEHA2A11770r	7
gene-DEHA2A11792g	5727
gene-DEHA2A11814g	3735
gene-DEHA2A11836g	3260
gene-DEHA2A11858g	11050
gene-DEHA2A11880g	3219
gene-DEHA2A11902g	4110
gene-DEHA2A11924g	1599
gene-DEHA2A11946g	8726
gene-DEHA2A11968g	3240
gene-DEHA2A11990g	990
gene-DEHA2A12012g	2497
gene-DEHA2A12034g	3252
gene-DEHA2A12056g	5031
gene-DEHA2A12078g	1498
gene-DEHA2A12100g	8765
gene-DEHA2A12122g	3364
gene-DEHA2A12144g	21550
gene-DEHA2A12166g	2640
gene-DEHA2A12188g	18
gene-DEHA2A12210g	5789
gene-DEHA2A12232g	2646
gene-DEHA2A12254g	1316
gene-DEHA2A12276g	5945
gene-DEHA2A12298g	2826
gene-DEHA2A12320g	6
gene-DEHA2A12342g	120
gene-DEHA2A12364g	609
gene-DEHA2A12386g	21
gene-DEHA2A12408g	6
gene-DEHA2A12430g	7472
gene-DEHA2A12452g	2566
gene-DEHA2A12474g	2463
gene-DEHA2A12496g	6644
gene-DEHA2A12518g	3104
gene-DEHA2A12540g	31645
gene-DEHA2A12562g	493
gene-DEHA2A12584g	1294
gene-DEHA2A12606g	5316
gene-DEHA2A12628g	7594
gene-DEHA2A12650g	1917
gene-DEHA2A12672g	3819
gene-DEHA2A12694g	3200
gene-DEHA2A12716g	3
gene-DEHA2A12738g	3727
gene-DEHA2A12760g	1465
gene-DEHA2A12782g	6638
gene-DEHA2A12804g	2274
gene-DEHA2A12826g	2156
gene-DEHA2A12848g	3759
gene-DEHA2A12870g	4363
gene-DEHA2A12892g	4595
gene-DEHA2A12914g	2007
gene-DEHA2A12936g	15840
gene-DEHA2A12958g	4947
gene-DEHA2A12980g	1362
gene-DEHA2A13002g	3505
gene-DEHA2A13024g	3586
gene-DEHA2A13046g	2928
gene-DEHA2A13068g	21
gene-DEHA2A13090g	6409
gene-DEHA2A13112g	5846
gene-DEHA2A13134g	1556
gene-DEHA2A13156g	3419
gene-DEHA2A13178g	395
gene-DEHA2A13200g	30385
gene-DEHA2A13222g	542
gene-DEHA2A13244g	3220
gene-DEHA2A13266g	3544
gene-DEHA2A13288g	10566
gene-DEHA2A13310g	3569
gene-DEHA2A13332g	778
gene-DEHA2A13354g	828
gene-DEHA2A13376g	1257
gene-DEHA2A13398g	2225
gene-DEHA2A13420g	17688
gene-DEHA2A13442g	1770
gene-DEHA2A13464g	642
gene-DEHA2A13486g	1831
gene-DEHA2A13508g	1746
gene-DEHA2A13530g	2276
gene-DEHA2A13552g	1996
gene-DEHA2A13574g	3682
gene-DEHA2A13596g	1525
gene-DEHA2A13618g	34630
gene-DEHA2A13640g	9509
gene-DEHA2A13662g	5215
gene-DEHA2A13684g	3085
gene-DEHA2A13706g	1582
gene-DEHA2A13728g	1558
gene-DEHA2A13750g	5495
gene-DEHA2A13772g	1274
gene-DEHA2A13794g	3999
gene-DEHA2A13816g	1542
gene-DEHA2A13838g	3085
gene-DEHA2A13860g	3642
gene-DEHA2A13882g	890
gene-DEHA2A13904g	7959
gene-DEHA2A13926g	3243
gene-DEHA2A13948g	911
gene-DEHA2A13970g	4291
gene-DEHA2A13992g	6074
gene-DEHA2A14014g	14196
gene-DEHA2A14036g	5592
gene-DEHA2A14058g	8570
gene-DEHA2A14080g	2314
gene-DEHA2A14102g	1408
gene-DEHA2A14124g	3415
gene-DEHA2A14146g	1516
gene-DEHA2A14168g	11419
gene-DEHA2A14190g	2077
gene-DEHA2A14212g	2604
gene-DEHA2A14234g	703
gene-DEHA2A14256g	3593
gene-DEHA2A14278g	1561
gene-DEHA2A14300g	750
gene-DEHA2A14322g	49
gene-DEHA2A14344g	505
gene-DEHA2A14366g	8134
gene-DEHA2A14388g	33463
gene-DEHA2A14410g	7458
gene-DEHA2A14498g	0
gene-DEHA2A14520g	64
gene-DEHA2A14542g	2660
gene-DEHA2A14586g	3470
gene-DEHA2A14608g	2266
gene-DEHA2A14630g	28
gene-DEHA2A14652g	687
gene-DEHA2A14674g	3
gene-DEHA2A14696g	3746
gene-DEHA2A14718g	2076
gene-DEHA2A14740g	402
gene-DEHA2A14762g	34
gene-DEHA2A14784g	2
gene-DEHA2A14806g	53
gene-DEHA2A14828g	3
gene-DEHA2B00110g	21999
gene-DEHA2B00132g	15282
gene-DEHA2B00154g	0
gene-DEHA2B00176g	2
gene-DEHA2B00198g	6
gene-DEHA2B00220g	271
gene-DEHA2B00242g	2
gene-DEHA2B00264g	0
gene-DEHA2B00286g	12
gene-DEHA2B00308g	47
gene-DEHA2B00330g	0
gene-DEHA2B00352g	191
gene-DEHA2B00374g	324
gene-DEHA2B00396g	903
gene-DEHA2B00418g	378
gene-DEHA2B00440g	26
gene-DEHA2B00462g	65
gene-DEHA2B00484g	110
gene-DEHA2B00506g	746
gene-DEHA2B00528g	3033
gene-DEHA2B00550g	516
gene-DEHA2B00572g	71
gene-DEHA2B00594g	1348
gene-DEHA2B00616g	1410
gene-DEHA2B00638g	3226
gene-DEHA2B00660g	7377
gene-DEHA2B00682g	4075
gene-DEHA2B00704g	1455
gene-DEHA2B00726g	2072
gene-DEHA2B00748g	1463
gene-DEHA2B00770g	3075
gene-DEHA2B00792g	2656
gene-DEHA2B00814g	23027
gene-DEHA2B00836g	56
gene-DEHA2B00858g	14211
gene-DEHA2B00880g	168
gene-DEHA2B00902g	13839
gene-DEHA2B00924g	2516
gene-DEHA2B00946g	9596
gene-DEHA2B00968g	6643
gene-DEHA2B00990g	358
gene-DEHA2B01012g	11942
gene-DEHA2B01034r	8
gene-DEHA2B01056g	13
gene-DEHA2B01078g	330
gene-DEHA2B01100g	1237
gene-DEHA2B01122g	6451
gene-DEHA2B01144g	8420
gene-DEHA2B01166g	48
gene-DEHA2B01188g	9
gene-DEHA2B01210g	10783
gene-DEHA2B01232g	8338
gene-DEHA2B01254g	9219
gene-DEHA2B01276g	2076
gene-DEHA2B01298g	2780
gene-DEHA2B01320g	4217
gene-DEHA2B01342g	3565
gene-DEHA2B01364g	1490
gene-DEHA2B01386g	7345
gene-DEHA2B01408g	698
gene-DEHA2B01430g	28015
gene-DEHA2B01452g	6024
gene-DEHA2B01474g	2030
gene-DEHA2B01496g	3175
gene-DEHA2B01518g	2522
gene-DEHA2B01540g	2381
gene-DEHA2B01562g	2087
gene-DEHA2B01584g	3733
gene-DEHA2B01606g	538
gene-DEHA2B01628g	3090
gene-DEHA2B01650g	4486
gene-DEHA2B01672g	11292
gene-DEHA2B01694g	3683
gene-DEHA2B01716g	12432
gene-DEHA2B01738g	8230
gene-DEHA2B01760g	2381
gene-DEHA2B01782g	1295
gene-DEHA2B01804g	11462
gene-DEHA2B01826g	4187
gene-DEHA2B01848g	12
gene-DEHA2B01870g	7573
gene-DEHA2B01892g	1395
gene-DEHA2B01914g	2720
gene-DEHA2B01936g	1019
gene-DEHA2B01958g	3654
gene-DEHA2B01980g	8
gene-DEHA2B02002g	30
gene-DEHA2B02024g	2681
gene-DEHA2B02046g	2407
gene-DEHA2B02068g	1880
gene-DEHA2B02090g	2836
gene-DEHA2B02112g	935
gene-DEHA2B02134g	899
gene-DEHA2B02156g	3842
gene-DEHA2B02178g	8315
gene-DEHA2B02200g	2710
gene-DEHA2B02222g	3083
gene-DEHA2B02244g	3431
gene-DEHA2B02266g	1732
gene-DEHA2B02288g	1570
gene-DEHA2B02310g	142
gene-DEHA2B02332g	1500
gene-DEHA2B02354g	218
gene-DEHA2B02376g	10685
gene-DEHA2B02398g	446
gene-DEHA2B02420g	17316
gene-DEHA2B02442g	4095
gene-DEHA2B02464g	1240
gene-DEHA2B02486g	3589
gene-DEHA2B02508g	2042
gene-DEHA2B02530g	2632
gene-DEHA2B02552g	9049
gene-DEHA2B02574g	11293
gene-DEHA2B02596g	11738
gene-DEHA2B02618g	6803
gene-DEHA2B02640g	3123
gene-DEHA2B02662r	10
gene-DEHA2B02684g	2109
gene-DEHA2B02706g	1852
gene-DEHA2B02728g	638
gene-DEHA2B02750g	8670
gene-DEHA2B02772g	9895
gene-DEHA2B02794g	859
gene-DEHA2B02816g	873
gene-DEHA2B02838g	4333
gene-DEHA2B02860g	8
gene-DEHA2B02882g	3623
gene-DEHA2B02904g	25065
gene-DEHA2B02926g	1383
gene-DEHA2B02948g	2278
gene-DEHA2B02970g	2118
gene-DEHA2B02992g	1967
gene-DEHA2B03014g	9923
gene-DEHA2B03036g	3105
gene-DEHA2B03058g	14575
gene-DEHA2B03080r	0
gene-DEHA2B03102g	3887
gene-DEHA2B03124g	3260
gene-DEHA2B03146g	2960
gene-DEHA2B03168g	705
gene-DEHA2B03190g	9017
gene-DEHA2B03212g	2973
gene-DEHA2B03234g	2361
gene-DEHA2B03256g	8756
gene-DEHA2B03278g	2521
gene-DEHA2B03300g	825
gene-DEHA2B03322g	1244
gene-DEHA2B03344g	1434
gene-DEHA2B03366g	4654
gene-DEHA2B03388g	1846
gene-DEHA2B03410g	9154
gene-DEHA2B03432g	845
gene-DEHA2B03454g	8291
gene-DEHA2B03476g	611
gene-DEHA2B03498g	0
gene-DEHA2B03520g	4381
gene-DEHA2B03542g	769
gene-DEHA2B03564g	3870
gene-DEHA2B03586g	6638
gene-DEHA2B03608g	10
gene-DEHA2B03630g	17918
gene-DEHA2B03652g	7232
gene-DEHA2B03674g	676
gene-DEHA2B03696g	4804
gene-DEHA2B03718g	19346
gene-DEHA2B03740g	2795
gene-DEHA2B03762g	2445
gene-DEHA2B03784g	3154
gene-DEHA2B03806g	6251
gene-DEHA2B03828g	9743
gene-DEHA2B03850g	592
gene-DEHA2B03872g	1101
gene-DEHA2B03894g	5252
gene-DEHA2B03916g	462
gene-DEHA2B03938g	12933
gene-DEHA2B03960g	5280
gene-DEHA2B03982g	2790
gene-DEHA2B04004g	2302
gene-DEHA2B04048g	5010
gene-DEHA2B04070g	5137
gene-DEHA2B04092g	2299
gene-DEHA2B04114g	438
gene-DEHA2B04136g	2671
gene-DEHA2B04158g	1220
gene-DEHA2B04180g	21013
gene-DEHA2B04202g	7582
gene-DEHA2B04224g	2292
gene-DEHA2B04246g	3249
gene-DEHA2B04268g	4443
gene-DEHA2B04290g	119
gene-DEHA2B04312g	12465
gene-DEHA2B04334g	2263
gene-DEHA2B04356g	5568
gene-DEHA2B04378g	3408
gene-DEHA2B04400g	1979
gene-DEHA2B04422g	1300
gene-DEHA2B04444g	424
gene-DEHA2B04466g	3307
gene-DEHA2B04488g	2223
gene-DEHA2B04510g	1
gene-DEHA2B04532g	5881
gene-DEHA2B04554g	5037
gene-DEHA2B04576g	1512
gene-DEHA2B04598g	1375
gene-DEHA2B04620g	14578
gene-DEHA2B04642g	7189
gene-DEHA2B04664g	5759
gene-DEHA2B04686g	11837
gene-DEHA2B04708g	7564
gene-DEHA2B04730g	12778
gene-DEHA2B04752g	4530
gene-DEHA2B04774g	5077
gene-DEHA2B04796g	7794
gene-DEHA2B04818g	4853
gene-DEHA2B04840r	1
gene-DEHA2B04862g	328
gene-DEHA2B04884g	2635
gene-DEHA2B04906g	9572
gene-DEHA2B04928g	3298
gene-DEHA2B04950g	6918
gene-DEHA2B04972g	16523
gene-DEHA2B04994g	5962
gene-DEHA2B05016g	2264
gene-DEHA2B05038g	4647
gene-DEHA2B05060g	1947
gene-DEHA2B05082g	2049
gene-DEHA2B05104g	10959
gene-DEHA2B05126g	4224
gene-DEHA2B05148g	1595
gene-DEHA2B05170g	4662
gene-DEHA2B05192g	3072
gene-DEHA2B05214g	663
gene-DEHA2B05236g	6004
gene-DEHA2B05258g	1259
gene-DEHA2B05280g	1804
gene-DEHA2B05302g	1568
gene-DEHA2B05324r	0
gene-DEHA2B05346r	0
gene-DEHA2B05368g	2733
gene-DEHA2B05390g	19601
gene-DEHA2B05412g	5068
