Geneid	RNA STAR on Control5: mapped.bam
gene-DEHA2A00110g	487
gene-DEHA2A00132g	188
gene-DEHA2A00154g	19692
gene-DEHA2A00176g	97
gene-DEHA2A00198g	431
gene-DEHA2A00220g	1169
gene-DEHA2A00242g	2380
gene-DEHA2A00264g	1208
gene-DEHA2A00286g	4049
gene-DEHA2A00308g	275
gene-DEHA2A00330g	45
gene-DEHA2A00352g	532
gene-DEHA2A00374g	239
gene-DEHA2A00396g	50
gene-DEHA2A00418g	1818
gene-DEHA2A00440g	2580
gene-DEHA2A00462g	902
gene-DEHA2A00484g	1418
gene-DEHA2A00506g	11312
gene-DEHA2A00528g	1114
gene-DEHA2A00550g	6092
gene-DEHA2A00572g	544
gene-DEHA2A00594g	4398
gene-DEHA2A00616g	2902
gene-DEHA2A00638g	1032
gene-DEHA2A00660g	1264
gene-DEHA2A00682g	1074
gene-DEHA2A00704g	375
gene-DEHA2A00726g	4389
gene-DEHA2A00748g	2087
gene-DEHA2A00770g	2705
gene-DEHA2A00792g	3533
gene-DEHA2A00814g	17508
gene-DEHA2A00836g	2105
gene-DEHA2A00858g	1114
gene-DEHA2A00880g	4086
gene-DEHA2A00902g	580
gene-DEHA2A00924r	0
gene-DEHA2A00946g	196
gene-DEHA2A00968g	762
gene-DEHA2A00990r	5
gene-DEHA2A01012g	633
gene-DEHA2A01034g	1405
gene-DEHA2A01056g	976
gene-DEHA2A01078r	0
gene-DEHA2A01100g	11281
gene-DEHA2A01122g	1871
gene-DEHA2A01144g	7302
gene-DEHA2A01166g	0
gene-DEHA2A01188g	4
gene-DEHA2A01210g	1498
gene-DEHA2A01232g	1896
gene-DEHA2A01254g	3306
gene-DEHA2A01276g	4280
gene-DEHA2A01298g	3677
gene-DEHA2A01320g	14
gene-DEHA2A01342g	2712
gene-DEHA2A01364g	61572
gene-DEHA2A01386g	15
gene-DEHA2A01408g	2001
gene-DEHA2A01430g	11585
gene-DEHA2A01452g	514
gene-DEHA2A01474g	10352
gene-DEHA2A01496g	2159
gene-DEHA2A01518g	2205
gene-DEHA2A01540g	3962
gene-DEHA2A01562g	1776
gene-DEHA2A01584g	998
gene-DEHA2A01606g	3514
gene-DEHA2A01628g	11847
gene-DEHA2A01650g	2810
gene-DEHA2A01672g	1652
gene-DEHA2A01694g	2535
gene-DEHA2A01716g	3350
gene-DEHA2A01738g	2749
gene-DEHA2A01760g	4230
gene-DEHA2A01782g	4192
gene-DEHA2A01804g	11683
gene-DEHA2A01826g	27
gene-DEHA2A01848g	9194
gene-DEHA2A01870g	7313
gene-DEHA2A01892g	6874
gene-DEHA2A01914g	7027
gene-DEHA2A01936g	12996
gene-DEHA2A01958g	1073
gene-DEHA2A01980g	2755
gene-DEHA2A02002r	4
gene-DEHA2A02024g	3518
gene-DEHA2A02046g	2703
gene-DEHA2A02068g	5
gene-DEHA2A02090g	547
gene-DEHA2A02112g	2630
gene-DEHA2A02134g	1638
gene-DEHA2A02156g	5067
gene-DEHA2A02178g	2960
gene-DEHA2A02200g	1443
gene-DEHA2A02222g	2120
gene-DEHA2A02244g	2295
gene-DEHA2A02266g	5017
gene-DEHA2A02288g	1993
gene-DEHA2A02310g	3029
gene-DEHA2A02332g	1964
gene-DEHA2A02354g	5278
gene-DEHA2A02376g	12705
gene-DEHA2A02398g	4357
gene-DEHA2A02420g	447
gene-DEHA2A02442g	7273
gene-DEHA2A02464g	5576
gene-DEHA2A02486g	8385
gene-DEHA2A02508g	6912
gene-DEHA2A02530g	2706
gene-DEHA2A02552g	2700
gene-DEHA2A02574g	5081
gene-DEHA2A02596g	4896
gene-DEHA2A02618g	427
gene-DEHA2A02640g	947
gene-DEHA2A02662g	852
gene-DEHA2A02684g	1265
gene-DEHA2A02706g	2968
gene-DEHA2A02728g	2010
gene-DEHA2A02750g	5588
gene-DEHA2A02772g	1242
gene-DEHA2A02794g	1637
gene-DEHA2A02816g	20
gene-DEHA2A02838g	2746
gene-DEHA2A02860g	11315
gene-DEHA2A02882g	3650
gene-DEHA2A02904g	7458
gene-DEHA2A02926g	13664
gene-DEHA2A02948g	29
gene-DEHA2A02970g	1607
gene-DEHA2A02992g	12392
gene-DEHA2A03014g	6959
gene-DEHA2A03036g	5521
gene-DEHA2A03058g	1296
gene-DEHA2A03080g	6126
gene-DEHA2A03102g	6921
gene-DEHA2A03124g	4071
gene-DEHA2A03146g	9818
gene-DEHA2A03168g	1574
gene-DEHA2A03190g	3448
gene-DEHA2A03212g	7073
gene-DEHA2A03234g	4987
