ProteinID	NaCl2
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	16530.38086
B5RSP7	371417.2813
B5RSP7	158438.8281
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	39123.89844
B5RSP7	20645.98633
B5RSP7	4951.080566
B5RSP7	1702.321045
B5RSP7	412226.75
B5RSP7	335496.125
B5RSP7	17280.54297
B5RSP7	0
B5RSP7	5703.326172
B5RSP7	4782.050781
B5RSP7	1905.871704
B5RSP9	13211.90332
B5RSQ2	0
B5RSQ4	0
B5RSQ4	0
B5RSQ4	0
B5RSQ6	0
B5RSQ6	0
B5RSQ6	0
B5RSQ8	0
B5RSQ8	161891.9844
B5RSQ8	0
B5RSQ9	13027.07031
B5RSQ9	6431.847168
B5RSQ9	0
B5RSR4	55672.19531
B5RSR4	50899.43359
B5RSR4	24944.14648
B5RSR4	0
B5RSR4	13877.43652
B5RSR4	0
B5RSR4	0
B5RSR5	22254.87891
B5RSR5	0
B5RSR5	15250.9082
B5RSR5	8667.144531
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	50683.08984
B5RSR5	0
B5RSR5	13810.35645
B5RSR5	0
B5RSR8	26948.3418
B5RSR8	10169.66504
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS4	0
B5RSS4	0
B5RSS5	0
B5RSS5	1134651.125
B5RSS5	120499.1484
B5RSS5	7574.491699
B5RSS5	0
B5RST1	257200.1563
B5RST1	0
B5RST1	160455.2031
B5RST1	0
B5RST1	133923.0938
B5RST1	0
B5RST1	0
B5RST1	33352.38281
B5RST1	0
B5RST2	0
B5RST2	22020.65625
B5RST7	0
B5RST7	3607.842529
B5RST7	2841.489014
B5RST9	0
B5RST9	30329.95313
B5RST9	0
B5RSU5	411727.6563
B5RSU5	0
B5RSU6	115570.6797
B5RSU6	0
B5RSU6	15901.57422
B5RSU6	12148.3457
B5RSU9	27350.06055
B5RSU9	0
B5RSU9	0
B5RSV4	23294.63281
B5RSV4	0
B5RSV4	0
B5RSV4	0
B5RSV5	105764.1563
B5RSV5	0
B5RSV5	0
B5RSV6	2638.276855
B5RSV6	0
B5RSV6	2541.53125
B5RSV6	4112.048828
B5RSV6	0
B5RSV6	0
B5RSW5	948937.75
B5RSW5	0
B5RSW5	21630.95313
B5RSW5	0
B5RSW5	277899.5
B5RSW5	46773.37891
B5RSW5	0
B5RSX5	0
B5RSX5	0
B5RSX5	0
B5RSX6	95055.14063
B5RSX6	13222.12891
B5RSX6	0
B5RSZ5	23441.61914
B5RSZ5	0
B5RT08	7348.455078
B5RT30	367425.6875
B5RT30	17919.36719
B5RT30	755972.25
B5RT30	0
B5RT30	0
B5RT31	50247.14844
B5RT37	661.6016235
B5RT37	137769.7188
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	99685.46094
B5RT37	26564.48633
B5RT37	0
B5RT37	18100.13672
