ProteinID	KCl3
A9RAG1	22008.8125
A9RAH5	115060.3047
B5RSM9	323050.9375
B5RSP1	32582.17969
B5RSP3	62537.53516
B5RSP4	49181.19141
B5RSP5	214310.5469
B5RSP7	129674.9922
B5RSP8	55210.75391
B5RSP9	295540.25
B5RSQ2	5306.810059
B5RSQ3	87951.91406
B5RSQ4	710939.625
B5RSQ6	58690.59766
B5RSQ7	37719.34375
B5RSQ8	33688.37891
B5RSR0	85913.57813
B5RSR1	13377.93555
B5RSR3	28269.55273
B5RSR4	2030494.875
B5RSR5	54430.35547
B5RSR6	108077.0234
B5RSR7	7359.450684
B5RSR8	85901.35938
B5RSS0	105951.4453
B5RSS1	2173.462402
B5RSS2	39525.69141
B5RSS3	279056.9375
B5RSS5	30673.60547
B5RSS6	28862.375
B5RSS7	53066.89453
B5RST1	45379.80859
B5RST4	18299.73242
B5RST5	10389.1084
B5RST6	77537.86719
B5RST7	608797.8125
B5RST8	118251.9766
B5RST9	5920.92627
B5RSU1	95781.85156
B5RSU2	18456.16602
B5RSU3	37584.64063
B5RSU5	41326.48438
B5RSU6	1868.381104
B5RSU8	39511.09766
B5RSV2	11947.84082
B5RSV5	1226656.375
B5RSV6	44683.78516
B5RSV7	15962.77539
B5RSV9	510588.75
B5RSW0	45775.20703
B5RSW2	40247.26172
B5RSW3	93780.40625
B5RSW5	54182.36719
B5RSW7	62475.56641
B5RSW8	38225.62109
B5RSX0	20760.06641
B5RSX2	21536.0918
B5RSX5	36972.60156
B5RSX6	491109.7813
B5RSY0	21451.3418
B5RSY1	201024.7188
B5RSY3	7740858
B5RSY7	609407.8125
B5RSZ0	14532.31836
B5RSZ2	235056.9844
B5RSZ4	201460.9844
B5RSZ6	2055.322754
B5RSZ7	431598.4688
B5RSZ8	63702.03906
B5RT07	7308.391602
B5RT08	741027.8125
B5RT09	213743.2188
B5RT10	54344.42969
B5RT11	185392.0625
B5RT18	32433.13672
B5RT19	8726.539063
B5RT30	83822.96875
B5RT32	16445.06641
B5RT33	1509.439331
B5RT37	53814.55469
B5RT40	126148.7109
B5RT41	35200.14844
B5RT43	22645.63086
B5RT44	13328.25977
B5RT45	32262.97852
B5RT46	246787.4688
B5RT48	70905.33594
B5RT58	3744.639893
B5RT59	219068.7031
B5RT63	12619.13965
B5RT64	94530.72656
B5RT65	412023.0313
B5RT66	26913.40234
B5RT67	1166826.375
B5RT68	257343.7813
B5RT69	146033.4844
B5RT72	172897.7813
B5RT73	1582564
B5RT74	2448715.5
B5RT75	71351.78125
B5RT77	430601.5625
B5RT79	48461.53516
B5RT80	69276.99219
B5RT81	0
B5RT82	461018.3125
B5RT83	781290.1875
B5RT84	1017772.875
B5RT85	23385.48633
B5RT86	31109.9043
B5RT88	57885.79297
B5RT90	42040.73047
B5RT91	22616.78516
B5RT93	31069.60156
B5RT94	47823.94531
B5RT96	186483.1875
B5RT97	190214.25
B5RT99	230482.7969
B5RTA0	3212.06665
B5RTA3	37600.27344
B5RTA6	101290.1406
B5RTA7	295822.0625
B5RTA9	2276.554932
B5RTB0	154764.1719
B5RTB4	47573.54297
B5RTB5	34394.19922
B5RTB6	57081.0625
B5RTB7	71702.86719
B5RTB9	179926.1719
B5RTC0	10894.12598
B5RTC3	16677.63281
B5RTC6	42766.125
B5RTC7	1343044
B5RTD0	15265.96777
B5RTD2	18700.92969
B5RTE0	112032
B5RTE2	318899.3125
B5RTE4	33004.32031
B5RTE7	75025.375
B5RTF0	43207.01563
B5RTF3	62062.21484
B5RTF4	220299.375
B5RTF6	49446.96094
B5RTF8	5497.686523
B5RTF9	4571.967773
B5RTG5	116556.3984
B5RTG8	13521.67969
B5RTH1	143910.5
B5RTH6	1559588.75
B5RTI1	302560.5313
B5RTI3	43503.88672
B5RTI8	336954.9375
B5RTI9	141052.9531
B5RTJ2	53124.85938
B5RTJ3	74868.71094
B5RTJ4	35694.73828
B5RTJ6	29718.2832
B5RTJ7	28842.17773
B5RTJ8	1286381.875
B5RTJ9	60724.98438
B5RTK0	153395.9375
B5RTK1	407122.4688
B5RTK2	24741.57031
B5RTK3	102592.5391
B5RTK4	39180.67578
B5RTK8	639841.5625
B5RTL0	38377.51563
B5RTL1	29780.03711
B5RTL2	72847.0625
B5RTL5	190154.3438
B5RTL6	136506.5
B5RTL7	24021.77148
B5RTL9	17212.32227
B5RTM0	21759.25391
B5RTM1	41686.97656
B5RTM2	1035782.375
B5RTM3	270745.1875
B5RTM5	71175.45313
B5RTM7	77937.35938
B5RTM8	40903.04688
B5RTM9	55306.66016
B5RTP6	10034.03906
B5RTQ2	251225.6094
B5RTQ3	25194.14063
B5RTQ5	90908.10156
B5RTQ6	21050.04297
B5RTQ7	78255.70313
B5RTR0	284130.4063
B5RTR2	327928.1563
B5RTR4	17975.44531
B5RTR6	37849.55078
B5RTS5	21101.6582
B5RTS7	144528.0781
B5RTS8	191217.9375
B5RTS9	5362.841797
B5RTT2	75765.5
B5RTT6	12258.95996
B5RTT7	1802075.75
B5RTT8	8260.611328
B5RTT9	48786.62891
B5RTU5	127248
B5RTU7	69572.28906
B5RTU8	3682.924316
B5RTV2	30844.82031
B5RTV3	30362.31836
B5RTV4	565576.5
B5RTV5	17713.60547
B5RTV6	433824.4375
B5RTV9	21516.17578
B5RTW1	9233.354492
B5RTW2	29388.69922
B5RTW5	67448.84375
B5RTW7	63572.91406
B5RTX0	36675.21094
B5RTX4	50892.03125
B5RTX5	4919.324707
B5RTX7	59617.14063
B5RTX8	166994.4688
B5RTY0	301535.375
B5RTY5	36438.73828
B5RTY6	522738.7813
B5RTY7	46151.10938
