category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00849	1	0.770174572532322	0	5	1	1
dhaM00854	1	0.780842182542728	0	5	1	1
dhaM00855	1	0.845756320891465	0	4	1	1
dhaM00861	1	0.741090671450349	0	6	1	1
dhaM00868	1	0.674739666641922	0	7	1	1
dhaM00872	1	0.820717870083361	0	5	1	1
dhaM00874	1	0.606426935920923	0	9	1	1
dhaM00892	1	0.653735736815026	0	8	1	1
dhaM00910	1	0.943505461874753	0	1	1	1
dhaM00917	1	0.799718623970817	0	4	1	1
